Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E01019951,26253,30086,22979,26796,27648,23902,9502,14516,28973,31832
E01019952,26866,22222,21059,18422,25884,30795,22907,29054,22996,23655
E01019953,22208,18712,14639,18614,24030,23602,18523,31267,13437,26834
E01019954,16080,13251,11760,7420,22067,25884,17907,25801,10478,22076
E01019955,19984,15826,14825,17466,17595,29290,26824,16773,21190,17234
E01019956,25362,22454,25149,26239,22487,23263,30386,7624,23328,21227
E01019957,31405,31725,30866,30010,29736,19445,16827,28631,27988,32163
E01019958,28520,23503,20871,25900,26244,28954,27861,25712,23044,26802
E01019959,18715,24244,21633,21521,28841,32566,6349,1455,23302,28172
E01019960,22872,28601,29104,25122,30703,32392,5685,2608,27776,28691
E01019961,24250,28328,27602,28097,31329,24164,5765,6124,26789,29203
E01019962,23741,26202,25857,28077,31310,27024,10070,3621,26236,24823
E01019963,31036,26560,27472,29016,30491,32148,32154,15609,30137,21937
E01019964,27761,32714,32824,24165,32174,29491,5302,11634,29120,32054
E01019965,26285,22570,22187,25334,27518,22941,25225,13840,24538,22801
E01019966,24679,27338,27055,23521,27591,28144,9664,6805,23708,29597
E01019967,17209,27645,29627,23353,28357,29378,1665,596,25880,29148
E01019968,25905,22642,19358,21866,19836,26809,26335,27316,25879,22231
E01019969,21946,20729,20550,17096,21819,19956,25323,10894,22179,18486
E01019970,24798,22815,24004,20271,15656,27297,17288,24701,24531,19303
E01019971,17481,17859,20236,15297,20968,9994,11262,11522,11014,16495
E01019972,11970,13556,12747,10755,16977,10936,13139,4190,12480,15019
E01019973,20469,19452,17688,16596,20077,24622,15974,14752,23764,18538
E01019974,15364,14144,11802,14104,16897,17033,12067,19395,13378,18069
E01019975,7098,8299,7745,3379,10591,4307,22024,7048,9025,10208
E01019976,23585,19641,23859,19906,18277,21657,16056,24897,23147,17361
E01019977,19854,17858,17322,11591,22271,21410,23213,16494,15471,22881
E01019980,11206,9710,12528,8304,16456,18822,6895,9037,8499,8110
E01019981,12592,11956,11756,8967,16370,7532,16227,17535,9864,22196
E01019982,14042,12911,15250,13930,20207,15178,7022,9038,8615,19957
E01019983,27337,23903,23031,16550,24831,26696,26476,29071,22395,28696
