Area,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01015143,0,0,1,172,3,20,196
E01015144,0,0,0,170,3,27,200
E01015145,1,0,0,202,3,23,229
E01015146,0,0,0,246,6,28,280
E01015147,1,0,1,201,0,41,244
E01015148,2,0,0,142,4,30,178
E01015149,0,0,1,217,4,20,242
E01015150,1,0,0,224,8,38,271
E01015151,0,0,1,146,8,25,180
E01015152,0,0,0,205,2,24,231
E01015153,0,0,0,187,5,31,223
E01015155,0,0,0,213,7,26,246
E01015156,0,0,0,154,11,29,194
E01015157,1,0,0,288,17,34,340
E01015158,1,0,0,330,8,58,397
E01015159,2,0,0,299,3,30,334
E01015160,0,0,0,218,6,50,274
E01015161,1,0,0,162,5,28,196
E01015162,0,0,1,288,2,20,311
E01015163,2,0,5,194,7,29,237
