Area,March 2013 - Feb 2014,March 2014 - Feb 2015,March 2015 - Feb 2016,March 2016 - Feb 2017,March 2017 - Feb 2018
E01020169,5,#,#,5,#
E01020170,5,#,#,#,#
E01020171,#,#,#,5,5
E01020172,6,#,#,#,#
E01020173,#,0,#,0,#
E01020174,5,#,#,#,#
E01020175,5,#,#,0,#
E01020176,#,#,#,#,#
E01020177,10,9,#,5,7
E01020178,#,6,#,#,#
E01020179,#,#,#,#,#
E01020180,12,10,9,7,6
E01020181,10,9,6,#,#
E01020182,6,9,5,8,9
E01020183,5,7,5,7,#
E01020184,#,#,#,#,#
E01020185,5,#,#,#,#
E01020186,#,#,0,#,#
E01020187,6,#,#,0,#
E01020188,#,#,#,#,0
E01020189,11,9,6,5,6
E01020190,#,#,6,6,7
E01020191,5,6,#,#,#
E01020192,5,#,#,0,#
E01020193,7,#,#,#,#
E01020194,#,5,#,#,#
E01020195,7,10,7,9,7
E01020196,11,7,#,5,#
E01020197,#,#,#,#,0
E01020198,#,9,7,10,10
E01020199,8,14,11,10,8
E01020200,#,#,#,#,#
E01020201,#,#,#,#,#
E01020202,8,#,#,#,#
E01020203,#,#,0,0,#
E01020204,13,13,11,7,10
E01020205,#,#,#,#,#
E01020206,6,#,#,#,6
E01020207,7,6,6,8,6
E01020208,6,8,8,10,8
E01020209,5,#,#,5,#
E01020210,#,#,0,#,#
E01020211,13,10,9,16,10
E01020212,15,15,8,8,8
E01020213,9,6,#,6,6
E01020214,9,7,#,6,6
E01020215,#,#,#,#,#
E01020216,25,28,17,26,22
E01020217,10,11,8,7,9
E01020218,28,15,15,14,17
E01020219,12,#,9,5,7
E01020220,8,8,5,6,6
E01020221,6,8,6,7,7
E01020222,#,#,#,#,#
E01020223,#,5,#,#,6
E01020224,9,8,10,9,8
E01020225,9,8,8,5,7
E01020226,#,#,5,#,5
E01020227,11,#,5,6,5
E01020228,#,#,#,#,#
E01020229,9,6,5,#,5
E01020230,11,9,6,7,6
E01020231,#,5,10,5,5
E01020232,15,14,10,5,13
E01020233,10,#,#,#,#
E01020234,13,14,8,8,11
E01020235,0,#,9,5,5
E01020236,#,#,5,#,#
E01020237,#,7,#,#,#
E01020238,0,#,#,0,0
E01020239,0,#,#,0,#
E01020240,#,#,#,#,#
E01020241,#,#,#,5,#
E01020242,10,6,#,5,#
E01020243,#,#,#,#,#
E01020244,7,#,#,#,#
E01020245,#,#,#,#,5
E01020246,#,#,#,0,#
E01020247,13,9,10,6,5
E01020248,7,7,#,#,#
E01020249,6,#,#,5,#
E01020250,7,5,6,7,8
E01020251,#,#,#,#,#
E01020252,8,7,5,5,7
E01020253,#,#,7,5,#
E01020254,9,8,#,7,11
E01020255,#,8,6,5,5
E01020256,6,9,5,7,5
E01020257,0,#,5,#,#
E01020258,5,7,7,#,#
E01020259,0,#,0,0,#
E01020260,5,#,#,#,0
E01020261,#,0,#,#,#
E01020262,#,#,#,#,#
E01020263,#,#,#,#,#
E01020264,11,9,8,5,#
E01020265,#,#,#,6,#
E01020266,5,#,#,5,#
E01020267,#,#,#,#,#
E01020268,#,7,8,9,7
E01020269,8,7,#,#,#
E01020270,#,#,#,#,#
E01020271,7,6,11,8,#
E01020272,25,21,16,14,#
E01020273,#,#,#,#,#
E01020274,#,#,#,#,0
E01020275,8,#,#,#,#
E01020276,#,#,#,#,#
E01020277,31,24,25,20,16
E01020278,8,#,#,5,#
E01020279,16,13,10,14,8
E01020280,20,26,16,12,7
E01020281,10,7,5,8,6
E01020282,14,9,6,8,8
E01020283,9,#,7,5,5
E01020284,17,19,13,15,9
E01020285,22,18,12,10,14
E01020286,#,8,9,7,#
E01020287,6,#,#,0,0
E01020288,#,#,#,#,6
E01020289,7,#,#,#,5
E01020290,#,6,5,#,#
E01020291,7,#,#,#,#
E01020292,#,6,#,#,#
E01020293,8,#,7,12,12
E01020294,12,13,16,13,7
E01020295,6,#,#,#,#
E01020296,5,#,0,#,0
E01020297,14,9,#,6,7
E01020298,#,#,#,#,#
E01020299,#,#,#,#,#
E01020300,6,6,#,5,#
E01020301,8,6,#,#,#
E01020302,5,#,#,#,#
E01020303,5,#,5,6,6
E01020304,5,9,7,#,#
E01020305,8,8,#,#,#
E01020306,#,5,6,#,0
E01020307,13,12,9,6,#
E01020308,5,#,#,#,#
E01020309,#,#,#,5,8
E01020310,11,5,6,8,7
E01020311,#,#,#,#,#
E01020312,0,#,#,#,5
E01020313,6,6,#,5,7
E01020314,#,5,6,#,#
E01020315,#,#,0,#,#
E01020316,5,#,#,#,#
E01020317,#,#,#,#,0
E01020318,#,#,#,#,#
E01020319,#,#,#,#,#
E01020320,5,#,#,#,#
E01020321,8,10,12,8,7
E01020322,13,12,12,9,10
E01020323,7,#,10,8,#
E01020324,#,#,#,#,#
E01020325,#,7,6,#,#
E01020326,14,13,7,8,8
E01020327,6,12,7,#,#
E01020328,9,7,6,11,15
E01020329,5,6,6,7,5
E01020330,10,12,8,9,7
E01020331,#,#,#,#,#
E01020332,8,6,5,6,6
E01020333,7,#,#,#,#
E01020334,16,13,6,7,7
E01020335,#,#,#,#,#
E01020336,#,#,#,#,0
E01020337,5,5,5,#,#
E01020338,8,7,#,#,#
E01020339,#,#,#,6,#
E01020340,10,8,9,9,5
E01020341,#,#,5,0,#
E01020342,6,#,#,5,#
E01032628,#,5,7,8,10
E01032657,#,#,#,6,#
E01032658,9,10,8,8,#
E01033232,8,5,#,#,#
E01033233,10,17,12,10,7
E01033234,7,#,#,9,7
E01033235,#,#,#,#,0
E01033236,0,#,#,0,#
E07000040,457,416,403,419,370
E07000041,683,633,580,586,424
E07000042,309,291,263,276,232
E07000043,473,405,331,315,284
E07000044,243,213,164,161,181
E07000045,538,485,409,407,400
E07000046,317,267,219,214,174
E07000047,179,176,153,132,129
E10000008,3199,2886,2522,2510,2194
E06000026,1669,1491,1259,1163,1049
E06000027,651,620,535,542,493
IMDQ1,1610,1479,1304,1225,1065
IMDQ2,1695,1482,1245,1179,1055
IMDQ3,1178,1111,942,921,836
IMDQ4,710,638,575,617,552
IMDQ5,326,287,250,273,228
E02003122,13,16,18,20,24
E02003123,47,53,46,36,26
E02003124,65,67,61,44,37
E02003125,41,35,28,30,35
E02003126,38,31,21,20,14
E02003127,79,67,72,55,44
E02003128,56,51,36,37,44
E02003129,25,14,10,16,22
E02003130,102,87,67,67,61
E02003131,46,37,34,33,28
E02003132,50,34,20,25,25
E02003133,47,48,30,49,46
E02003134,86,76,54,42,30
E02003135,90,81,61,54,53
E02003136,32,18,18,11,13
E02003137,11,15,9,13,16
E02003138,33,14,10,15,15
E02003139,21,21,20,18,17
E02003140,23,22,15,22,18
E02003141,71,59,44,43,42
E02003142,84,83,67,56,46
E02003143,35,29,22,17,19
E02003144,32,36,33,22,27
E02003145,38,33,28,31,27
E02003146,49,52,49,36,30
E02003147,112,94,73,64,58
E02003148,68,54,54,55,36
E02003149,60,56,50,61,66
E02003150,135,134,139,114,87
E02003151,25,18,17,12,8
E02003152,33,32,29,27,27
E02003153,22,24,24,18,8
E02003154,54,54,43,45,47
E02003155,28,21,14,18,16
E02003156,45,49,34,28,28
E02003157,50,45,34,43,31
E02003158,25,23,16,18,13
E02003159,59,40,37,37,33
E02003161,83,77,70,71,81
E02003163,19,18,10,16,15
E02003164,24,25,23,19,15
E02003165,22,20,21,22,24
E02003166,57,59,56,61,49
E02003167,69,59,43,48,51
E02003168,21,24,25,23,21
E02003169,10,14,8,13,13
E02003170,20,21,30,29,16
E02003171,21,25,25,18,13
E02004129,14,13,9,9,10
E02004130,30,16,20,18,20
E02004131,21,14,12,15,16
E02004132,16,25,24,22,19
E02004133,22,23,30,36,32
E02004134,27,26,27,29,26
E02004135,14,11,12,24,13
E02004136,23,19,23,23,16
E02004137,12,10,6,13,12
E02004138,12,14,19,17,18
E02004139,28,28,17,22,23
E02004140,10,8,#,7,7
E02004141,15,11,12,18,17
E02004142,11,10,5,7,5
E02004143,27,20,17,14,17
E02004144,34,25,23,19,12
E02004145,10,13,10,11,10
E02004146,56,53,54,43,41
E02004147,40,43,46,40,32
E02004148,35,34,33,32,24
E02004149,15,23,19,20,11
E02004150,38,39,33,42,37
E02004151,61,56,43,47,36
E02004152,47,43,33,34,23
E02004153,42,46,40,43,29
E02004154,29,24,24,25,15
E02004155,58,42,39,41,36
E02004156,96,108,120,102,65
E02004157,18,15,14,10,6
E02004158,66,52,45,52,33
E02004159,29,33,26,36,31
E02004160,34,28,24,31,18
E02004161,87,63,68,52,43
E02004162,32,30,17,17,8
E02004163,31,31,35,34,33
E02004164,13,15,12,12,9
E02004165,15,20,24,22,23
E02004166,22,19,16,23,20
E02004167,64,45,37,37,29
E02004168,34,34,28,29,22
E02004169,17,14,18,22,22
E02004170,26,31,34,29,26
E02004171,25,22,13,17,15
E02004172,34,28,21,28,27
E02004173,23,22,23,24,14
E02004174,36,41,37,33,25
E02004175,50,33,29,30,27
E02004176,28,15,11,16,14
E02004177,55,51,39,25,33
E02004178,8,10,9,5,8
E02004179,18,24,17,17,19
E02004180,14,13,7,10,#
E02004181,32,27,28,27,18
E02004182,74,57,51,47,37
E02004183,33,22,17,17,16
E02004184,59,50,48,37,37
E02004185,8,17,12,12,8
E02004186,25,23,13,21,17
E02004187,42,38,26,29,26
E02004188,27,25,24,22,20
E02004189,18,13,12,7,15
E02004190,26,19,15,22,21
E02004191,34,37,29,29,26
E02004192,10,9,9,8,6
E02004193,53,48,35,33,34
E02004194,14,13,16,16,17
E02004195,16,14,10,9,10
E02004196,13,12,14,11,17
E02004197,13,11,#,9,13
E02004198,22,22,11,11,10
E02004199,14,11,5,#,6
E02004200,10,#,5,#,6
E02004201,7,11,10,8,7
E02004202,27,16,14,19,19
E02004203,10,12,11,6,9
E02004204,27,29,16,20,29
E02004205,38,34,31,21,29
E02004206,27,23,23,18,22
E02004207,27,27,18,10,17
E02004208,17,14,18,28,18
E02004209,30,34,32,33,37
E02004210,51,43,38,29,16
E02004211,19,11,12,11,9
E02004212,25,16,20,23,19
E02004213,20,26,17,18,13
E02004214,60,44,42,46,44
E02004215,47,44,35,40,39
E02004216,35,29,14,23,24
E02004217,30,41,30,35,29
E02004218,29,19,19,15,14
E02004219,12,12,9,#,6
E02004220,29,18,13,13,15
E02004221,21,14,12,17,13
E02004222,44,42,27,28,21
E02004223,103,82,71,69,53
E02004224,18,17,10,10,11
E02004225,30,34,26,17,9
E02004226,18,12,11,11,8
E02004227,33,24,28,35,31
E02004228,21,24,21,14,13
E02004229,40,37,33,28,27
E02004230,30,37,27,30,31
E02004231,15,13,19,19,10
E02004232,21,22,25,18,17
E02004233,48,41,28,19,19
E02004234,11,13,13,7,8
E02004235,14,13,8,11,17
E02006840,44,46,46,33,27
TOWN01,30,41,30,35,29
TOWN02,31,27,40,53,41
TOWN03,244,205,171,169,134
TOWN04,216,177,138,139,116
TOWN05,22,28,22,20,24
TOWN06,93,91,81,85,66
TOWN07,74,73,73,73,65
TOWN08,25,20,13,12,14
TOWN09,72,61,58,42,54
TOWN10,738,677,621,635,469
TOWN11,216,199,191,172,148
TOWN12,46,44,35,25,16
TOWN13,54,48,49,49,44
TOWN14,68,49,43,46,50
TOWN15,133,105,83,70,74
TOWN16,109,91,69,65,86
TOWN17,44,39,22,21,23
TOWN18,#,0,0,#,#
TOWN19,7,10,8,#,7
TOWN20,324,287,232,242,247
TOWN21,94,98,86,85,74
TOWN22,39,42,44,45,39
TOWN23,28,26,25,27,25
TOWN24,43,45,31,47,44
TOWN25,53,54,38,41,38
TOWN26,87,80,69,50,56
TOWN27,79,65,64,62,40
TOWN28,161,141,126,131,110
TOWN29,65,63,60,63,58
DIV1,71,66,41,49,28
DIV2,44,56,39,42,32
DIV3,30,27,36,48,38
DIV4,121,95,89,81,66
DIV5,77,61,55,47,42
DIV6,35,22,15,13,27
