Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01019935,0.13066,0.4932,0.33157,0.04456,1
E01019936,0.14593,0.49776,0.30618,0.05013,1
E01019937,0.15321,0.52798,0.27982,0.03899,1
E01019938,0.15995,0.53522,0.27913,0.0257,1
E01019939,0.17015,0.50411,0.29159,0.03416,1
E01019940,0.1464,0.47931,0.32145,0.05283,1
E01019942,0.17928,0.57675,0.19901,0.04496,1
E01019943,0.20505,0.52879,0.23913,0.02703,1
E01019944,0.21371,0.58122,0.178,0.02707,1
E01019945,0.15022,0.60264,0.21322,0.03392,1
E01019946,0.08889,0.37986,0.42431,0.10694,1
E01019947,0.10712,0.49419,0.30268,0.09601,1
E01019948,0.11205,0.43438,0.3868,0.06677,1
E01019949,0.11745,0.4375,0.35989,0.08516,1
E01019950,0.10717,0.46076,0.3789,0.05316,1
E01019951,0.10942,0.45568,0.36842,0.06648,1
E01019952,0.1336,0.47407,0.31398,0.07835,1
E01019953,0.11837,0.44761,0.35899,0.07503,1
E01019954,0.19607,0.57002,0.19754,0.03636,1
E01019955,0.15611,0.49154,0.29843,0.05392,1
E01019956,0.09589,0.46202,0.31258,0.12951,1
E01019957,0.04602,0.34705,0.45642,0.15051,1
E01019958,0.11986,0.44863,0.35559,0.07591,1
E01019959,0.18061,0.54267,0.24192,0.0348,1
E01019960,0.21295,0.54101,0.22806,0.01799,1
E01019961,0.14415,0.55278,0.26447,0.03859,1
E01019962,0.16253,0.59926,0.21175,0.02647,1
E01019963,0.20343,0.54524,0.21703,0.0343,1
E01019964,0.08905,0.78272,0.11042,0.01781,1
E01019965,0.20539,0.54602,0.21437,0.03423,1
E01019966,0.12995,0.50876,0.31521,0.04608,1
E01019967,0.15286,0.5256,0.28991,0.03163,1
E01019968,0.15786,0.53215,0.25971,0.05029,1
E01019969,0.16827,0.63825,0.16234,0.03113,1
E01019970,0.17426,0.60662,0.17206,0.04706,1
E01019971,0.11462,0.73216,0.12339,0.02982,1
E01019972,0.20152,0.69668,0.0831,0.0187,1
