Area,2011,2012,2013,2014,2015
E01020044,59,97,107,108,101
E01020045,64,73,95,106,100
E01020046,62,92,104,154,147
E01020047,102,93,110,114,106
E01020048,174,161,195,202,195
E01020049,57,94,97,132,127
E01020050,106,147,173,271,264
E01020051,56,47,62,66,58
E01020052,72,84,95,90,84
E01020053,46,49,73,75,70
E01020054,47,43,58,47,40
E01020055,83,79,108,117,110
E01020056,81,124,124,156,147
E01020057,63,77,104,97,90
E01020058,39,39,67,54,46
E01020059,87,114,128,152,145
E01020060,71,78,119,111,104
E01020061,74,73,101,88,82
E01020062,26,25,37,28,22
E01020063,78,88,110,113,104
E01020064,45,51,69,99,92
E01020065,77,83,111,117,111
E01020066,59,55,82,81,70
E01020067,36,72,95,87,81
E01020068,75,105,120,134,128
E01020069,51,84,116,157,152
E01020070,78,120,143,195,188
E01020071,62,85,125,120,114
E01020072,57,90,101,123,117
E01020073,51,73,100,145,138
E01020074,82,123,145,216,209
E01020075,65,96,104,166,161
E01020076,49,75,82,105,99
E01020077,57,97,116,138,132
E01020078,87,107,135,122,116
E01020079,42,48,65,64,59
E01020080,45,52,70,74,70
E01020081,34,48,66,60,55
E01020082,39,67,88,97,92
E01020083,63,91,98,97,89
E01020084,33,34,48,40,35
E01020085,22,21,35,27,23
E01020086,40,37,57,51,46
E01020087,88,144,153,189,181
E01020088,73,122,153,202,194
E01020089,99,96,127,131,124
E01020090,57,61,77,66,61
E01020091,44,42,51,55,50
E01020092,43,36,55,44,38
E01020093,73,70,72,61,56
E01020094,97,138,182,175,166
E01020095,76,84,136,136,130
E01020096,97,84,126,141,134
E01020097,117,166,189,196,188
E01020098,106,157,191,230,221
E01020099,88,83,98,76,71
E01020100,50,61,92,93,88
E01020101,96,92,112,92,85
E01020102,20,24,36,27,22
E01020103,39,67,83,82,77
E01020104,25,37,56,48,43
E01020105,37,36,50,49,45
E01020106,37,28,39,31,27
E01020107,39,34,45,37,31
E01020108,106,113,138,130,122
E01020109,53,73,90,125,120
E01020110,67,75,106,121,112
E01020111,59,76,96,91,85
E01020112,158,178,204,175,169
E01020113,104,120,109,98,94
E01020114,79,76,90,88,83
E01020115,61,62,100,86,82
E01020116,104,104,112,100,95
E01020117,57,60,79,81,75
E01020118,41,51,68,65,61
E01020119,92,94,100,108,102
E01020120,48,52,70,68,61
E01020121,65,91,103,86,80
E01020122,85,99,128,133,127
E01020123,50,56,73,70,63
E01020124,72,60,76,65,61
E01020125,42,33,46,39,34
E01020126,94,115,136,221,215
E01020127,89,148,165,204,196
E01020128,51,47,56,54,50
E01020129,31,37,52,48,43
E01020130,96,99,128,125,120
E01020131,119,197,216,239,233
E01020132,61,58,88,86,80
E01020133,42,34,56,51,47
E01020134,44,51,64,67,63
E01020135,63,63,85,87,82
E01020136,59,54,64,58,54
E01020137,87,83,128,136,131
E01020138,103,146,168,207,199
E01020139,71,75,99,100,94
E01020140,52,44,65,58,52
E01020141,45,58,80,85,79
E01020142,91,121,149,202,194
E01020143,134,170,182,206,198
E01020144,14,19,33,23,18
E01020145,56,67,87,106,100
E01020146,12,17,32,20,15
E01020147,88,130,152,195,188
E01020148,49,66,81,114,110
E01020149,43,53,68,91,86
E01020150,96,102,121,129,123
E01020151,79,75,99,95,88
E01020152,113,125,146,148,141
E01020153,60,74,95,154,149
E01020154,24,33,47,36,31
E01020155,22,38,54,54,49
E01020156,108,106,112,111,103
E01020157,127,173,176,232,224
E01020158,75,86,98,103,96
E01020159,60,72,114,134,128
E01020160,88,95,102,107,100
E01020161,81,93,118,116,109
E01020162,40,40,67,59,53
E01020163,26,28,45,35,28
E01020164,33,44,69,49,44
E01020165,28,27,47,35,30
E01020166,42,39,61,55,50
E01020167,16,15,26,20,16
E01020168,61,67,90,79,72
E01020169,138,127,145,139,132
E01020170,83,74,93,84,75
E01020171,91,100,103,106,99
E01020172,81,90,95,97,89
E01020173,70,77,94,81,73
E01020174,54,82,108,147,139
E01020175,87,114,139,193,183
E01020176,54,54,78,82,78
E01020177,42,46,63,53,48
E01020178,73,96,121,162,156
E01020179,77,102,107,167,160
E01020180,98,108,125,127,120
E01020181,66,65,83,75,68
E01020182,50,61,70,62,55
E01020183,127,105,129,130,124
E01020184,88,109,121,110,104
E01020185,45,40,52,49,44
E01020186,52,60,82,85,80
E01020187,60,64,73,69,63
E01020188,101,131,130,180,173
E01020189,75,93,115,110,101
E01020190,79,94,114,97,89
E01020191,38,43,56,71,66
E01020192,53,44,58,58,53
E01020193,71,96,100,122,117
E01020194,29,27,37,23,18
E01020195,77,90,88,84,79
E01020196,118,117,150,154,148
E01020197,61,54,64,67,62
E01020198,70,80,108,89,84
E01020199,95,91,102,98,93
E01020200,49,41,55,56,52
E01020201,65,50,59,53,46
E01020202,65,58,69,56,49
E01020203,38,32,51,37,31
E01020204,27,37,61,39,33
E01020205,69,85,90,119,110
E01020206,79,71,80,69,64
E01020207,53,42,43,37,33
E01020208,43,49,62,61,55
E01020209,43,38,63,57,52
E01020210,35,29,42,39,35
E01020211,43,59,92,83,78
E01020212,43,54,67,68,63
E01020213,43,41,61,58,52
E01020214,64,50,66,62,57
E01020215,29,21,35,30,24
E01020216,75,80,108,109,103
E01020217,122,102,136,136,129
E01020218,109,105,133,136,130
E01020219,78,70,82,77,70
E01020220,44,54,67,55,50
E01020221,109,108,105,123,117
E01020222,28,32,46,35,31
E01020223,62,65,81,100,94
E01020224,104,84,111,106,102
E01020225,116,96,118,126,121
E01020226,33,32,39,40,36
E01020227,87,71,86,89,84
E01020228,110,104,124,118,111
E01020229,54,78,106,97,91
E01020230,85,68,92,85,78
E01020231,50,41,63,50,45
E01020232,45,45,78,64,58
E01020233,75,62,87,71,63
E01020234,44,60,90,73,68
E01020235,113,133,174,158,149
E01020236,29,28,44,30,25
E01020237,67,78,100,144,139
E01020238,32,32,45,39,35
E01020239,43,41,52,53,49
E01020240,57,52,72,73,67
E01020241,90,92,116,139,134
E01020242,23,24,37,29,25
E01020243,47,52,82,105,100
E01020244,42,39,57,54,49
E01020245,62,85,112,113,106
E01020246,45,49,62,90,86
E01020247,68,66,90,84,78
E01020248,69,52,70,69,61
E01020249,54,36,52,47,41
E01020250,52,42,69,61,56
E01020251,32,36,51,51,47
E01020252,27,33,47,40,35
E01020253,20,20,34,26,21
E01020254,60,66,89,88,81
E01020255,56,44,59,54,48
E01020256,40,48,67,48,43
E01020257,32,28,39,30,25
E01020258,116,113,131,132,126
E01020259,79,110,99,123,118
E01020260,83,73,99,104,98
E01020261,55,56,70,59,54
E01020262,56,68,79,108,102
E01020263,43,53,82,106,100
E01020264,87,84,121,107,101
E01020265,61,43,67,61,55
E01020266,87,68,83,76,70
E01020267,79,58,66,58,52
E01020268,46,36,46,43,38
E01020269,162,151,193,175,164
E01020270,35,33,50,45,39
E01020271,76,75,115,107,102
E01020272,60,73,102,89,82
E01020273,40,57,79,108,103
E01020274,63,88,91,120,114
E01020275,96,99,141,129,123
E01020276,39,37,54,45,39
E01020277,58,81,121,105,98
E01020278,60,70,91,87,82
E01020279,103,84,118,111,101
E01020280,213,245,304,250,241
E01020281,48,41,63,52,46
E01020282,71,81,102,99,93
E01020283,41,34,57,56,51
E01020284,85,82,108,95,90
E01020285,64,82,112,104,98
E01020286,65,108,144,150,144
E01020287,63,96,121,149,142
E01020288,94,131,141,172,166
E01020289,77,123,104,120,111
E01020290,62,90,95,126,120
E01020291,62,117,138,145,138
E01020292,74,106,122,145,140
E01020293,102,131,138,200,192
E01020294,56,67,87,141,136
E01020295,66,73,94,122,117
E01020296,60,98,120,151,145
E01020297,88,93,117,109,103
E01020298,79,67,78,65,55
E01020299,58,51,78,69,59
E01020300,48,48,69,58,51
E01020301,64,111,151,184,176
E01020302,58,90,107,124,117
E01020303,60,93,122,153,147
E01020304,91,77,95,96,90
E01020305,93,84,103,107,103
E01020306,25,24,36,28,24
E01020307,54,69,89,79,74
E01020308,70,98,113,130,125
E01020309,57,101,130,160,154
E01020310,114,99,116,95,87
E01020311,94,119,143,186,178
E01020312,72,82,98,87,80
E01020313,65,71,93,86,80
E01020314,66,99,122,153,147
E01020315,62,68,82,87,80
E01020316,76,93,99,95,87
E01020317,45,70,81,98,93
E01020318,94,110,126,120,114
E01020319,78,123,118,131,126
E01020320,67,120,146,164,156
E01020321,89,124,147,211,201
E01020322,73,115,138,161,156
E01020323,74,104,106,126,121
E01020324,65,94,103,136,130
E01020325,84,118,141,198,192
E01020326,88,110,126,129,123
E01020327,36,32,55,43,36
E01020328,106,102,115,104,96
E01020329,52,65,66,77,70
E01020330,84,81,117,119,113
E01020331,74,105,133,189,184
E01020332,124,126,163,175,168
E01020333,65,61,71,59,53
E01020334,62,69,87,74,68
E01020335,64,61,75,71,65
E01020336,60,47,68,66,61
E01020337,50,50,72,65,60
E01020338,69,65,92,84,77
E01020339,65,105,153,195,188
E01020340,74,114,123,162,157
E01020341,58,76,83,77,71
E01020342,60,64,87,80,74
E01032628,74,102,125,156,149
E01032657,34,51,51,57,51
E01032658,34,68,79,81,74
E01033232,31.5,19,31,31,26
E01033233,126,98,109,108,98
E01033234,31.5,26,32,27,19
E01033235,73.5,57,83,84,77
E01033236,73.5,61,77,82,76
E07000040,5410,5565,6842,6988,6489
E07000041,5494,5430,6796,6379,5947
E07000042,2832,3540,4397,4959,4677
E07000043,3946,4536,5701,5834,5500
E07000044,3357,3867,4711,5113,4796
E07000045,5218,5171,6704,6626,6153
E07000046,2712,3300,4122,4397,4156
E07000047,2201,2724,3286,3622,3427
E10000008,31170,34133,42559,43918,41145
E06000026,10897,11584,15407,14721,13778
E06000027,7006,5989,7941,7234,6702
IMDQ1,7551,9192,11370,10662,10067
IMDQ2,13533,14346,18241,18369,17336
IMDQ3,13753,14925,18711,19873,18674
IMDQ4,9380.5,9065,11922,11845,10945
IMDQ5,4855.5,4178,5663,5124,4603
E02003122,194,176,287,291,267
E02003123,230,281,404,375,346
E02003124,216,277,365,363,331
E02003125,167,220,267,276,256
E02003126,153,188,275,269,239
E02003127,242,307,380,367,341
E02003128,248,312,405,392,360
E02003129,257,245,336,327,303
E02003130,388,509,657,572,536
E02003131,187,224,344,330,301
E02003132,333,325,414,378,348
E02003133,241,253,357,327,299
E02003134,262,432,477,418,394
E02003135,292,406,557,504,475
E02003136,285,241,346,309,284
E02003137,357,282,381,375,348
E02003138,426,356,549,576,547
E02003139,107,109,184,165,142
E02003140,293,236,333,306,279
E02003141,469,464,731,713,684
E02003142,374,427,595,535,498
E02003143,205,215,327,304,272
E02003144,844,770,864,854,829
E02003145,427,427,521,524,499
E02003146,781,659,895,934,903
E02003147,131,297,394,336,309
E02003148,382,548,659,640,604
E02003149,784,784,971,948,916
E02003150,689,847,1030,1063,1011
E02003151,274,217,314,272,245
E02003152,385,327,451,384,347
E02003153,274,223,337,294,265
E02003154,295,317,388,345,320
E02003155,393,302,370,358,334
E02003156,278,247,357,311,278
E02003157,407,379,484,435,410
E02003158,346,266,366,342,319
E02003159,418,359,495,425,400
E02003161,690,579,668,646,618
E02003163,425,344,447,446,413
E02003164,463,323,432,397,363
E02003165,342,286,388,338,309
E02003166,330,344,449,397,356
E02003167,650,619,837,746,710
E02003168,254,207,310,278,253
E02003169,262,203,287,261,233
E02003170,544,451,627,564,516
E02003171,326,289,400,348,318
E02004129,203,289,342,424,402
E02004130,213,215,262,259,237
E02004131,122,113,163,139,119
E02004132,271,360,465,627,598
E02004133,361,387,436,432,403
E02004134,257,328,421,486,461
E02004135,361,417,485,550,518
E02004136,293,279,357,343,317
E02004137,283,332,335,352,331
E02004138,309,268,326,286,256
E02004139,272,244,302,276,250
E02004140,291,243,282,259,238
E02004141,214,219,255,268,248
E02004142,230,242,269,265,246
E02004143,159,142,211,182,158
E02004144,242,204,280,245,219
E02004145,305,276,332,329,304
E02004146,233,252,356,323,298
E02004147,529,490,643,622,594
E02004148,262,265,320,321,292
E02004149,263,223,301,287,260
E02004150,347,354,481,443,419
E02004151,282,267,350,309,282
E02004152,767,719,760,715,691
E02004153,164,185,278,280,253
E02004154,580,525,641,635,603
E02004155,242,288,396,365,332
E02004156,617,695,713,735,699
E02004157,380,306,368,369,344
E02004158,440,400,569,518,489
E02004159,262,235,330,298,262
E02004160,274,260,360,322,293
E02004161,336,482,532,429,402
E02004162,221,211,343,299,272
E02004163,319,280,374,375,346
E02004164,282,430,490,695,670
E02004165,262,247,324,335,304
E02004166,225,307,359,495,474
E02004167,231,288,374,369,346
E02004168,337,364,461,448,425
E02004169,222,263,329,385,359
E02004170,232,238,337,315,286
E02004171,288,400,473,496,467
E02004172,196,305,371,470,446
E02004173,267,400,477,583,557
E02004174,290,298,402,368,343
E02004175,357,392,490,440,419
E02004176,328,351,438,482,459
E02004177,306,335,368,344,325
E02004178,216,247,305,321,303
E02004179,326,319,411,412,380
E02004180,210,322,388,474,451
E02004181,218,218,307,304,284
E02004182,270,324,463,454,427
E02004183,261,233,321,315,292
E02004184,262,311,411,384,355
E02004185,205,192,234,225,205
E02004186,245,282,371,337,311
E02004187,445,563,682,716,688
E02004188,297,447,512,626,601
E02004189,125,156,220,240,219
E02004190,360,434,500,588,560
E02004191,429,448,528,504,471
E02004192,352,385,430,529,500
E02004193,266,286,433,369,330
E02004194,321,393,452,537,515
E02004195,238,271,346,333,309
E02004196,302,382,478,529,501
E02004197,248,264,310,309,286
E02004198,274,287,350,328,305
E02004199,214,292,368,502,478
E02004200,228,269,296,345,322
E02004201,209,261,334,439,416
E02004202,274,292,394,408,381
E02004203,304,365,399,482,457
E02004204,360,362,430,419,387
E02004205,234,232,339,296,272
E02004206,342,359,475,420,391
E02004207,188,201,274,269,246
E02004208,308,238,312,283,254
E02004209,247,233,337,299,266
E02004210,385,383,531,478,449
E02004211,284,256,334,323,297
E02004212,199,186,249,234,212
E02004213,160,160,203,179,160
E02004214,378,350,472,461,439
E02004215,311,279,351,364,344
E02004216,179,166,229,218,196
E02004217,421,432,512,492,466
E02004218,236,203,274,290,266
E02004219,199,213,255,272,254
E02004220,281,280,390,352,324
E02004221,241,214,263,218,193
E02004222,332,367,469,401,380
E02004223,411,433,607,558,520
E02004224,294,408,477,590,568
E02004225,263,254,323,310,291
E02004226,287,406,499,618,592
E02004227,335,506,600,770,737
E02004228,268,432,494,580,551
E02004229,317,469,557,665,636
E02004230,278,280,353,343,315
E02004231,311,442,503,572,549
E02004232,298,436,519,702,680
E02004233,494,479,628,594,552
E02004234,228,304,354,391,368
E02004235,275,314,372,355,327
E02006840,583,474,636,597,552
TOWN01,421,432,512,492,466
TOWN02,636,750,854,947,894
TOWN03,1579,1788,2395,2385,2223
TOWN04,1651,1796,2306,2227,2087
TOWN05,436,453,578,603,561
TOWN06,753,1003,1250,1421,1346
TOWN07,748,911,1126,1324,1240
TOWN08,486,590,710,860,814
TOWN09,618,630,871,770,712
TOWN10,6155,6202,7829,7561,7064
TOWN11,2018,1926,2466,2359,2179
TOWN12,456,541,679,742,705
TOWN13,603,938,1094,1350,1288
TOWN14,601,698,861,955,885
TOWN15,1003,1076,1298,1175,1110
TOWN16,1078,1249,1624,1668,1546
TOWN17,720,855,1024,1184,1116
TOWN18,94,115,136,221,215
TOWN19,235,280,309,363,347
TOWN20,2676,2618,3376,3354,3095
TOWN21,1066,1419,1695,1955,1861
TOWN22,519,577,737,833,780
TOWN23,553,517,616,564,514
TOWN24,747,679,772,702,640
TOWN25,639,864,1026,1135,1090
TOWN26,1229,1424,1734,1853,1744
TOWN27,890,785,1056,974,899
TOWN28,1487,1844,2272,2540,2404
TOWN29,1073,1173,1353,1401,1320
DIV1,638,660,893,838,784
DIV2,522,564,668,689,644
DIV3,407,449,539,568,527
DIV4,750,902,1136,1173,1117
DIV5,600,733,901,980,926
DIV6,599,711,850,935,885
