Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015195,10,10,10,15,15,15,15,15,20,15,20,20,20,20,15
E01015196,15,15,15,15,10,15,15,15,15,25,25,30,30,25,25
E01015197,5,10,10,10,10,5,5,5,0,10,5,15,10,10,10
E01015198,5,5,10,5,10,10,10,10,15,15,10,10,10,15,15
E01015199,5,5,5,5,10,10,10,10,10,10,10,10,5,5,10
E01015200,10,5,5,10,15,10,10,10,10,10,20,15,15,15,5
E01015201,5,10,10,10,5,5,5,10,15,15,10,10,10,15,5
E01015202,10,5,10,10,10,15,15,15,15,20,15,15,20,15,10
E01015203,5,5,5,5,5,5,5,5,10,10,10,10,10,15,10
E01015204,10,10,10,5,15,10,15,25,15,20,20,20,20,15,10
E01015205,5,10,10,10,15,10,10,10,15,15,15,10,5,10,10
E01015206,10,15,10,10,5,10,10,15,15,15,15,15,20,10,10
E01015207,10,10,15,15,20,10,20,10,20,20,20,15,15,15,15
E01015208,10,10,15,10,10,10,10,10,5,5,10,10,10,10,10
E01015209,5,10,5,5,10,5,10,15,10,10,15,15,15,15,20
E01015210,5,10,5,10,10,10,10,15,15,10,20,15,15,20,15
E01015211,10,5,5,5,5,5,5,5,5,10,5,15,10,15,10
E01015212,5,5,10,10,15,10,10,10,20,20,20,20,20,20,15
E01015213,10,10,5,10,15,10,15,15,20,20,20,20,20,15,15
E01015214,10,10,10,10,10,10,15,15,15,15,15,15,15,20,20
E01015215,5,5,5,15,15,25,25,20,15,15,20,20,25,15,15
E01015216,5,5,10,10,5,10,15,5,15,20,20,25,20,20,15
E01015217,5,10,15,15,10,10,10,15,10,15,20,20,15,20,20
E01015218,15,10,15,15,10,15,15,25,25,25,25,30,25,25,20
E01015219,10,5,10,15,10,15,15,15,10,10,15,10,10,15,15
E01015220,10,10,10,5,5,5,10,15,10,10,15,15,15,10,10
E01015221,5,5,10,10,5,5,5,10,10,10,15,15,15,20,15
E01015222,10,5,5,5,10,10,10,15,20,15,20,20,20,20,20
E01015223,10,10,10,10,10,15,15,15,20,20,20,25,25,30,25
E01015224,5,5,5,5,10,5,10,15,15,15,15,20,15,15,15
E01015225,5,5,5,10,10,10,10,10,20,15,10,20,15,15,15
E01015226,5,0,0,5,5,5,10,10,10,10,15,5,10,10,15
E01015227,0,5,5,5,5,5,5,5,10,10,10,5,10,10,5
E01015228,5,5,5,10,10,5,10,10,10,10,10,15,10,15,5
E01015229,5,5,10,10,10,10,10,10,10,10,10,15,10,15,15
E01015230,5,5,5,5,5,10,10,10,10,10,5,5,10,5,5
E01015231,10,10,15,10,20,15,20,20,20,15,20,25,15,25,25
E01015232,5,5,5,10,10,15,15,15,20,20,25,30,30,35,30
E01015233,10,10,5,5,5,5,10,5,10,10,10,15,20,15,15
E01015234,10,10,5,10,10,10,10,15,20,20,15,20,15,20,20
E01015235,0,5,10,10,10,10,15,10,20,15,15,15,15,15,15
E01015236,0,0,0,5,5,5,5,10,15,10,10,15,10,10,10
E01015237,5,10,5,5,10,10,5,5,5,5,10,20,15,15,15
E01015238,10,10,5,10,5,15,10,10,10,10,15,15,15,15,10
E01015239,5,5,5,5,10,5,10,5,15,15,10,10,20,10,15
E01015240,0,0,5,10,10,15,10,10,10,10,15,15,15,20,15
E01015241,5,10,5,15,10,10,15,15,15,15,15,15,15,15,10
E01015242,5,10,5,15,15,20,20,20,20,15,20,20,15,20,20
E01015243,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10
E01015244,10,10,5,5,10,10,15,10,10,5,10,5,5,10,5
E01015245,15,15,15,15,15,15,15,10,15,15,20,20,20,20,15
E01015246,10,10,10,10,10,5,5,15,15,10,15,15,20,15,10
E01015247,5,10,5,5,5,5,5,10,15,10,15,15,15,15,15
E01015248,5,10,10,10,15,15,25,15,20,15,20,20,20,20,15
E01015249,15,20,20,15,15,15,15,15,20,25,25,25,35,25,25
E01015250,5,5,10,5,5,5,5,10,10,10,15,20,15,15,10
E01015251,5,5,5,5,5,5,10,5,15,10,10,5,10,10,10
E01015252,5,10,10,15,10,15,15,30,35,25,35,35,35,35,30
E01015253,5,5,15,15,10,5,10,15,15,10,15,15,20,25,15
E01015254,10,5,5,5,10,10,10,10,10,10,10,15,15,10,15
E01015255,10,10,10,15,10,15,15,15,20,20,15,15,15,20,20
E01015256,5,5,10,10,15,10,15,10,15,15,15,25,20,15,15
E01015257,15,15,15,15,20,15,15,15,25,30,25,25,25,25,15
E01015258,5,10,10,10,10,10,15,10,10,10,15,15,15,15,15
E01015259,5,10,5,10,5,5,10,5,5,10,10,15,15,15,15
E01015260,15,15,15,15,20,20,25,25,15,20,20,25,30,25,25
E01015261,10,10,15,15,15,15,20,20,20,20,25,20,30,25,25
E01015262,5,10,15,15,10,10,10,15,20,15,20,15,25,30,25
E01015263,10,15,15,20,15,15,15,15,15,15,15,15,15,20,10
E01015264,10,10,10,15,10,10,10,5,10,10,5,5,10,10,10
E01015265,5,5,5,10,10,10,10,20,20,15,10,20,20,20,20
E01015266,5,10,10,5,10,5,15,15,15,20,30,25,30,30,25
E01015267,10,10,10,5,10,5,10,5,10,5,5,10,10,15,10
E01015268,10,5,10,5,5,5,5,10,10,15,15,15,10,15,10
E01015269,0,5,5,10,10,5,10,10,10,5,5,10,15,10,5
E01015270,5,5,10,10,5,10,10,5,15,10,10,10,10,5,5
E01015271,5,0,5,0,5,5,0,10,10,10,5,5,5,5,5
E01019886,15,15,15,10,10,15,15,15,15,15,20,20,25,20,20
E01019887,5,5,0,5,10,5,5,0,0,5,5,15,15,15,15
E01019888,5,0,0,5,5,0,0,5,5,0,5,5,5,5,5
E01019889,5,5,0,0,5,0,5,5,10,5,10,10,10,10,10
E01019890,0,0,5,10,10,10,5,10,10,10,10,5,5,10,5
E01019891,5,0,5,10,10,10,10,10,10,10,10,10,10,10,10
E01019892,0,0,0,5,5,5,5,5,10,10,10,10,10,5,10
E01019893,10,10,10,10,15,15,10,10,15,15,25,20,20,15,15
E01019894,5,0,5,10,5,0,5,5,0,5,10,5,5,5,5
E01019895,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0
E01019896,5,0,0,5,5,0,0,5,5,5,10,5,5,10,5
E01019897,0,5,5,5,5,5,5,5,10,10,5,10,10,10,10
E01019898,0,10,5,10,10,5,10,10,10,10,10,15,5,10,0
E01019899,5,0,0,5,5,5,5,10,10,5,5,5,5,5,5
E01019900,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
E01019901,5,5,5,5,5,10,5,0,5,0,5,5,5,5,5
E01019902,10,10,10,15,15,10,10,10,10,15,10,10,15,10,15
E01019903,10,10,15,10,10,15,15,20,15,15,15,15,20,20,15
E01019904,5,10,10,5,10,10,10,15,15,20,20,20,20,25,20
E01019905,10,10,5,10,10,15,10,10,10,10,10,10,10,15,10
E01019906,5,5,0,5,10,10,10,15,10,10,10,15,10,10,5
E01019907,5,0,5,5,10,0,5,0,10,5,10,10,15,15,10
E01019908,10,5,5,5,10,15,15,15,10,15,15,10,10,10,15
E01019909,0,5,10,10,0,0,10,10,5,10,10,10,5,10,5
E01019910,5,5,10,5,10,10,10,10,15,10,10,15,15,10,10
E01019911,5,5,5,5,5,5,5,5,5,0,0,0,5,10,10
E01019912,5,5,10,10,10,10,5,10,5,10,10,10,10,10,15
E01019913,0,5,5,5,0,0,0,5,0,5,5,0,5,0,0
E01019914,0,10,15,10,10,15,15,20,30,25,30,25,25,30,20
E01019915,0,0,5,5,5,5,5,5,5,5,10,5,5,5,5
E01019916,5,10,10,5,5,10,10,10,10,5,10,15,15,10,10
E01019917,5,5,5,10,10,15,10,5,10,15,10,15,10,15,10
E01019918,5,10,10,10,10,10,5,10,5,10,5,10,10,15,10
E01019919,5,5,0,5,5,5,10,10,15,10,10,10,10,10,10
E01019920,5,5,10,5,5,10,10,10,10,15,15,15,15,10,10
E01019921,5,0,0,0,5,15,10,10,10,15,15,10,15,15,10
E01019922,10,5,10,10,10,15,10,15,10,5,10,10,10,10,10
E01019923,10,5,5,5,5,5,5,10,10,20,15,15,15,15,10
E01019924,10,10,10,15,10,10,15,15,15,15,20,20,20,15,10
E01019925,5,5,10,5,10,15,15,5,10,15,10,10,5,10,10
E01019927,5,5,5,5,5,5,15,15,15,10,10,10,10,10,10
E01019928,10,10,15,10,5,10,10,10,15,15,20,15,15,15,15
E01019929,10,5,10,5,5,5,10,15,10,15,15,15,15,15,10
E01019930,5,5,5,5,5,5,5,5,5,5,10,10,10,15,5
E01019931,0,5,5,5,10,5,5,10,5,5,10,10,10,10,10
E01019932,10,10,10,5,5,10,15,15,20,15,20,15,20,20,20
E01019933,5,5,10,10,10,10,15,15,20,15,15,10,10,5,10
E01019934,0,0,5,5,10,10,15,15,15,15,15,15,10,10,10
E01019935,5,5,5,5,5,5,5,0,5,5,0,10,10,0,5
E01019936,10,5,5,5,5,5,10,10,5,5,5,10,5,10,5
E01019937,5,10,10,10,10,10,10,20,15,15,10,15,10,15,10
E01019938,5,10,10,5,5,5,5,10,10,10,10,10,10,10,0
E01019939,5,10,5,5,5,15,15,10,15,15,10,10,10,5,5
E01019940,0,5,0,0,0,5,0,5,5,5,5,10,10,5,5
E01019942,5,5,10,10,10,10,10,10,10,10,15,20,20,15,15
E01019943,5,5,5,10,5,5,5,10,5,10,10,10,15,10,15
E01019944,0,5,0,5,5,0,5,5,10,10,15,10,10,10,10
E01019945,10,10,5,5,5,10,10,10,10,10,20,15,15,15,15
E01019946,5,0,0,0,0,5,5,0,5,5,0,0,5,5,0
E01019947,5,0,5,5,5,5,5,5,10,10,10,10,10,10,10
E01019948,0,5,5,0,5,5,0,5,5,5,5,0,5,5,5
E01019949,0,0,5,5,5,5,5,5,10,5,10,10,10,10,10
E01019950,5,5,5,5,5,5,10,10,5,5,5,10,10,10,10
E01019951,5,5,5,5,0,5,10,5,10,15,10,15,15,15,15
E01019952,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
E01019953,5,0,5,0,5,5,5,5,5,5,5,10,10,5,10
E01019954,5,5,0,5,10,5,5,10,5,10,15,20,20,15,15
E01019955,5,5,5,0,5,10,10,10,5,5,5,10,15,15,10
E01019956,5,5,0,5,5,10,10,10,5,5,5,10,10,5,0
E01019957,0,5,0,0,0,0,0,0,5,5,5,5,5,5,5
E01019958,0,0,0,5,5,5,5,5,5,10,10,10,10,10,5
E01019959,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
E01019960,0,0,5,0,0,5,0,5,5,0,5,5,0,0,5
E01019961,0,5,5,5,5,5,5,10,10,5,5,10,5,5,5
E01019962,10,15,15,15,15,10,15,15,15,20,15,15,20,15,15
E01019963,0,5,5,5,5,5,5,10,5,5,5,5,5,5,5
E01019964,0,0,0,0,0,0,5,0,5,0,5,5,5,5,5
E01019965,5,5,0,5,5,0,5,5,5,5,10,10,5,10,10
E01019966,0,5,5,5,0,5,0,0,0,0,5,5,5,5,5
