Area,2011,2012,2013,2014,2015
E01015165,0.01885333,0.016439992,0.02187334,0.02196645,0.021250401
E01015166,0.015223666,0.016311787,0.018560918,0.017913647,0.017299198
E01015167,0.024102505,0.021560027,0.027484377,0.027139972,0.026806815
E01015168,0.023424927,0.022038916,0.026723149,0.025613041,0.02534003
E01015169,0.027234837,0.025790817,0.025137096,0.025293001,0.02505371
E01015170,0.02152563,0.022124326,0.024533019,0.024590838,0.023885689
E01015171,0.023006029,0.021395481,0.024698218,0.025601203,0.025068538
E01015172,0.02667776,0.023325682,0.026885461,0.027201274,0.026764174
E01015173,0.024602776,0.021798304,0.024149233,0.025472001,0.02502539
E01015174,0.022929877,0.020738114,0.025669071,0.023937588,0.023276965
E01015175,0.02928807,0.026963144,0.031208322,0.031556621,0.031143504
E01015176,0.025352318,0.026867321,0.029866132,0.028612098,0.027878854
E01015177,0.028409834,0.025953535,0.029386866,0.029322809,0.028996652
E01015178,0.028953423,0.026854333,0.029450949,0.029342127,0.029087735
E01015179,0.032250378,0.030260831,0.032503319,0.032663391,0.032316522
E01015180,0.022083939,0.023624634,0.025596459,0.024826528,0.024479935
E01015181,0.027117367,0.023629407,0.026087506,0.025658327,0.025396818
E01015182,0.023126673,0.022105799,0.024763176,0.024559538,0.024243115
E01015183,0.022092589,0.02078377,0.023935613,0.022249833,0.021155808
E01015184,0.020954537,0.016545877,0.019748383,0.017600152,0.016033131
E01015185,0.020786458,0.019208285,0.021591411,0.021725204,0.020959917
E01015186,0.029216547,0.028845201,0.030910554,0.028831881,0.028084025
E01015187,0.018972711,0.018106963,0.020821119,0.020283365,0.019071719
E01015188,0.019452119,0.015656926,0.020432951,0.019394761,0.018564946
E01015189,0.026825798,0.026054661,0.030311145,0.030074273,0.029430388
E01015190,0.014952402,0.016372569,0.01832713,0.016112832,0.014980931
E01015191,0.014870413,0.013862456,0.016736319,0.01480724,0.013645303
E01015192,0.018158338,0.020134432,0.024268956,0.023788594,0.022818681
E01015193,0.023656289,0.022480031,0.023902163,0.022567381,0.021652416
E01015194,0.018555021,0.01808833,0.021122778,0.019244599,0.01778303
E01015195,0.021478534,0.020149541,0.022593176,0.021628159,0.020823718
E01015196,0.01911287,0.024409709,0.025108346,0.024737209,0.023643361
E01015197,0.01760338,0.015404702,0.01778173,0.016093906,0.014932392
E01015198,0.019530318,0.016314816,0.019382244,0.017903581,0.016996958
E01015199,0.02156698,0.017921689,0.020031908,0.018953081,0.018018266
E01015200,0.020462973,0.019746522,0.024820685,0.023405514,0.021571132
E01015201,0.023875856,0.02105858,0.024009804,0.024767011,0.02386414
E01015202,0.025928711,0.022256848,0.02440408,0.023287889,0.02260659
E01015203,0.022633059,0.017927201,0.0215458,0.020204712,0.019186574
E01015204,0.026994218,0.024838104,0.026082005,0.024090977,0.023285631
E01015205,0.020981098,0.018843557,0.022738592,0.021535742,0.020349844
