Area,16 to 24
E01015238,0.035753817
E01015239,0.037686885
E01015240,0.034765203
E01015241,0.035534965
E01015242,0.040496802
E01015243,0.027268061
E01015244,0.027121429
E01015245,0.033113761
E01015246,0.026137153
E01015247,0.036289402
E01015248,0.037963158
E01015249,0.038575368
E01015250,0.021653333
E01015251,0.020412863
E01015252,0.029919844
E01015253,0.021290735
E01015254,0.026047285
E01015255,0.040686717
E01015256,0.043143396
E01015257,0.040624046
E01015258,0.038027366
E01015259,0.041318275
E01015260,0.042848214
E01015261,0.041646789
E01015262,0.040168651
E01015263,0.040789869
E01015264,0.026491461
E01015265,0.033494309
E01015266,0.039988658
E01015267,0.042032967
E01015268,0.0352
E01015269,0.03628165
E01015270,0.039129346
E01015271,0.016618243
E01019886,0.027351228
E01019887,0.0271875
E01019888,0.026110569
E01019889,0.019096439
E01019890,0.019717617
E01019891,0.027739635
E01019892,0.021954545
E01019893,0.02882994
E01019894,0.013154374
E01019895,0.014718381
E01019896,0.014108597
E01019897,0.02822575
E01019898,0.019544715
E01019899,0.019340304
E01019900,0.015029101
E01019901,0.027586331
E01019902,0.026247972
E01019903,0.027464371
E01019904,0.027653097
E01019905,0.017171498
E01019906,0.01777665
E01019907,0.015704731
E01019908,0.021476119
E01019909,0.015172275
E01019910,0.019546392
E01019911,0.015063518
E01019912,0.027014164
E01019913,0.01491342
E01019914,0.035317967
E01019915,0.017752504
E01019916,0.03960137
E01019917,0.028966252
E01019918,0.037842907
E01019919,0.037493066
E01019920,0.028808013
E01019921,0.019535211
E01019922,0.036216634
E01019923,0.027769388
E01019924,0.029447788
E01019925,0.017172
E01019927,0.035493802
E01019928,0.028043071
E01019929,0.020495379
E01019930,0.01925045
E01019931,0.016086792
E01019932,0.035988439
E01019933,0.026694391
E01019934,0.018615797
E01019935,0.018695481
E01019936,0.02574514
E01019937,0.016209602
E01019938,0.027631088
E01019939,0.015579125
E01019940,0.015266771
E01019942,0.01986858
E01019943,0.016767828
E01019944,0.020749601
E01019945,0.025302529
E01019946,0.013887395
E01019947,0.02573913
E01019948,0.017483685
E01019949,0.014343234
E01019950,0.023829077
E01019951,0.017844027
E01019952,0.015222222
E01019953,0.016531546
E01019954,0.027433333
E01019955,0.018405239
E01019956,0.018864434
E01019957,0.012531746
E01019958,0.014544218
E01019959,0.02802
E01019960,0.021149091
E01019961,0.0199963
E01019962,0.020477392
E01019963,0.017444992
E01019964,0.013317555
E01019965,0.01738162
E01019966,0.019031603
E01019967,0.027087687
E01019968,0.020196568
E01019969,0.021233221
E01019970,0.019215356
E01019971,0.029298566
E01019972,0.040243151
E01019973,0.020343949
E01019974,0.029041237
E01019975,0.038771536
E01019976,0.018728314
E01019977,0.02022459
E01019980,0.039886819
E01019981,0.039613115
E01019982,0.030881944
E01019983,0.016895349
E01019984,0.01828385
E01019985,0.039271881
E01019986,0.018216949
E01019987,0.024792
E01019988,0.019732558
E01019989,0.0214
E01019990,0.044432314
E01019991,0.03820202
E01019992,0.028316998
E01019993,0.017990584
E01019994,0.026497354
E01019995,0.036476923
E01019996,0.023811741
E01019997,0.022082119
E01019998,0.017940171
E01019999,0.014877442
E01020000,0.03901676
E01020001,0.017387037
E01020002,0.037754887
E01020003,0.018673212
E01020004,0.017953822
E01020005,0.035896033
E01020006,0.026868783
E01020007,0.020322418
E01020008,0.015151071
E01020009,0.01958841
E01020010,0.039223647
E01020011,0.019759328
