Area,2005_LCI,2005_UCI,2006_LCI,2006_UCI,2007_LCI,2007_UCI,2008_LCI,2008_UCI,2009_LCI,2009_UCI,2010_LCI,2010_UCI,2011_LCI,2011_UCI,2012_LCI,2012_UCI,2013_LCI,2013_UCI,2014_LCI,2014_UCI,2015_LCI,2015_UCI,2016_LCI,2016_UCI,2017_LCI,2017_UCI
E01015037,0.006270986,0.010020814,0.008609468,0.012254792,0.007376988,0.011090666,0.004165587,0.008173293,0.010187404,0.013840535,0.007694498,0.011562946,0.011676927,0.015263645,0.008567895,0.012196303,0.01043954,0.01407812,0.010265553,0.013669598,0.007719262,0.011266148,0.007719262,0.011266148,,
E01015038,0.00410729,0.007239823,0.006680684,0.009534149,0.004878037,0.007810279,0.003818751,0.006734092,0.007512998,0.010243588,0.007028696,0.009741951,0.007159356,0.009765995,0.005904369,0.008531428,0.00505741,0.007914868,0.004597927,0.0073647,0.004597927,0.0073647,0.004597927,0.0073647,,
E01015039,0.002876682,0.004891994,0.004882223,0.006730888,0.005185222,0.006951065,0.004446781,0.006184499,0.005214668,0.006840553,0.004370664,0.005941537,0.005952099,0.007482366,0.004477787,0.006129737,0.005214668,0.006840553,0.005874767,0.007663628,0.004696298,0.006529369,0.004696298,0.006529369,,
E01015040,0.00968871,0.012576001,0.009930327,0.012827922,0.009669479,0.01249526,0.011602873,0.014436768,0.014562681,0.01730083,0.013672467,0.016460407,0.014536379,0.017166707,0.014651098,0.017299499,0.013686385,0.016476857,0.013986276,0.01679973,0.009214811,0.012287594,0.010173414,0.013196694,,
E01015041,0.007703424,0.010667533,0.00888983,0.011859355,0.007949284,0.010832162,0.007485724,0.010460886,0.011766787,0.014556847,0.011556203,0.014465404,0.012076433,0.0148947,0.012558953,0.015440754,0.010714019,0.013558959,0.010502472,0.013342382,0.008757464,0.011684823,0.009669514,0.012551402,,
E01015042,0.008500194,0.011278982,0.008572928,0.011374401,0.009342274,0.012077637,0.010151243,0.012902149,0.011308947,0.014036968,0.013459434,0.016178326,0.013893961,0.016495547,0.011780808,0.014463535,0.009454106,0.012275282,0.009426715,0.012240159,0.007546587,0.010452537,0.010239296,0.013012555,,
E01015043,0.012987171,0.015710753,0.013513016,0.016241568,0.011622566,0.014420263,0.011254715,0.013970654,0.013867347,0.016464539,0.015626038,0.018169846,0.01715302,0.019528147,0.01755142,0.020019688,0.016778069,0.019191109,0.016625484,0.019037266,0.012373,0.015041948,0.012373,0.015041948,,
E01015044,0.008792285,0.011537017,0.008788764,0.011370334,0.010302415,0.012840671,0.010560098,0.013235924,0.013841617,0.01629372,0.013378257,0.015870139,0.013768398,0.01618768,0.01384337,0.016232515,0.01254027,0.015064581,0.011943771,0.014385467,0.008672867,0.0112725,0.009422002,0.01198677,,
E01015045,0.011466242,0.015243954,0.011608461,0.015255171,0.012472821,0.01592478,0.009930475,0.013229312,0.01499586,0.01772399,0.013521631,0.016165718,0.014706473,0.017224463,0.014917582,0.017287281,0.014877358,0.017612876,0.012588403,0.015018903,0.009497814,0.012082018,0.010196171,0.012747189,,
E01015046,0.015196528,0.017855891,0.017057037,0.019421498,0.016256336,0.018607876,0.013613592,0.015909868,0.016134154,0.018185963,0.01679387,0.01862071,0.016816187,0.018628186,0.016653959,0.01853913,0.015423517,0.017521131,0.015594877,0.017737848,0.012085702,0.01442877,0.0125892,0.014906078,,
