Area,Low happiness score,Low worthwhile score,Low life satisfaction score
E01015236,26,16,21
E01015237,30,20,25
E01015238,29,21,24
E01015239,29,24,26
E01015240,30,24,26
E01015241,30,21,25
E01015242,32,23,28
E01015243,29,20,25
E01015244,27,18,22
E01015245,28,19,24
E01015246,26,17,21
E01015247,29,20,24
E01015248,31,23,28
E01015249,32,23,28
E01015250,29,19,23
E01015251,25,16,20
E01015252,28,19,23
E01015253,27,17,20
E01015254,25,17,21
E01015255,34,28,31
E01015256,33,27,30
E01015257,34,25,31
E01015258,28,21,24
E01015259,31,23,28
E01015260,32,26,29
E01015261,31,24,27
E01015262,31,21,26
E01015263,34,26,32
E01015264,28,19,23
E01015265,28,19,24
E01015266,35,26,33
E01015267,31,25,27
E01015268,29,23,25
E01015269,27,20,23
E01015270,29,24,26
E01015271,24,16,19
E01019886,28,19,24
E01019887,30,21,26
E01019888,29,21,24
E01019889,26,17,21
E01019890,27,17,21
E01019891,24,15,19
E01019892,27,17,22
E01019893,25,15,19
E01019894,25,18,20
E01019895,23,14,17
E01019896,24,16,19
E01019897,30,21,26
E01019898,24,15,18
E01019899,29,20,24
E01019900,23,14,18
E01019901,22,13,18
E01019902,26,17,21
E01019903,24,15,18
E01019904,30,21,26
E01019905,24,13,16
E01019906,28,19,23
E01019907,27,18,22
E01019908,29,19,24
E01019909,25,17,20
E01019910,26,16,21
E01019911,27,18,22
E01019912,27,21,23
E01019913,26,22,23
E01019914,32,23,29
E01019915,25,16,20
E01019916,31,24,28
E01019917,28,19,23
E01019918,31,23,26
E01019919,32,24,29
E01019920,29,19,24
E01019921,27,17,21
E01019922,34,25,30
E01019923,31,22,28
E01019924,31,21,27
E01019925,28,18,23
E01019927,34,26,31
E01019928,29,20,25
E01019929,29,19,24
E01019930,27,18,23
E01019931,24,14,17
E01019932,31,23,28
E01019933,30,21,25
E01019934,25,16,20
E01019935,22,14,18
E01019936,24,15,19
E01019937,24,15,19
E01019938,22,13,18
E01019939,22,13,17
E01019940,22,13,16
E01019942,28,19,23
E01019943,26,16,21
E01019944,28,18,22
E01019945,24,14,18
E01019946,24,16,19
E01019947,31,24,27
E01019948,28,20,24
E01019949,27,19,22
E01019950,30,22,27
E01019951,24,15,19
E01019952,27,19,23
E01019953,26,17,22
E01019954,30,21,27
E01019955,29,21,25
E01019956,30,23,26
E01019957,25,19,21
E01019958,26,17,21
E01019959,23,14,18
E01019960,22,12,17
E01019961,24,14,18
E01019962,25,15,19
E01019963,25,16,20
E01019964,21,12,16
E01019965,26,17,20
E01019966,23,14,18
E01019967,22,13,18
E01019968,26,17,21
E01019969,29,20,23
E01019970,28,17,22
E01019971,30,23,26
E01019972,31,22,27
E01019973,29,20,25
E01019974,30,21,26
E01019975,33,23,29
E01019976,26,17,20
E01019977,30,20,26
E01019980,31,23,28
E01019981,30,20,25
E01019982,30,21,25
E01019983,28,19,24
E01019984,28,18,23
E01019985,33,25,31
E01019986,27,18,22
E01019987,30,23,26
E01019988,28,19,23
E01019989,27,18,22
E01019990,35,27,33
E01019991,32,24,29
E01019992,30,20,26
E01019993,27,17,21
E01019994,30,22,24
E01019995,36,30,34
E01019996,29,23,24
E01019997,28,19,22
E01019998,27,17,22
E01019999,23,14,17
E01020000,35,27,33
E01020001,25,15,18
E01020002,30,21,26
E01020003,25,15,19
E01020004,26,16,20
E01020005,31,21,27
E01020006,31,22,27
E01020007,28,18,20
E01020008,29,19,23
E01020009,28,18,21
E01020010,32,23,29
E01020011,27,17,21
E01020012,33,23,29
E01020013,30,21,26
E01020014,35,26,33
E01020015,36,27,35
E01020016,35,29,31
E01020017,30,22,25
E01020018,33,27,29
E01020019,28,18,19
E01020020,28,18,20
E01020021,27,18,20
E01020022,32,24,26
E01020023,27,18,22
E01020024,26,17,19
E01020025,28,20,22
E01020026,27,17,21
E01020027,29,20,24
E01020029,30,21,26
E01020030,32,24,28
E01020031,30,20,25
E01020032,28,18,22
E01020033,26,17,21
E01020035,27,17,21
E01020036,31,22,27
E01020037,34,26,32
E01020038,27,17,20
E01020039,36,28,35
E01020040,29,21,26
E01020041,31,22,27
E01020042,26,16,20
E01020043,27,17,22
E01020044,24,15,19
E01020045,24,14,19
E01020046,24,14,19
E01020047,27,18,22
E01020048,31,23,27
E01020049,22,13,18
E01020050,25,16,21
E01020051,25,16,20
E01020052,31,23,27
E01020053,32,22,28
E01020054,27,16,20
E01020055,30,21,26
E01020056,23,14,19
E01020057,32,23,29
E01020058,26,16,20
E01020059,24,15,19
E01020060,30,22,26
E01020061,26,16,20
E01020062,24,15,18
E01020063,28,19,24
E01020064,29,20,24
E01020065,31,22,27
E01020066,26,15,20
E01020067,34,25,32
E01020068,24,15,18
E01020069,25,15,20
E01020070,23,14,19
E01020071,26,17,21
E01020072,23,13,18
E01020073,25,16,20
E01020074,23,14,18
E01020075,25,15,20
E01020076,26,16,22
E01020077,23,14,18
E01020078,34,27,32
E01020079,33,25,30
E01020080,24,15,19
E01020081,29,21,26
E01020082,24,14,19
E01020083,26,16,20
E01020084,28,19,24
E01020085,26,16,20
E01020086,25,16,20
E01020087,24,15,20
E01020088,24,15,19
E01020089,27,17,22
E01020090,22,13,17
E01020091,27,17,22
E01020092,26,18,21
E01020093,30,21,26
E01020094,35,30,33
E01020095,33,24,30
E01020096,32,24,28
E01020097,23,13,19
E01020098,24,15,19
E01020099,24,15,18
E01020100,23,14,18
E01020101,28,18,22
E01020102,26,16,19
E01020103,34,25,32
E01020104,31,23,29
E01020105,27,18,22
E01020106,24,16,19
E01020107,25,16,20
E01020108,25,16,19
E01020109,22,13,17
E01020110,28,18,22
E01020111,33,25,30
E01020112,34,28,32
E01020113,30,22,26
E01020114,30,21,26
E01020115,26,18,22
E01020116,29,20,24
E01020117,26,17,21
E01020118,32,23,28
E01020119,23,14,17
E01020120,23,13,16
E01020121,27,17,22
E01020122,23,14,18
E01020123,29,20,25
E01020124,26,18,21
E01020125,25,16,20
E01020126,26,18,21
E01020127,22,13,18
E01020128,23,14,17
E01020129,30,21,26
E01020130,32,23,28
E01020131,24,14,19
E01020132,30,21,25
E01020133,25,16,20
E01020134,32,23,28
E01020135,30,21,26
E01020136,26,17,21
E01020137,29,20,25
E01020138,26,16,21
E01020139,33,24,29
E01020140,28,19,23
E01020141,32,23,29
E01020142,24,15,19
E01020143,24,15,19
E01020144,27,16,20
E01020145,26,15,20
E01020146,27,18,20
E01020147,24,15,19
E01020148,24,14,18
E01020149,27,17,22
E01020150,24,15,19
E01020151,25,17,20
E01020152,31,24,27
E01020153,24,16,19
E01020154,32,22,28
E01020155,37,28,35
E01020156,24,15,18
E01020157,23,13,18
E01020158,25,16,20
E01020159,24,15,19
E01020160,25,15,19
E01020161,28,19,23
E01020162,26,17,21
E01020163,26,15,19
E01020164,28,17,21
E01020165,26,16,20
E01020166,26,15,19
E01020167,25,14,17
E01020168,28,19,23
E01020169,28,19,23
E01020170,25,16,20
E01020171,23,14,17
E01020172,25,16,20
E01020173,26,18,21
E01020174,24,15,18
E01020175,24,15,19
E01020176,25,15,19
E01020177,29,20,24
E01020178,25,16,20
E01020179,23,14,18
E01020180,29,21,26
E01020181,29,19,24
E01020182,29,20,25
E01020183,28,20,23
E01020184,29,21,24
E01020185,24,15,19
E01020186,23,14,17
E01020187,26,17,21
E01020188,23,14,17
E01020189,30,22,26
E01020190,24,15,18
E01020191,24,16,19
E01020192,26,16,20
E01020193,24,14,18
E01020194,25,14,18
E01020195,26,17,22
E01020196,29,20,24
E01020197,25,15,19
E01020198,30,21,26
E01020199,27,18,22
E01020200,24,15,19
E01020201,24,15,19
E01020202,27,18,22
E01020203,24,16,19
E01020204,29,20,24
E01020205,22,13,17
E01020206,27,18,22
E01020207,26,16,21
E01020208,32,22,28
E01020209,30,20,25
E01020210,23,14,17
E01020211,33,25,31
E01020212,32,22,28
E01020213,29,20,25
E01020214,26,17,21
E01020215,24,15,18
E01020216,31,21,27
E01020217,31,24,27
E01020218,33,25,29
E01020219,26,16,20
E01020220,29,19,24
E01020221,26,16,20
E01020222,26,16,19
E01020223,27,17,21
E01020224,31,22,27
E01020225,30,22,26
E01020226,23,14,17
E01020227,28,19,23
E01020228,32,26,29
E01020229,26,17,20
E01020230,26,18,21
E01020231,26,17,21
E01020232,29,20,25
E01020233,24,15,18
E01020234,32,22,27
E01020235,27,19,23
E01020236,24,15,18
E01020237,24,14,17
E01020238,26,16,20
E01020239,23,14,19
E01020240,29,19,23
E01020241,25,15,18
E01020242,25,14,18
E01020243,24,15,18
E01020244,29,20,25
E01020245,25,15,19
E01020246,25,15,19
E01020247,27,18,22
E01020248,24,14,18
E01020249,25,16,20
E01020250,27,17,21
E01020251,24,14,17
E01020252,29,20,24
E01020253,26,16,19
E01020254,32,23,29
E01020255,28,18,23
E01020256,27,18,22
E01020257,24,15,19
E01020258,26,17,21
E01020259,22,13,18
E01020260,25,16,19
E01020261,23,14,18
E01020262,23,14,18
E01020263,26,17,20
E01020264,31,24,27
E01020265,26,16,20
E01020266,25,15,19
E01020267,26,18,21
E01020268,23,15,18
E01020269,33,27,30
E01020270,26,17,21
E01020271,31,23,27
E01020272,33,23,30
E01020273,24,14,18
E01020274,22,13,17
E01020275,30,22,26
E01020276,25,16,20
E01020277,33,24,30
E01020278,25,15,20
E01020279,30,20,25
E01020280,32,25,29
E01020281,25,15,19
E01020282,32,24,28
E01020283,28,19,23
E01020284,32,22,27
E01020285,32,23,29
E01020286,22,13,18
E01020287,23,14,19
E01020288,25,15,20
E01020289,23,13,18
E01020290,24,15,19
E01020291,24,15,20
E01020292,26,16,21
E01020293,24,15,20
E01020294,29,20,24
E01020295,23,14,19
E01020296,23,14,18
E01020297,32,24,29
E01020298,25,16,19
E01020299,26,18,22
E01020300,24,15,18
E01020301,23,14,19
E01020302,23,13,18
E01020303,23,14,18
E01020304,29,20,24
E01020305,31,23,27
E01020306,26,17,21
E01020307,30,20,25
E01020308,24,14,19
E01020309,22,13,18
E01020310,27,19,22
E01020311,24,15,20
E01020312,24,15,19
E01020313,30,20,25
E01020314,23,14,18
E01020315,26,17,21
E01020316,22,13,17
E01020317,23,14,17
E01020318,24,16,20
E01020319,23,13,18
E01020320,22,13,18
E01020321,26,17,21
E01020322,23,13,18
E01020323,27,17,22
E01020324,23,14,18
E01020325,23,14,19
E01020326,27,17,22
E01020327,28,18,23
E01020328,30,21,26
E01020329,26,17,20
E01020330,30,21,26
E01020331,24,14,19
E01020332,28,20,24
E01020333,23,14,18
E01020334,28,19,24
E01020335,25,17,20
E01020336,23,14,17
E01020337,29,22,26
E01020338,28,19,23
E01020339,25,16,20
E01020340,24,15,20
E01020341,22,13,16
E01020342,28,18,23
E01032628,23,14,19
E01032657,33,28,30
E01032658,33,28,30
E01033232,27,17,20
E01033233,27,17,20
E01033234,28,21,25
E01033235,28,20,22
E01033236,28,20,22
E07000040,#REF!,#REF!,#REF!
E07000041,#REF!,#REF!,#REF!
E07000042,#REF!,#REF!,#REF!
E07000043,#REF!,#REF!,#REF!
E07000044,#REF!,#REF!,#REF!
E07000045,#REF!,#REF!,#REF!
E07000046,#REF!,#REF!,#REF!
E07000047,#REF!,#REF!,#REF!
E10000008,#REF!,#REF!,#REF!
E06000026,#REF!,#REF!,#REF!
E06000027,#REF!,#REF!,#REF!
IMDQ1,#REF!,#REF!,#REF!
IMDQ2,#REF!,#REF!,#REF!
IMDQ3,#REF!,#REF!,#REF!
IMDQ4,#REF!,#REF!,#REF!
IMDQ5,#REF!,#REF!,#REF!
E02003122,26,16,20
E02003123,32,22,28
E02003124,33,24,29
E02003125,33,24,29
E02003126,31,21,26
E02003127,33,23,29
E02003128,33,24,29
E02003129,28,18,22
E02003130,32,23,29
E02003131,32,23,28
E02003132,30,21,25
E02003133,29,20,25
E02003134,34,24,31
E02003135,34,26,31
E02003136,27,17,22
E02003137,25,16,19
E02003138,28,18,22
E02003139,26,16,20
E02003140,27,17,21
E02003141,32,24,28
E02003142,32,23,29
E02003143,29,19,24
E02003144,29,19,22
E02003145,30,21,25
E02003146,29,20,24
E02003147,37,30,35
E02003148,34,28,31
E02003149,32,24,28
E02003150,34,28,31
E02003151,26,16,20
E02003152,28,18,23
E02003153,27,18,21
E02003154,31,22,28
E02003155,28,20,24
E02003156,28,19,23
E02003157,31,24,28
E02003158,30,22,26
E02003159,30,22,26
E02003161,33,26,29
E02003163,28,22,24
E02003164,26,18,21
E02003165,28,19,24
E02003166,30,21,26
E02003167,32,25,28
E02003168,28,19,23
E02003169,25,16,20
E02003170,29,21,25
E02003171,28,19,24
E02004129,23,14,19
E02004130,30,21,26
E02004131,27,18,22
E02004132,24,15,19
E02004133,28,19,23
E02004134,25,16,20
E02004135,24,15,19
E02004136,25,16,20
E02004137,25,15,19
E02004138,28,20,24
E02004139,28,20,24
E02004140,27,20,23
E02004141,24,15,19
E02004142,23,14,18
E02004143,27,17,21
E02004144,27,18,22
E02004145,26,17,21
E02004146,30,21,26
E02004147,31,23,27
E02004148,28,21,24
E02004149,26,16,20
E02004150,31,23,27
E02004151,28,19,24
E02004152,29,19,21
E02004153,30,21,26
E02004154,29,20,24
E02004155,32,23,29
E02004156,33,26,28
E02004157,27,19,22
E02004158,31,21,26
E02004159,27,18,22
E02004160,29,20,24
E02004161,32,23,30
E02004162,29,20,24
E02004163,28,19,23
E02004164,24,14,19
E02004165,26,16,20
E02004166,25,16,21
E02004167,32,23,29
E02004168,32,24,29
E02004169,25,16,20
E02004170,29,19,24
E02004171,25,16,20
E02004172,25,15,20
E02004173,25,15,19
E02004174,28,19,23
E02004175,31,23,28
E02004176,25,16,20
E02004177,29,20,25
E02004178,23,14,18
E02004179,28,18,22
E02004180,23,14,18
E02004181,30,21,25
E02004182,32,24,29
E02004183,28,20,24
E02004184,29,20,25
E02004185,25,16,20
E02004186,26,16,21
E02004187,26,17,22
E02004188,25,15,20
E02004189,27,16,20
E02004190,25,15,19
E02004191,29,20,24
E02004192,24,15,18
E02004193,27,16,20
E02004194,24,15,19
E02004195,31,22,27
E02004196,24,15,19
E02004197,24,15,19
E02004198,29,20,24
E02004199,24,15,19
E02004200,25,16,20
E02004201,24,15,18
E02004202,26,16,20
E02004203,24,14,19
E02004204,26,17,21
E02004205,27,18,22
E02004206,29,20,24
E02004207,26,17,20
E02004208,25,16,20
E02004209,28,18,22
E02004210,32,24,29
E02004211,24,15,18
E02004212,28,18,22
E02004213,25,16,20
E02004214,32,24,29
E02004215,28,19,23
E02004216,28,18,23
E02004217,27,18,23
E02004218,25,16,20
E02004219,25,15,19
E02004220,28,20,24
E02004221,25,17,20
E02004222,30,21,25
E02004223,30,21,26
E02004224,24,15,19
E02004225,29,20,24
E02004226,24,14,19
E02004227,25,15,20
E02004228,23,14,19
E02004229,25,15,20
E02004230,29,19,24
E02004231,25,16,20
E02004232,24,14,19
E02004233,26,18,22
E02004234,24,15,19
E02004235,25,16,20
E02006840,28,19,23
TOWN01,#REF!,#REF!,#REF!
TOWN02,#REF!,#REF!,#REF!
TOWN03,#REF!,#REF!,#REF!
TOWN04,#REF!,#REF!,#REF!
TOWN05,#REF!,#REF!,#REF!
TOWN06,#REF!,#REF!,#REF!
TOWN07,#REF!,#REF!,#REF!
TOWN08,#REF!,#REF!,#REF!
TOWN09,#REF!,#REF!,#REF!
TOWN10,#REF!,#REF!,#REF!
TOWN11,#REF!,#REF!,#REF!
TOWN12,#REF!,#REF!,#REF!
TOWN13,#REF!,#REF!,#REF!
TOWN14,#REF!,#REF!,#REF!
TOWN15,#REF!,#REF!,#REF!
TOWN16,#REF!,#REF!,#REF!
TOWN17,#REF!,#REF!,#REF!
TOWN18,#REF!,#REF!,#REF!
TOWN19,#REF!,#REF!,#REF!
TOWN20,#REF!,#REF!,#REF!
TOWN21,#REF!,#REF!,#REF!
TOWN22,#REF!,#REF!,#REF!
TOWN23,#REF!,#REF!,#REF!
TOWN24,#REF!,#REF!,#REF!
TOWN25,#REF!,#REF!,#REF!
TOWN26,#REF!,#REF!,#REF!
TOWN27,#REF!,#REF!,#REF!
TOWN28,#REF!,#REF!,#REF!
TOWN29,#REF!,#REF!,#REF!
DIV1,#REF!,#REF!,#REF!
DIV2,#REF!,#REF!,#REF!
DIV3,#REF!,#REF!,#REF!
DIV4,#REF!,#REF!,#REF!
DIV5,#REF!,#REF!,#REF!
DIV6,#REF!,#REF!,#REF!
DIV7,#REF!,#REF!,#REF!
DIV8,#REF!,#REF!,#REF!
DIV9,#REF!,#REF!,#REF!
DIV10,#REF!,#REF!,#REF!
DIV11,#REF!,#REF!,#REF!
DIV12,#REF!,#REF!,#REF!
DIV13,#REF!,#REF!,#REF!
DIV14,#REF!,#REF!,#REF!
DIV15,#REF!,#REF!,#REF!
DIV16,#REF!,#REF!,#REF!
DIV17,#REF!,#REF!,#REF!
DIV18,#REF!,#REF!,#REF!
DIV19,#REF!,#REF!,#REF!
DIV20,#REF!,#REF!,#REF!
DIV21,#REF!,#REF!,#REF!
DIV22,#REF!,#REF!,#REF!
DIV23,#REF!,#REF!,#REF!
DIV24,#REF!,#REF!,#REF!
DIV25,#REF!,#REF!,#REF!
DIV26,#REF!,#REF!,#REF!
DIV27,#REF!,#REF!,#REF!
DIV28,#REF!,#REF!,#REF!
DIV29,#REF!,#REF!,#REF!
DIV30,#REF!,#REF!,#REF!
DIV31,#REF!,#REF!,#REF!
DIV32,#REF!,#REF!,#REF!
DIV33,#REF!,#REF!,#REF!
DIV34,#REF!,#REF!,#REF!
DIV35,#REF!,#REF!,#REF!
DIV36,#REF!,#REF!,#REF!
DIV37,#REF!,#REF!,#REF!
DIV38,#REF!,#REF!,#REF!
DIV39,#REF!,#REF!,#REF!
DIV40,#REF!,#REF!,#REF!
DIV41,#REF!,#REF!,#REF!
DIV42,#REF!,#REF!,#REF!
DIV43,#REF!,#REF!,#REF!
DIV44,#REF!,#REF!,#REF!
DIV45,#REF!,#REF!,#REF!
DIV46,#REF!,#REF!,#REF!
DIV47,#REF!,#REF!,#REF!
DIV48,#REF!,#REF!,#REF!
DIV49,#REF!,#REF!,#REF!
DIV50,#REF!,#REF!,#REF!
DIV51,#REF!,#REF!,#REF!
DIV52,#REF!,#REF!,#REF!
DIV53,#REF!,#REF!,#REF!
DIV54,#REF!,#REF!,#REF!
DIV55,#REF!,#REF!,#REF!
DIV56,#REF!,#REF!,#REF!
DIV57,#REF!,#REF!,#REF!
DIV58,#REF!,#REF!,#REF!
CHSCTAXE,#REF!,#REF!,#REF!
CHSCTBARNSTAPLE,#REF!,#REF!,#REF!
CHSCTBIDEFORD,#REF!,#REF!,#REF!
CHSCTBRAUNTON,#REF!,#REF!,#REF!
CHSCTCREDITON,#REF!,#REF!,#REF!
CHSCTCULLOMPTON,#REF!,#REF!,#REF!
CHSCTDAWLISH,#REF!,#REF!,#REF!
CHSCTEXETERCHALL,#REF!,#REF!,#REF!
CHSCTEXETERSYCAMORE,#REF!,#REF!,#REF!
CHSCTEXMOUTH,#REF!,#REF!,#REF!
CHSCTHONITON,#REF!,#REF!,#REF!
CHSCTIVYBRIDGE,#REF!,#REF!,#REF!
CHSCTKINGSBRIDGE,#REF!,#REF!,#REF!
CHSCTNABBOT,#REF!,#REF!,#REF!
CHSCTOKE,#REF!,#REF!,#REF!
CHSCTSMOLTON,#REF!,#REF!,#REF!
CHSCTTAVISTOCK,#REF!,#REF!,#REF!
CHSCTTEIGN,#REF!,#REF!,#REF!
CHSCTTIVERTON,#REF!,#REF!,#REF!
CHSCTTORRINGTON,#REF!,#REF!,#REF!
CHSCTTOTNES,#REF!,#REF!,#REF!
Eastern,,,
Northern,,,
Southern,,,
Western,,,
