Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E01019889,18954,13588,7415,27085,12875,31761
E01019890,25034,22937,7451,25016,6164,25325
E01019891,22938,25191,920,26585,250,31787
E01019892,21197,19991,1705,24980,5944,30953
E01019893,16457,20054,1770,28928,2854,30631
E01019894,24874,29715,9677,26124,18754,30801
E01019895,21517,29037,4898,28684,13076,30035
E01019896,17355,28458,13684,26335,18988,30643
E01019897,7774,18864,16939,19612,12230,32300
E01019898,18261,25966,1468,28932,5285,31281
E01019899,12344,18503,7460,25084,13822,31715
E01019900,28375,24762,4397,28200,7368,31339
E01019901,26217,21226,291,27415,95,32455
E01019902,16466,13995,466,28069,1901,32225
E01019903,12838,24678,1431,24875,1720,31736
E01019904,5334,11095,25613,23178,16796,31296
E01019905,25694,24107,8887,30857,32452,31323
E01019906,17387,19712,32254,29438,23730,31774
E01019907,9504,15202,17281,27777,24831,31081
E01019908,4808,15013,8127,27304,27441,31786
E01019909,19409,18336,10667,29634,18224,30190
E01019910,21458,23650,16076,29737,10225,28606
E01019911,18291,20674,12462,28241,26962,31393
E01019912,16037,23561,25588,18489,6100,31966
E01019913,19469,24721,5925,24322,20518,32435
E01019914,1161,8337,12214,16738,11101,31705
E01019915,22487,21731,13737,21566,12445,29666
E01019916,9969,16245,31702,14795,286,26011
E01019917,12760,19010,28572,23431,2855,29519
E01019918,13025,20589,26988,15350,912,27949
E01019919,5339,13814,28225,16258,1140,26446
E01019920,11239,15151,7416,23805,15297,30649
E01019921,16007,19512,21401,28214,17486,29782
E01019922,2163,8156,25461,17364,10211,27767
E01019923,2455,10492,16514,23815,18771,30574
E01019924,2525,10722,8432,22354,9729,29397
E01019925,21382,16303,12283,27978,19517,31460
E01019927,4821,8761,22486,15023,10033,27522
E01019928,4464,10444,7337,25314,20423,30239
E01019929,17834,14640,8018,28774,21356,32049
E01019930,15293,17122,4146,26297,26867,30481
E01019931,27294,23478,4205,31636,30770,32023
E01019932,11963,13497,11023,16606,7529,28960
E01019933,12337,13780,20204,18846,6596,29265
E01019934,13792,19673,11916,23918,25948,31970
E01019935,24037,25039,1714,26927,1494,31643
E01019936,27044,18202,6048,23366,2646,32232
E01019937,25236,23060,3785,29221,19440,31532
E01019938,25941,19527,78,30599,499,32556
E01019939,28856,28584,1050,28526,8368,31834
E01019940,31335,28605,2267,29620,12097,32495
E01019942,20273,19822,10585,22816,14267,31404
E01019943,23292,24077,13044,27846,23992,32397
E01019944,25876,26278,21762,22474,4690,30936
E01019945,17375,22357,1021,25260,2458,30587
E01019946,23881,22397,10029,27175,25346,32499
E01019947,17043,16908,27809,16405,801,31338
E01019948,13321,13110,24974,27482,25154,32181
E01019949,24230,17926,8390,24903,22338,32204
E01019950,12774,11332,26033,23581,21025,31756
E01019951,27528,24149,3763,25704,8537,32550
E01019952,17707,18044,10332,27225,23868,31253
E01019953,16129,20212,7481,27281,27367,31741
E01019954,4381,12348,8901,22030,19507,32121
E01019955,15680,18226,16630,22847,10820,30834
E01019956,25571,24919,22739,23115,4079,26262
E01019957,29114,28899,7699,23534,23050,31731
E01019958,24507,25304,16369,25200,19600,31510
E01019959,18293,23595,2199,28789,503,31915
E01019960,23030,25359,1951,28886,1015,32193
E01019961,29865,24551,2187,26603,2763,32298
E01019962,24791,29534,3656,27908,1545,30807
E01019963,28074,27864,24711,28310,9602,31502
E01019964,18666,28963,1725,30169,6443,30981
E01019965,22585,26286,12466,26768,8256,30411
E01019966,25755,19924,3581,27327,3293,29539
E01019967,26115,19368,567,29060,133,31472
E01019968,20944,21281,26458,13749,22726,28150
E01019969,16178,16928,23758,14200,7086,21930
E01019970,19590,19509,10749,17548,20805,24913
E01019971,8324,26456,9229,12821,7140,24925
E01019972,8872,12864,13916,9974,2817,14526
E01019973,22212,11641,10985,15673,11193,19949
E01019974,16564,11480,8513,14925,14091,27573
E01019975,1890,6368,29094,9049,3749,25277
E01019976,21088,17492,9487,18211,20609,25960
E01019977,12178,10841,17041,16962,11311,26954
E01019980,4724,14383,7533,9949,4802,29273
E01019981,8223,9806,15996,10957,11972,28672
E01019982,9244,20044,6823,11133,4779,29536
E01019983,18444,14000,23481,15687,24804,28981
E01019984,18770,14497,10791,22941,24239,29041
E01019985,5951,4418,27335,8390,15705,27466
E01019986,25806,29433,18824,19031,13201,17692
E01019987,11660,25136,30682,8803,2185,16973
E01019988,16187,20831,22362,17606,8538,17630
E01019989,19179,28352,32157,17499,2450,20697
E01019990,5280,3333,3791,8180,4106,24128
E01019991,4716,8152,8498,8916,5122,19421
E01019992,10562,10501,12759,14675,11614,16446
E01019993,17073,19800,3533,22529,26701,25430
E01019994,29681,27432,28838,7281,1950,22111
E01019995,13615,16625,30737,4763,1703,10191
E01019996,19951,30508,22111,7014,1614,13908
E01019997,22515,29120,24707,7921,414,26398
E01019998,22748,24996,13192,18642,28399,27848
E01019999,30087,32103,15011,16428,16222,26464
E01020000,9278,9171,18042,8652,6543,23912
E01020001,30296,29241,4206,20778,20087,25162
E01020002,8573,10008,9866,13141,20837,26468
E01020003,27394,21166,16698,21186,21635,24736
E01020004,25904,22079,22931,23846,19060,22847
E01020005,5127,6677,20334,9183,6104,21527
E01020006,7357,18452,13282,9880,4793,16236
E01020007,21986,28613,23391,6941,1131,21549
E01020008,13254,28916,28516,8006,928,26814
E01020009,30679,30870,30532,14408,3012,24124
E01020010,543,8573,22279,9051,4914,18464
E01020011,12032,20376,8759,17392,18299,16875
E01020012,1885,8026,23333,10889,12217,18666
E01020013,4537,15621,24141,11778,2651,29724
E01020014,1422,2958,25201,6443,1241,23231
E01020015,52,1315,30214,5930,2920,23527
E01020016,7686,19461,19376,5247,2386,14759
E01020017,9970,27581,19176,4219,297,17728
E01020018,10179,21698,21595,5339,1314,10049
E01020019,27500,28265,25078,5828,936,24382
E01020020,28566,27386,30375,4883,949,19266
E01020021,32255,25838,24487,7965,2830,16020
E01020022,8792,20903,30438,4452,1717,17276
E01020023,30499,31116,4773,17638,23180,13242
E01020024,30933,32378,14979,18898,13047,23580
E01020025,26983,31608,13157,12698,2162,22115
E01020026,13364,16363,11296,23628,18408,17588
E01020027,23774,13981,19021,14470,7478,26565
E01020029,20972,20092,32093,14153,4087,23118
E01020030,16863,18624,31933,9327,522,19488
E01020031,22038,17660,24862,13425,3035,21011
E01020032,16145,16324,22503,13175,2805,14924
E01020033,21025,23674,10802,17484,18447,15917
E01020035,21640,27376,2104,21511,22721,25243
E01020036,8288,10372,9847,14344,14451,19432
E01020037,4844,4326,26266,8623,2956,21519
E01020038,26535,23391,11336,21087,18495,21387
E01020039,3305,4148,16800,7601,5074,26246
E01020040,17774,9964,12243,13655,10470,24436
E01020041,2817,11639,15937,20920,3045,32239
E01020042,14035,20396,12200,31336,21327,31436
E01020043,20190,18844,11174,25360,5760,32652
E01020044,28385,29157,1448,29482,531,32771
E01020045,26470,24201,4810,28889,1894,30281
E01020046,16946,20242,343,30940,283,32466
E01020047,13502,16578,2770,26008,8636,32116
E01020048,10955,13050,15619,18539,533,27956
E01020049,15682,18069,26,28474,217,32765
E01020050,12266,17042,4426,26392,189,32754
E01020051,8969,18058,4938,28116,17850,32337
E01020052,5691,9205,15352,16558,5028,28446
E01020053,1648,6397,14766,20634,9981,31766
E01020054,12430,18150,10368,30961,22977,32472
E01020055,2231,7792,27258,18993,3811,29951
E01020056,28792,22221,930,29319,481,32141
E01020057,4316,6659,17069,19741,3856,32048
E01020058,15413,15077,7847,29227,17017,32632
E01020059,22479,21817,2137,28769,600,32740
E01020060,13677,12753,27860,20116,2991,31435
E01020061,12909,18200,19627,23555,15815,32696
