Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01019988,Exeter 013A,154,0,0,0,<5,<5,158
E01019989,Exeter 006B,92,0,0,0,<5,<5,94
E01019990,Exeter 002A,148,0,<5,<5,<5,6,160
E01019991,Exeter 002B,184,0,0,<5,<5,10,198
E01019992,Exeter 003A,195,0,<5,0,<5,<5,198
E01019993,Exeter 002C,93,0,0,<5,0,<5,96
E01019994,Exeter 008A,131,0,0,0,0,9,140
E01019995,Exeter 008B,234,<5,<5,<5,<5,<5,242
E01019996,Exeter 009A,122,0,<5,<5,0,<5,127
E01019997,Exeter 004A,73,0,0,<5,0,<5,77
E01019998,Exeter 001C,108,0,0,<5,0,<5,110
E01019999,Exeter 001D,83,0,0,0,0,<5,87
E01020000,Exeter 002D,136,0,0,0,0,<5,137
E01020001,Exeter 001E,113,0,0,0,0,0,113
E01020002,Exeter 003B,188,<5,0,<5,<5,<5,195
E01020003,Exeter 003C,138,0,0,<5,0,<5,143
E01020004,Exeter 003D,103,0,0,<5,0,<5,108
E01020005,Exeter 003E,221,0,<5,<5,<5,<5,230
E01020006,Exeter 006C,139,0,<5,<5,0,<5,144
E01020007,Exeter 002E,90,0,0,0,0,0,90
E01020008,Exeter 006D,75,0,0,0,0,5,80
E01020009,Exeter 006E,127,0,0,<5,0,<5,131
E01020010,Exeter 013B,208,0,<5,<5,0,<5,213
E01020011,Exeter 015A,90,0,<5,0,0,<5,93
E01020012,Exeter 015B,172,0,0,0,0,<5,173
E01020013,Exeter 013C,139,0,0,<5,<5,<5,145
E01020014,Exeter 013D,246,0,<5,0,<5,<5,253
E01020015,Exeter 013E,257,0,0,0,0,<5,261
E01020016,Exeter 008C,264,0,7,5,8,9,293
E01020017,Exeter 008D,141,0,<5,0,0,9,152
E01020018,Exeter 008E,195,<5,<5,<5,5,<5,206
E01020019,Exeter 004B,85,0,0,0,<5,<5,88
E01020020,Exeter 004C,81,<5,<5,0,<5,6,94
E01020021,Exeter 004D,129,0,<5,5,<5,<5,140
E01020022,Exeter 004E,127,<5,<5,<5,<5,6,141
E01020023,Exeter 009B,180,0,<5,<5,<5,<5,188
E01020024,Exeter 009C,112,0,0,0,0,<5,115
E01020025,Exeter 009D,94,0,0,0,0,<5,97
E01020026,Exeter 011A,175,0,<5,0,<5,<5,181
E01020027,Exeter 011B,110,0,<5,0,<5,<5,115
E01020029,Exeter 010B,111,0,<5,<5,<5,0,115
E01020030,Exeter 010C,224,0,<5,0,6,<5,234
E01020031,Exeter 010D,142,0,0,0,<5,<5,145
E01020032,Exeter 010E,177,<5,<5,0,9,<5,193
E01020033,Exeter 015C,204,0,<5,<5,<5,6,216
E01020035,Exeter 011D,269,0,0,<5,<5,6,279
E01020036,Exeter 007B,145,0,<5,<5,<5,0,148
E01020037,Exeter 007C,182,0,<5,0,0,<5,186
E01020038,Exeter 011E,162,0,<5,<5,0,<5,165
E01020039,Exeter 007D,239,0,0,0,0,<5,242
E01020040,Exeter 007E,127,0,<5,0,<5,10,143
E01020041,Mid Devon 011A,210,<5,<5,<5,5,<5,222
E01020042,Mid Devon 011B,152,0,0,0,<5,<5,154
E01020043,Mid Devon 008A,197,0,0,<5,0,6,206
E01020044,Mid Devon 008B,131,<5,0,<5,<5,5,143
E01020045,Mid Devon 006A,103,<5,0,<5,<5,15,123
E01020046,Mid Devon 001A,46,0,<5,0,<5,74,122
E01020047,Mid Devon 002A,195,<5,<5,0,9,<5,209
E01020048,Mid Devon 005A,180,<5,<5,<5,6,8,197
E01020049,Mid Devon 001B,76,<5,0,<5,0,<5,82
E01020050,Mid Devon 001C,139,<5,<5,<5,<5,48,193
E01020051,Mid Devon 002B,153,<5,<5,<5,<5,5,165
E01020052,Mid Devon 004A,163,<5,0,<5,5,<5,175
E01020053,Mid Devon 004B,118,0,<5,<5,<5,<5,127
E01020054,Mid Devon 007A,164,<5,<5,<5,<5,8,176
E01020055,Mid Devon 007B,216,0,<5,<5,<5,<5,226
E01020056,Mid Devon 008C,138,0,<5,<5,5,11,157
E01020057,Mid Devon 007C,192,0,0,<5,<5,5,201
E01020058,Mid Devon 007D,141,<5,0,<5,<5,10,157
E01020059,Mid Devon 006B,132,0,<5,0,<5,11,148
E01020060,Mid Devon 011C,212,<5,<5,0,<5,<5,218
E01020061,Mid Devon 011D,188,0,0,<5,<5,5,196
E01020062,Mid Devon 006C,138,0,<5,<5,<5,11,152
E01020063,Mid Devon 003A,204,<5,0,0,<5,27,235
E01020064,Mid Devon 006D,186,0,0,0,<5,<5,191
E01020065,Mid Devon 004C,132,<5,0,0,<5,<5,142
E01020066,Mid Devon 002C,135,<5,0,0,<5,8,148
E01020067,Mid Devon 004D,212,0,0,<5,7,8,228
E01020068,Mid Devon 010A,162,0,0,0,0,0,162
E01020069,Mid Devon 010B,136,<5,0,<5,<5,<5,145
E01020070,Mid Devon 010C,138,<5,<5,<5,7,<5,153
E01020071,Mid Devon 008D,157,0,0,0,<5,5,163
E01020072,Mid Devon 009A,83,15,<5,<5,<5,<5,105
E01020073,Mid Devon 009B,122,34,0,<5,<5,<5,164
E01020074,Mid Devon 003B,54,0,<5,0,<5,185,241
E01020075,Mid Devon 003C,18,0,<5,<5,0,211,231
E01020076,Mid Devon 009C,131,<5,0,<5,0,<5,138
E01020077,Mid Devon 001D,115,0,0,0,<5,0,116
E01020078,Mid Devon 005B,128,0,0,0,5,8,141
E01020079,Mid Devon 005C,154,<5,0,0,<5,5,164
E01020080,Mid Devon 002D,79,0,<5,0,<5,<5,85
E01020081,Mid Devon 005D,118,0,0,<5,5,6,130
E01020082,Mid Devon 009D,98,<5,<5,<5,0,<5,107
E01020083,Mid Devon 010D,211,<5,0,<5,0,5,219
E01020084,North Devon 012A,5,193,<5,0,<5,<5,205
E01020085,North Devon 012B,<5,141,0,0,<5,5,152
E01020086,North Devon 012C,6,149,0,<5,0,<5,159
E01020087,North Devon 014A,22,124,<5,<5,<5,16,170
E01020088,North Devon 006A,<5,173,<5,<5,<5,7,186
E01020089,North Devon 005A,7,178,0,<5,0,8,194
E01020090,North Devon 004A,8,147,0,<5,<5,<5,160
E01020091,North Devon 005B,<5,94,0,<5,0,<5,100
E01020092,North Devon 005C,<5,114,0,0,0,6,121
E01020093,North Devon 005D,<5,166,0,<5,<5,5,177
E01020094,North Devon 008A,10,261,0,<5,7,7,286
E01020095,North Devon 008B,<5,186,0,0,<5,<5,194
E01020096,North Devon 009A,9,227,0,<5,5,5,248
E01020097,North Devon 013A,17,145,0,<5,<5,<5,167
E01020098,North Devon 014B,43,122,0,<5,0,12,179
E01020099,North Devon 002A,12,112,0,<5,<5,7,136
E01020100,North Devon 002B,6,85,0,0,<5,<5,95
E01020101,North Devon 002C,5,129,0,<5,<5,13,149
E01020102,North Devon 010A,<5,110,0,0,<5,<5,118
E01020103,North Devon 010B,<5,215,<5,5,<5,<5,231
E01020104,North Devon 010C,7,162,0,<5,<5,<5,175
E01020105,North Devon 011A,5,186,0,<5,0,<5,196
E01020106,North Devon 011B,5,131,0,<5,<5,<5,143
E01020107,North Devon 011C,5,168,0,0,<5,5,179
