,,14,15,16,17,18,19
E01015212,Torbay 007C,123,128,134,141,162,173
E01015213,Torbay 007D,116,116,138,145,154,160
E01015214,Torbay 006A,152,154,162,163,169,174
E01015215,Torbay 006B,119,117,121,123,122,145
E01015216,Torbay 006C,136,127,131,145,179,198
E01015217,Torbay 008A,191,175,160,176,199,232
E01015218,Torbay 006D,150,166,169,176,173,190
E01015219,Torbay 015A,171,184,192,186,178,188
E01015220,Torbay 015B,125,130,132,122,126,128
E01015221,Torbay 015C,128,123,130,147,188,214
E01015222,Torbay 015D,124,112,113,117,140,154
E01015223,Torbay 015E,92,81,83,91,112,118
E01015224,Torbay 011A,139,135,133,135,142,165
E01015225,Torbay 011B,135,131,141,143,149,145
E01015226,Torbay 011C,110,114,117,112,121,133
E01015227,Torbay 011D,114,111,119,128,140,151
E01015228,Torbay 011E,199,191,186,181,194,214
E01015229,Torbay 014A,208,208,207,210,214,231
E01015230,Torbay 011F,112,121,129,146,151,156
E01015231,Torbay 014B,233,233,250,256,272,281
E01015232,Torbay 014C,234,240,261,266,280,295
E01015233,Torbay 014D,180,181,183,189,200,220
E01015234,Torbay 014E,119,120,126,127,147,146
E01015235,Torbay 014F,252,238,224,211,213,243
E01015236,Torbay 002A,121,129,138,152,151,177
E01015237,Torbay 002B,96,109,119,126,120,125
E01015238,Torbay 002C,171,184,193,196,203,203
E01015239,Torbay 002D,236,237,262,275,301,328
E01015240,Torbay 005A,236,245,257,277,293,322
E01015241,Torbay 005B,159,160,155,166,185,205
E01015242,Torbay 005C,128,124,114,120,130,146
E01015243,Torbay 005D,95,96,104,109,125,138
E01015244,Torbay 018A,129,134,142,139,139,159
E01015245,Torbay 018B,155,152,158,160,168,171
E01015246,Torbay 018C,153,151,165,164,161,172
E01015247,Torbay 018D,134,134,132,143,157,188
E01015248,Torbay 018E,157,140,134,138,157,181
E01015249,Torbay 003A,168,176,181,182,192,209
E01015250,Torbay 003B,106,103,104,108,124,148
E01015251,Torbay 003C,110,98,96,110,122,129
E01015252,Torbay 003D,178,190,197,208,237,293
E01015253,Torbay 003E,97,108,104,112,112,133
E01015254,Torbay 003F,138,142,147,156,160,176
E01015255,Torbay 008B,231,223,211,215,227,261
E01015256,Torbay 008C,246,247,249,245,262,324
E01015257,Torbay 004A,160,174,186,187,199,218
E01015258,Torbay 004B,169,163,167,178,197,233
E01015259,Torbay 004C,138,145,147,154,158,166
E01015260,Torbay 004D,216,211,202,203,219,241
E01015261,Torbay 008D,241,231,225,249,281,311
E01015262,Torbay 001A,134,123,120,127,143,166
E01015263,Torbay 001B,178,174,177,175,194,216
E01015264,Torbay 001C,124,129,139,142,163,168
E01015265,Torbay 001D,144,159,165,166,169,174
E01015266,Torbay 001E,183,183,205,203,227,247
E01015267,Torbay 010A,214,209,211,215,232,242
E01015268,Torbay 010B,183,180,182,198,223,251
E01015269,Torbay 010C,211,208,211,205,226,246
E01015270,Torbay 010D,224,224,237,234,233,266
E01015271,Torbay 010E,129,139,143,148,138,152
E01019886,East Devon 005A,222,215,223,229,241,255
E01019887,East Devon 005B,132,151,156,167,176,195
E01019888,East Devon 005C,174,179,191,199,197,197
E01019889,East Devon 005D,132,134,133,133,142,148
E01019890,East Devon 009A,136,136,141,146,156,163
E01019891,East Devon 006A,114,116,111,129,122,132
E01019892,East Devon 006B,135,141,147,160,222,298
E01019893,East Devon 006C,140,148,154,183,193,222
E01019894,East Devon 017A,134,127,128,140,141,154
E01019895,East Devon 017B,137,127,120,123,129,148
E01019896,East Devon 017C,170,167,168,186,188,192
E01019897,East Devon 017D,132,136,129,127,128,139
E01019898,East Devon 014A,180,188,210,212,229,235
E01019899,East Devon 007A,110,117,120,133,132,138
E01019900,East Devon 007B,158,160,157,145,139,138
E01019901,East Devon 009B,95,79,75,85,102,104
E01019902,East Devon 001A,219,224,220,216,220,241
E01019903,East Devon 006D,154,156,165,166,163,155
E01019904,East Devon 015A,133,137,143,151,155,163
E01019905,East Devon 015B,114,108,105,105,120,130
E01019906,East Devon 015C,132,128,130,133,128,129
E01019907,East Devon 015D,136,136,137,133,126,134
E01019908,East Devon 016A,106,113,120,135,128,125
E01019909,East Devon 016B,145,149,165,162,157,156
E01019910,East Devon 016C,142,139,140,138,149,155
E01019911,East Devon 016D,150,168,173,187,181,196
E01019912,East Devon 020A,193,203,203,207,190,197
E01019913,East Devon 020B,202,221,231,248,262,273
E01019914,East Devon 020C,253,276,299,302,283,254
E01019915,East Devon 020D,175,185,186,197,199,206
E01019916,East Devon 019A,154,151,161,162,175,183
E01019917,East Devon 019B,131,129,135,138,141,135
E01019918,East Devon 019C,177,162,165,176,172,176
E01019919,East Devon 019D,150,153,140,154,153,165
E01019920,East Devon 018A,122,122,134,148,154,152
E01019921,East Devon 018B,120,132,141,149,146,142
E01019922,East Devon 018C,206,196,207,215,204,200
E01019923,East Devon 018D,104,104,106,119,138,141
E01019924,East Devon 018E,102,99,99,123,131,139
E01019925,East Devon 004A,91,93,86,85,94,104
E01019927,East Devon 002A,172,165,169,178,173,181
E01019928,East Devon 003A,152,157,141,133,136,142
E01019929,East Devon 003B,106,119,122,121,134,135
E01019930,East Devon 003C,117,131,139,147,149,151
E01019931,East Devon 003D,104,110,107,105,91,83
E01019932,East Devon 002B,195,183,166,172,182,195
E01019933,East Devon 002C,125,111,99,108,114,128
E01019934,East Devon 002D,198,202,209,225,225,239
E01019935,East Devon 007C,94,100,96,109,113,124
E01019936,East Devon 007D,97,104,109,114,111,111
E01019937,East Devon 013A,152,147,149,165,175,172
E01019938,East Devon 001B,158,170,171,171,162,166
E01019939,East Devon 008A,111,120,129,134,130,127
E01019940,East Devon 008B,118,127,128,132,124,133
E01019942,East Devon 008C,163,144,150,167,184,184
E01019943,East Devon 008D,122,124,125,127,129,121
E01019944,East Devon 008E,129,145,143,145,134,149
E01019945,East Devon 013B,140,154,150,163,161,178
E01019946,East Devon 010A,158,164,160,165,169,192
