Area,16 to 24
E01020025,0.059003
E01020026,0.052140523
E01020027,0.047689184
E01020029,0.065376656
E01020030,0.091315324
E01020031,0.05874284
E01020032,0.056136569
E01020033,0.072576467
E01020035,0.046092321
E01020036,0.066604976
E01020037,0.062808754
E01020038,0.050115795
E01020039,0.068171943
E01020040,0.058827775
E01020041,0.053833881
E01020042,0.063362655
E01020043,0.058346973
E01020044,0.057492903
E01020045,0.057611915
E01020046,0.040126586
E01020047,0.073439482
E01020048,0.061889348
E01020049,0.05612022
E01020050,0.058011008
E01020051,0.061362093
E01020052,0.066959035
E01020053,0.050312191
E01020054,0.053714266
E01020055,0.082801934
E01020056,0.050363369
E01020057,0.053137264
E01020058,0.0546484
E01020059,0.047209165
E01020060,0.082676734
E01020061,0.063253838
E01020062,0.064375251
E01020063,0.061544861
E01020064,0.061929195
E01020065,0.056191182
E01020066,0.049048842
E01020067,0.057372632
E01020068,0.057022729
E01020069,0.046528092
E01020070,0.051863917
E01020071,0.059439615
E01020072,0.046881344
E01020073,0.059601013
E01020074,0.050833845
E01020075,0.054758105
E01020076,0.044572222
E01020077,0.048034353
E01020078,0.082340344
E01020079,0.053958489
E01020080,0.055907198
E01020081,0.050159881
E01020082,0.044910101
E01020083,0.044049326
E01020084,0.062750266
E01020085,0.049367298
E01020086,0.052925954
E01020087,0.05056461
E01020088,0.055170453
E01020089,0.067250979
E01020090,0.066884618
E01020091,0.055866994
E01020092,0.070927744
E01020093,0.072798369
E01020094,0.0842415
E01020095,0.06562636
E01020096,0.077235797
E01020097,0.048207234
E01020098,0.053837864
E01020099,0.048737571
E01020100,0.057353221
E01020101,0.059333799
E01020102,0.060862733
E01020103,0.048331273
E01020104,0.03747241
E01020105,0.064118508
E01020106,0.063335572
E01020107,0.077682451
E01020108,0.044229188
E01020109,0.052921028
E01020110,0.067084356
E01020111,0.057514853
E01020112,0.056650826
E01020113,0.070155803
E01020114,0.056449231
E01020115,0.052723473
E01020116,0.059976347
E01020117,0.049218082
E01020118,0.04918327
E01020119,0.059388906
E01020120,0.057839158
E01020121,0.049746628
E01020122,0.048771154
E01020123,0.060025567
E01020124,0.07308888
E01020125,0.057083672
E01020126,0.059147572
E01020127,0.045800568
E01020128,0.069701752
E01020129,0.05383
E01020130,0.047776788
E01020131,0.046031493
E01020132,0.066915579
E01020133,0.047528095
E01020134,0.076100717
E01020135,0.071608235
E01020136,0.066118801
E01020137,0.079302892
E01020138,0.058325746
E01020139,0.059085337
E01020140,0.051359574
E01020141,0.041691398
E01020142,0.05361781
E01020143,0.039257284
E01020144,0.02884434
E01020145,0.046429335
E01020146,0.061656903
E01020147,0.047170372
E01020148,0.041065071
E01020149,0.043715086
E01020150,0.070295881
E01020151,0.060033682
E01020152,0.068446161
E01020153,0.047732646
E01020154,0.042399478
E01020155,0.064731349
E01020156,0.052256419
E01020157,0.046856658
E01020158,0.056044432
E01020159,0.050619539
E01020160,0.046078279
E01020161,0.077983924
E01020162,0.032449391
E01020163,0.048278582
E01020164,0.047200217
E01020165,0.045091918
E01020166,0.051657809
E01020167,0.054114684
E01020168,0.073667448
E01020169,0.067037176
E01020170,0.054132329
E01020171,0.055498797
E01020172,0.054329581
E01020173,0.060591356
E01020174,0.051833635
E01020175,0.051871825
E01020176,0.068515305
E01020177,0.07512546
E01020178,0.059847627
E01020179,0.059293646
E01020180,0.059901023
E01020181,0.065265633
E01020182,0.049867731
E01020183,0.066098944
E01020184,0.057291518
E01020185,0.055714035
E01020186,0.05269751
E01020187,0.05927518
E01020188,0.046746571
E01020189,0.063659706
E01020190,0.054552218
E01020191,0.051117275
E01020192,0.061899156
E01020193,0.062911184
E01020194,0.04935734
E01020195,0.054695605
E01020196,0.068409168
E01020197,0.047385136
E01020198,0.046005279
E01020199,0.059997623
E01020200,0.05489503
