Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01020100,849.7726105,993.3054744,998.3712515,847.5923148,767.4365323,769.0496245
E01020101,736.8871759,707.493673,735.2697768,785.0752096,646.5778494,669.6767777
E01020102,766.2321953,710.8966348,722.6209081,690.1782923,650.2854948,624.3683487
E01020103,977.344918,989.6525264,1059.597928,1038.603896,953.3173543,934.9899531
E01020104,997.6754271,967.2810786,968.6792925,1107.799155,1054.973163,1031.792488
E01020105,802.7569121,756.5741248,791.9997627,755.4673932,642.7710814,629.7222739
E01020106,826.8365802,899.9823041,854.139428,786.8307181,682.0389263,726.3517893
E01020107,599.0141723,576.4762884,600.3715653,625.2344808,673.2632827,686.7135559
E01020108,485.5976859,483.882026,525.3175674,521.5244108,477.9319469,475.4360736
E01020109,552.6056319,566.1094728,574.9223589,629.3557346,594.2064768,580.6018407
E01020110,536.1506886,535.2171699,574.9311733,602.8812952,555.2329268,542.3480764
E01020111,850.3312757,823.5891698,805.4511118,846.2131476,790.1149538,792.0034887
E01020112,860.6414034,905.4158117,906.5581776,848.4255668,815.7254644,813.6725085
E01020113,821.8882149,853.6330892,878.879729,868.9531345,808.7694015,808.7700867
E01020114,850.0395581,863.3520491,882.650693,888.7053824,780.4566623,792.4114931
E01020115,829.0120044,785.5454039,799.7105188,776.9085572,674.1039066,667.1627973
E01020116,760.3295341,751.2937535,747.7623696,737.9474384,685.6724068,650.8206343
E01020117,652.7478154,655.9236053,761.6056541,769.6741017,682.6351586,680.8082968
E01020118,811.1427149,856.4521905,831.1989631,875.8278556,778.4953042,761.7372989
E01020119,687.2705046,641.2112459,613.8796153,590.3169644,576.615743,623.8682436
E01020120,598.1618312,606.0443132,625.3473645,600.7815533,566.185183,560.7333223
E01020121,670.4897907,712.914144,731.51593,702.5936071,655.9799256,647.9440412
E01020122,646.4180526,627.9514687,595.3531429,630.9833033,599.7623435,588.4532367
E01020123,818.5665555,770.6316127,882.4840383,866.2182409,796.8175076,779.5170124
E01020124,864.5479813,863.5398094,849.9268984,858.5226552,717.2838884,696.6257557
E01020125,640.6676657,680.9893567,701.144456,655.819407,587.6530213,633.5620227
E01020126,688.1407533,719.5792156,648.6037176,598.2394715,536.6763919,549.3727283
E01020127,558.3956218,595.8099151,609.1276105,609.3801082,533.9061585,539.8003063
E01020128,672.1081026,822.4122273,767.6812864,797.6656591,677.0948603,698.3947569
E01020129,971.0195869,935.8290189,993.1093657,1035.39702,893.5671885,891.4906097
E01020130,980.8020722,991.7212197,1005.836029,976.0187468,920.4999769,909.7837134
E01020131,562.9926559,622.5466257,634.1499481,672.6967451,576.9160691,586.5814199
E01020132,692.4940189,634.188311,639.3174966,649.3621413,586.8856694,573.2943159
E01020133,757.5506502,718.9058438,781.5399592,771.7187918,664.8631785,664.8502483
E01020134,925.2227827,927.1752904,964.8190867,896.528706,847.4369345,827.9332678
E01020135,750.8579217,885.039414,809.9939786,785.1124425,707.7942944,704.8252891
E01020136,814.1554865,628.3903736,627.8456869,562.4747364,500.6110327,518.4446699
E01020137,707.7015294,634.0305316,713.627154,717.3886807,617.7419892,651.1974432
E01020138,522.8273528,523.2001433,500.041526,541.3932162,501.7545693,513.9191679
E01020139,958.0566463,973.4865804,1040.812868,1007.079024,906.5912457,836.5667991
E01020140,1013.261483,1003.347599,995.7321771,1089.010898,866.791101,883.6632141
E01020141,911.6983006,890.9727366,892.8024382,891.0867463,827.618388,805.8321531
