,,4,5,6,7,8,9
Area,Label,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E01015159,Plymouth 002B,78.56875583,79.5259073,79.22265334,79.29602198,79.90499474,80.09609093
E01015160,Plymouth 001C,86.96316439,84.38692797,84.60616619,84.96763838,86.65226777,86.24099368
E01015161,Plymouth 002C,80.52932054,80.68543434,81.37755644,82.50884782,82.69741035,83.09028222
E01015162,Plymouth 002D,80.86907144,81.0517086,81.36673555,80.20739946,80.6159419,80.38683885
E01015163,Plymouth 003D,78.68856546,78.25568493,77.49663541,78.18069956,78.81842166,78.53610406
E01015164,Plymouth 001D,83.9769804,83.72352103,81.66883886,81.5168128,80.35896737,80.52822318
E01015165,Plymouth 003E,81.31977128,82.82602242,83.94341416,88.92357112,82.71441773,82.557888
E01015166,Plymouth 002E,79.60236741,80.57791373,81.82727127,82.52886658,84.44880777,84.00205719
E01015167,Plymouth 020C,79.77172358,80.80500775,79.9482484,80.90572171,82.59362758,82.56313911
E01015168,Plymouth 020D,79.02633379,78.43423975,79.10232816,81.15369145,81.07923746,78.98050287
E01015169,Plymouth 024A,78.62067945,78.87680915,78.46375454,78.47797932,79.10057803,79.28752239
E01015170,Plymouth 024B,77.73264517,78.17460883,78.47394785,78.91832719,78.68039134,76.51428639
E01015171,Plymouth 020E,72.78614424,72.87464392,74.01746153,73.63662532,74.78677775,73.645087
E01015172,Plymouth 029F,79.78555611,79.39070992,80.21533722,78.87253126,80.38189492,81.22841534
E01015173,Plymouth 024C,74.85478531,74.86824322,75.51542428,74.61021552,75.91486906,76.73590123
E01015174,Plymouth 024D,80.20986846,82.45069504,81.59240633,83.76270993,82.79146635,82.50874237
E01015175,Plymouth 025C,80.01987761,78.29342039,79.70494967,80.95379256,82.26483097,82.0605444
E01015176,Plymouth 021F,79.70743632,78.25772695,77.4369884,79.70181316,79.62027663,78.95076686
E01015177,Plymouth 025D,83.07771144,81.75408094,80.60281319,82.28417646,81.92743439,80.2185847
E01015178,Plymouth 025E,81.85853135,82.32878571,83.06303428,80.68348216,81.01285889,82.38360101
E01015179,Plymouth 028B,78.34758627,77.1475998,79.21478957,79.48507968,81.20479084,84.05906678
E01015180,Plymouth 028C,79.92250193,77.52719647,78.73805803,79.73024584,80.13650778,79.72336985
E01015181,Plymouth 028D,77.85623371,80.4899137,78.82569904,77.76326828,79.4710658,84.14599066
E01015182,Plymouth 028E,78.85150085,78.56735282,79.41633761,78.32880251,75.9069721,76.67366772
E01015183,Torbay 017A,77.67702028,78.09564734,80.93703946,82.07829366,82.49769347,81.89975217
E01015184,Torbay 017B,82.73156941,82.70192331,82.6831971,81.67975988,81.5496007,81.98757374
E01015185,Torbay 017C,80.90461746,80.96660999,77.13446494,77.15593042,77.94419473,78.12045267
E01015186,Torbay 017D,78.07613385,78.1314527,77.87225436,79.83169173,80.39755488,82.88608426
E01015187,Torbay 017E,84.94375135,86.09513377,86.23459886,85.59257346,85.45367266,84.97860361
E01015188,Torbay 017F,80.14570549,80.71712452,79.7091721,80.36195414,81.02888268,81.1060603
E01015189,Torbay 017G,80.73502988,85.33330644,84.578458,84.72095629,84.93203194,83.03017678
E01015190,Torbay 013A,79.15655928,79.1172829,78.01373475,79.18332389,78.92009877,79.2556131
E01015191,Torbay 013B,85.56703721,84.42545361,87.01819816,85.93861062,84.63399834,84.58990661
E01015192,Torbay 013C,79.34550303,80.34135816,81.4482542,81.90949418,82.0248065,81.56748431
E01015193,Torbay 013D,81.69933788,82.81134434,80.68550444,83.94847944,81.23526682,81.91326831
E01015194,Torbay 013E,79.39487521,81.91589882,81.80315168,82.22928789,82.50801811,83.22636586
E01015195,Torbay 013F,79.87192187,81.42356875,81.7652331,82.0013876,82.048907,81.90880536
E01015196,Torbay 013G,78.32428289,79.04290703,80.21419776,80.12960668,79.10320933,80.48927015
E01015197,Torbay 016A,85.83956933,86.3128739,85.59851874,82.64381283,82.83932856,81.40247538
E01015198,Torbay 016B,78.36760543,79.05212477,82.26057069,85.01814863,84.87990051,84.78453556
E01015199,Torbay 016C,84.2402851,86.31377433,86.07094814,85.92928526,86.05245944,85.72255937
E01015200,Torbay 016D,85.63969862,83.60566379,84.54725805,84.78508882,84.1596514,83.22408197
E01015201,Torbay 016E,82.74131422,80.56114724,80.61773652,81.15805642,80.14141222,79.28730728
E01015202,Torbay 012A,81.84389962,83.82561332,83.86922818,82.89041682,82.19926776,81.98194096
E01015203,Torbay 012B,81.90304215,81.41954077,82.90519195,81.90683372,83.47130964,85.28241789
E01015204,Torbay 012C,81.42802632,82.51988238,83.98818844,83.38496181,81.80821416,80.90389534
E01015205,Torbay 012D,83.08581031,84.32943373,83.43535532,81.88722277,82.51428171,83.50542781
E01015206,Torbay 012E,78.5018427,78.55330801,78.33173728,78.10554712,77.91762661,76.38169992
E01015207,Torbay 009A,82.92777437,83.15759031,83.09844177,84.8650658,85.41238906,84.38392253
E01015208,Torbay 019F,87.27915607,87.27181033,87.77910547,87.48259555,87.18282336,86.91347481
E01015209,Torbay 019A,77.06824386,77.26306555,78.16419181,78.63862458,80.73628631,81.55608648
E01015210,Torbay 007B,82.56817111,84.63447888,83.26010664,82.66888544,81.60143798,82.37402588
E01015211,Torbay 009C,82.51193238,81.05334483,80.74751465,81.03164569,79.87916471,78.79708745
E01015212,Torbay 007C,84.12747536,83.16455368,82.84377162,82.24209347,80.11705988,79.36980828
E01015213,Torbay 007D,85.28195465,84.38932151,83.35661955,84.17905516,82.12045674,82.65884319
E01015214,Torbay 006A,76.7836581,76.0517359,79.53572201,84.93285757,84.49556041,85.16457789
E01015215,Torbay 006B,81.70910335,81.38038012,81.4547494,83.14861188,82.59171381,82.46385933
E01015216,Torbay 006C,84.07523662,90.67315133,86.39002526,85.14366302,82.06482499,79.33883312
E01015217,Torbay 008A,74.98513631,74.02511525,75.46335021,77.57584492,77.63240353,77.67514414
E01015218,Torbay 006D,81.59358629,81.87030652,80.37307466,79.11417265,79.18826468,78.75704602
E01015219,Torbay 015A,77.27536695,77.93374703,78.33363751,78.6065313,79.30680422,80.20555609
E01015220,Torbay 015B,81.09704577,80.53692145,79.79317273,80.72262216,81.91246568,84.71360605
E01015221,Torbay 015C,83.99950257,84.58557921,82.98344468,82.64410172,81.93352033,81.22379942
E01015222,Torbay 015D,83.89939024,84.98712609,84.79200739,84.65287564,84.8475445,85.58037853
E01015223,Torbay 015E,86.73760592,90.28314982,91.88575183,87.39891819,86.02490118,84.67456482
E01015224,Torbay 011A,79.07179553,79.04798546,79.60854468,80.54087865,81.62069624,82.8774952
E01015225,Torbay 011B,80.67607977,81.05583833,81.66169033,81.50415315,84.11515122,85.68589804
E01015226,Torbay 011C,82.45015998,82.74483568,83.74323009,84.69131919,85.60035283,84.43711883
E01015227,Torbay 011D,85.0000139,85.7627945,85.25639783,84.24700908,83.19625771,83.02738447
E01015228,Torbay 011E,79.53583208,79.5891232,78.57611662,78.00112495,77.11804768,76.91398327
E01015229,Torbay 014A,75.54429871,75.19918122,74.89528947,75.80070332,80.01547335,80.25981063
E01015230,Torbay 011F,84.42320843,84.40419034,84.06736775,83.09108837,83.32653096,83.76746315
E01015231,Torbay 014B,72.39921534,73.42822498,73.9319263,73.44307869,74.27376247,74.06586214
E01015232,Torbay 014C,76.29299493,76.47252491,77.54408239,77.06674016,77.77082575,78.0840807
E01015233,Torbay 014D,78.02607377,76.67243029,77.32135228,77.81586924,78.86869015,78.48649136
E01015234,Torbay 014E,79.36391204,77.69721946,78.77365057,81.05511301,79.80141078,80.2144359
E01015235,Torbay 014F,79.59652134,79.91209052,81.18209655,80.61499879,80.02535204,80.26769169
E01015236,Torbay 002A,83.27554706,82.71536917,84.49234235,84.42425251,85.12389712,84.55747306
E01015237,Torbay 002B,83.43955564,83.67249078,83.68469834,85.29431875,83.94155395,84.06135596
E01015238,Torbay 002C,74.72137264,76.13255288,75.55609707,75.65179253,76.52680406,77.33224986
E01015239,Torbay 002D,76.22928291,76.03417371,76.08154416,77.34390778,77.57579379,76.45017094
E01015240,Torbay 005A,77.93792143,77.51503833,77.82255087,76.69398587,79.88354472,79.13203647
E01015241,Torbay 005B,81.11514762,82.96868712,82.43715835,82.16985803,81.96636592,81.96995397
E01015242,Torbay 005C,78.53115734,81.26275907,82.29852255,80.68824233,79.63630307,80.00055036
E01015243,Torbay 005D,82.03385647,83.09586358,87.31909334,84.96150052,84.11905101,85.09421883
E01015244,Torbay 018A,80.95525666,80.59296119,80.66242845,79.53284327,80.45657518,80.35813159
E01015245,Torbay 018B,80.45346889,83.092919,86.19671619,89.18208059,83.78708224,80.77798465
E01015246,Torbay 018C,80.45304798,81.09364186,80.91400371,80.46868969,81.52388742,80.79341931
E01015247,Torbay 018D,81.68355162,81.8700415,83.65605038,84.59483501,85.85476629,86.50070277
E01015248,Torbay 018E,76.74354585,78.37476234,79.96163216,79.16066133,80.3835839,80.31985355
E01015249,Torbay 003A,78.35800837,77.548084,78.46623317,78.32974154,78.23176234,76.6183601
E01015250,Torbay 003B,88.56510338,87.69698891,86.44046289,85.96437015,86.39482278,83.83999298
E01015251,Torbay 003C,77.565237,77.67425926,79.44453919,82.596068,81.11510013,81.85160113
E01015252,Torbay 003D,80.77355651,81.86238213,81.75753437,82.76589683,83.3184066,84.68315242
E01015253,Torbay 003E,83.31246676,83.07037432,80.58740035,81.93918326,83.07571044,84.68570059
E01015254,Torbay 003F,82.61651076,84.12887747,84.77585801,83.91362085,84.51192837,85.97126755
E01015255,Torbay 008B,71.94685196,74.10712056,74.50055528,75.07592504,76.23148303,76.93852622
E01015256,Torbay 008C,71.38491673,72.7702539,70.95044847,73.18169326,75.50326956,76.66116379
E01015257,Torbay 004A,76.7912114,78.39320488,80.86961006,79.64542716,79.69046279,77.6516162
E01015258,Torbay 004B,78.62819653,78.94644767,79.40067738,80.49070275,79.39257312,78.71408579
E01015259,Torbay 004C,82.95107355,83.31159476,80.57570856,78.78681581,78.56715215,78.31653765
E01015260,Torbay 004D,75.10342253,75.7019497,76.97910516,76.93534901,77.8714106,76.55821508
E01015261,Torbay 008D,78.06994496,78.0296138,79.45765742,79.21201464,79.34194419,78.37230362
E01015262,Torbay 001A,78.63321915,78.2653295,79.71391433,81.38809574,82.56605018,81.05849626
E01015263,Torbay 001B,83.2108417,80.83591341,79.31046099,78.41729567,76.49121131,77.23680115
E01015264,Torbay 001C,83.85753399,84.39018479,84.78619967,84.16140425,83.25915323,82.87835765
E01015265,Torbay 001D,81.73853463,81.401279,83.23361202,83.41562482,84.54374135,84.91202522
E01015266,Torbay 001E,72.05385112,77.83904372,82.03880349,80.37265586,80.0333861,80.54780377
E01015267,Torbay 010A,76.42792615,76.64282905,76.58192559,77.56243207,79.71097302,80.68989648
E01015268,Torbay 010B,83.29963769,82.745637,81.60022605,80.49738176,79.33815885,79.82701924
E01015269,Torbay 010C,77.51705351,78.09270132,77.81992508,78.20399219,79.15891403,78.47945061
E01015270,Torbay 010D,80.2328098,76.92419419,75.21480343,76.06296288,76.56139132,76.25554546
E01015271,Torbay 010E,82.77120297,83.00547997,82.83483165,83.82805921,83.90120209,86.14954817
E01019886,East Devon 005A,81.68093566,82.20845297,82.95621385,84.3455962,83.99972935,83.92761022
E01019887,East Devon 005B,78.29252557,77.63440803,79.83114237,80.55864284,81.45501375,81.34082779
E01019888,East Devon 005C,79.44493331,79.17625753,77.73962833,77.96217953,77.41694601,77.23075755
E01019889,East Devon 005D,85.26812287,83.65877355,85.3045692,85.68424449,84.15604405,85.54390078
E01019890,East Devon 009A,86.04309,85.26229333,85.91362995,84.82204353,84.83201961,84.6560405
E01019891,East Devon 006A,81.05369088,81.30539439,82.25008025,81.603619,81.42244898,79.7898296
E01019892,East Devon 006B,85.61429011,84.47907827,84.28078223,82.42109582,80.9641707,84.08106403
