Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01015072,415.5220116,577.6629773,676.6616582,699.849142,571.0276975,555.4335758,512.714872
E01015073,611.4077454,754.1995586,590.9948149,613.7570404,513.2920089,621.8012203,505.085097
E01015074,736.9274578,1066.388401,1166.802017,980.5213561,758.7607647,647.9836778,678.4803955
E01015075,502.6967871,609.5740284,777.5468627,770.3254463,659.5007951,590.238589,707.8556824
E01015076,475.8821688,551.3081848,625.6880806,571.3712623,484.2266634,448.7275911,500.8726901
E01015077,749.577311,860.5559539,873.7934993,810.1381959,710.5540292,504.5627636,445.3218781
E01015078,1046.255193,1038.994966,1027.342128,905.1557235,781.5806007,909.6375425,993.4856207
E01015079,368.5050728,384.1920329,377.436128,364.8431499,357.8024053,347.4083194,320.1138309
E01015080,747.9268921,616.605283,501.0079837,558.6484339,784.915732,851.3864394,676.984159
E01015081,604.3046152,666.1768062,793.3919509,883.5838259,742.1519424,856.5233885,792.7738084
E01015082,784.8747486,693.9315199,819.3920949,870.7373266,912.717109,773.5927753,809.9301396
E01015083,1242.76541,1418.311475,1624.643373,1176.103395,1084.564232,1017.447435,955.8703023
E01015084,356.1885677,472.734207,437.1514024,499.2841978,503.5347156,674.6758706,763.4561751
E01015085,530.4888684,519.1691371,501.1489318,350.4953589,346.2305418,313.2930167,361.3003308
E01015086,477.9688106,693.0913145,747.0438182,774.3849218,806.7696702,733.8447133,844.5284923
E01015087,710.1977123,904.9584853,950.3711763,698.8036507,561.8495886,675.4807333,673.1048933
E01015088,785.7326095,849.6381233,660.1621953,642.2751968,492.6926756,423.4249693,530.2427842
E01015089,682.8432647,733.900311,639.9261911,561.9403962,538.4206575,506.8427663,477.3771915
E01015090,392.2202706,429.1590165,488.0311176,360.8520627,441.8203791,449.9751593,520.4415932
E01015091,449.1165918,427.1481446,514.8700444,446.423927,600.3870011,539.2649512,517.8878245
E01015092,475.7033204,718.5604002,597.8158097,690.5300264,537.1453968,625.9647773,617.4336852
E01015093,710.2747735,800.0152936,731.187906,587.7825167,585.201501,587.5334216,629.3699527
E01015094,445.3827711,419.9379575,491.1440863,438.580134,429.6260766,429.8009647,341.8327661
E01015095,787.9390337,956.6929773,997.4170365,808.1394092,592.4002133,422.5904904,370.8620862
E01015096,401.0251177,441.4116642,432.5045974,518.7998527,518.6325684,561.8373891,512.0806086
E01015097,632.1111819,551.3753384,492.9462465,498.4139122,596.8731915,608.4659384,433.5850851
E01015098,478.7751694,395.2750051,363.8190497,400.3749039,328.9297431,396.2511715,341.6673479
E01015099,549.8235809,643.1003576,717.0121098,544.6339234,405.5396189,259.4681977,321.7299417
E01015100,530.389695,480.0390383,470.6532522,445.1811596,340.1155317,381.9215979,448.9842674
E01015101,354.4456368,403.7449424,479.1955323,517.382112,442.5199984,319.8681008,396.4279238
E01015102,983.7999857,995.5548578,873.86922,817.9914286,752.7322616,693.3956113,547.4710972
E01015103,477.1216831,456.1702125,338.0171966,320.2617994,365.0047315,391.5724648,439.2631466
E01015104,316.2040148,449.2909185,486.3610015,481.7289145,411.3866652,376.4153428,348.2028556
E01015105,360.8724207,414.2319309,417.2359591,418.9056275,343.5940175,373.1034348,339.1973028
E01015106,430.713621,362.0972104,345.3178688,318.1971237,357.026705,370.1750157,520.4621814
E01015107,616.944167,638.8357555,537.9852314,514.8766009,489.7010331,490.1903283,410.1478757
