Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015205,10,10,5,10,15,15,10,15,10,15,10,15,15,15,20,20
E01015206,10,15,5,5,5,10,15,10,15,10,15,20,15,15,25,25
E01015207,10,10,10,5,10,15,10,10,10,10,15,10,10,15,15,10
E01015208,15,15,15,10,15,20,10,10,10,10,15,20,10,15,15,10
E01015209,10,10,5,15,15,10,5,5,15,15,15,10,10,10,10,10
E01015210,20,15,15,20,15,15,15,15,20,20,30,30,35,25,30,30
E01015211,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,20
E01015212,10,15,10,10,10,10,15,10,10,15,15,15,15,20,25,20
E01015213,10,10,10,10,5,10,10,15,15,15,15,20,15,15,20,15
E01015214,5,15,15,15,15,10,10,15,15,10,15,15,20,20,20,20
E01015215,5,10,10,10,10,10,10,5,10,10,10,15,15,15,10,20
E01015216,10,10,15,15,15,15,10,15,15,15,15,15,15,25,30,25
E01015217,10,10,10,5,10,15,20,15,15,20,25,20,20,25,20,15
E01015218,10,10,10,10,10,10,10,10,10,15,15,10,15,15,20,20
E01015219,10,15,10,15,15,15,15,15,10,15,10,10,15,15,10,10
E01015220,10,10,10,10,10,15,10,10,15,15,15,10,15,15,20,25
E01015221,10,10,5,5,10,15,15,15,15,15,15,15,15,15,10,10
E01015222,5,10,10,10,10,10,10,15,15,15,15,10,10,15,15,15
E01015223,5,5,10,10,15,10,15,10,15,10,10,15,10,15,10,10
E01015224,10,10,5,10,10,10,10,15,15,15,15,15,15,15,10,20
E01015225,20,10,15,20,15,20,20,20,15,20,20,20,15,20,20,25
E01015226,5,5,10,10,10,15,15,10,10,10,10,10,10,10,10,10
E01015227,5,10,10,15,15,10,10,10,10,15,10,10,10,10,15,10
E01015228,10,10,15,10,15,15,20,15,20,15,20,20,20,20,20,20
E01015229,15,10,10,15,15,20,15,10,10,15,10,15,10,10,15,15
E01015230,20,15,20,15,15,10,10,10,10,5,10,10,10,10,5,10
E01015231,5,10,15,15,15,15,20,15,10,15,20,15,15,20,20,25
E01015232,10,15,15,15,15,20,20,25,20,15,20,25,25,25,30,30
E01015233,5,5,10,5,0,5,10,10,10,10,15,10,15,15,20,20
E01015234,10,15,15,20,15,15,15,20,15,15,15,15,20,20,20,15
E01015235,10,10,10,15,15,10,10,10,5,10,10,15,10,10,15,15
E01015236,5,5,5,10,10,10,10,10,15,10,15,15,10,15,10,15
E01015237,10,10,10,10,10,15,10,10,10,10,15,15,15,15,15,20
E01015238,10,10,5,5,5,10,10,10,10,10,5,10,15,15,15,15
E01015239,10,5,10,10,10,10,10,10,10,10,15,15,20,15,20,15
E01015240,5,10,10,10,5,5,10,10,10,15,10,10,15,15,10,10
E01015241,15,15,10,10,10,10,10,15,15,15,10,20,20,20,20,25
E01015242,10,10,10,10,15,20,15,20,25,20,15,10,10,15,15,20
E01015243,5,10,5,5,5,10,5,10,10,10,10,5,10,10,10,15
E01015244,10,15,15,15,15,15,10,15,15,10,15,15,10,10,15,10
E01015245,20,20,20,20,20,20,20,20,15,20,20,20,25,25,25,25
E01015246,5,15,15,15,15,20,15,15,15,15,15,20,15,15,20,20
E01015247,15,20,15,20,20,15,15,30,35,25,35,30,35,35,35,30
E01015248,15,20,25,20,20,25,20,20,25,25,25,20,30,30,30,35
E01015249,15,15,15,20,25,20,25,20,25,15,20,30,35,35,35,40
E01015250,5,5,10,5,5,5,5,5,5,5,10,10,10,10,10,15
E01015251,5,10,10,5,5,5,5,10,5,5,10,10,15,10,10,15
E01015252,0,0,10,10,10,10,10,20,25,25,25,25,20,25,30,30
