Area,2011,2012,2013,2014,2015,2016
E01015168,23218.83768,21788.7725,20301.28375,17774.86146,20326.2415,24110.04267
E01015169,17378.6786,21111.53052,17867.00443,15859.95434,18929.21739,21163.49326
E01015170,23064.08941,23766.82848,21110.5558,18737.56879,21027.06225,24421.06809
E01015171,22422.01843,22491.94221,20853.88199,18164.82478,20252.1287,22923.31779
E01015172,21423.888,18767.0046,20113.08197,18959.49619,21500.7479,23281.35951
E01015173,16751.1041,19068.75123,19274.05373,17027.03313,20333.42718,21481.57031
E01015174,19217.86136,19872.80739,17276.8485,15445.73738,17159.73633,20171.20724
E01015175,20951.91094,21478.92584,20021.6644,18571.24423,21515.27832,24271.71077
E01015176,28064.65225,25674.68311,24280.49903,21980.74429,23654.20751,25231.34263
E01015177,19382.40309,18971.08367,16566.0424,15425.26318,17745.46707,21858.35885
E01015178,21156.20048,19026.54344,21526.24462,18630.78243,20680.84244,23196.45951
E01015179,20449.26977,19324.91702,20900.6218,18588.3961,20795.7221,23231.13632
E01015180,26062.84116,25884.96304,25469.66412,23147.30167,24806.84418,26640.82997
E01015181,23702.00853,23667.68267,24269.22274,22514.55608,25200.79628,25825.07121
E01015182,29038.53557,27960.2137,23120.56992,21275.11142,24214.90818,24991.55955
E01015183,45067.78601,50084.67834,38066.32731,36296.53139,36179.28097,33876.36998
E01015184,44438.6995,41880.98421,36914.7358,34571.7473,34292.16073,33501.27581
E01015185,40358.18009,45045.25078,35107.03746,32064.87111,34839.08107,35448.19369
E01015186,52565.97229,54732.63586,46257.82327,42984.19887,45079.73542,43896.06615
E01015187,40555.97739,36181.1102,36106.76569,33297.8768,35724.0532,34800.89444
E01015188,46761.53604,41559.92089,33393.08784,32152.94132,32870.10354,32395.84626
E01015189,46258.94997,41530.34181,37658.26032,35599.34559,36309.45932,36906.33973
E01015190,45713.64265,42096.73426,40277.25187,37000.73365,35865.39275,34688.92059
E01015191,32211.22573,34066.98624,36551.17996,34608.59172,35447.36588,36329.46686
E01015192,43778.66536,40253.40673,39450.63132,36792.4495,37898.12706,36931.14651
E01015193,38536.02169,34932.939,34155.34781,31846.77638,30495.75146,30867.32602
E01015194,42692.87557,40280.13454,42078.41911,38476.5725,40257.3435,38099.89624
E01015195,37717.619,38344.14233,40414.16283,36559.45019,34842.1874,35710.94425
E01015196,46608.40569,55678.53867,53462.81169,48694.34268,48112.15105,44166.46612
E01015197,31868.06924,27799.58982,28792.91877,27392.91877,28183.40563,28302.51161
E01015198,30657.35487,34439.6144,27938.00767,24311.34101,23610.75845,25042.96406
E01015199,34969.20931,36418.46952,37109.1956,32575.86227,32756.10652,26023.29912
E01015200,37425.45187,33748.91828,37793.4281,33921.49828,33622.81655,31082.28596
E01015201,35851.52281,37002.32223,29146.78385,24759.48226,24949.06774,23116.70246
E01015202,33717.35751,38628.08298,33023.65298,29354.78851,31813.87348,29616.28646
E01015203,30542.6147,31305.96973,37400.04151,32543.27877,33082.96621,29412.1855
E01015204,45113.12109,37763.38421,40308.19866,37296.29935,39066.54036,37867.03676
E01015205,35804.5215,38925.3279,42830.59236,39701.50145,42406.91746,42704.88999
E01015206,44152.5644,45515.21685,43054.27263,38547.87533,38815.21996,35421.95536
E01015207,33177.11891,31846.05981,35025.12926,32620.27477,33684.96499,31918.27622
E01015208,30549.63479,34750.67634,28132.94512,28245.15291,27329.73846,28400.15687
E01015209,41217.84943,40779.31866,40186.64691,37816.45083,39884.3438,36065.53621
E01015210,46241.81911,47085.14993,51131.02732,48218.90475,49601.58748,49690.82
E01015211,30787.68836,35054.314,33950.7954,31121.8658,30133.89905,28709.67783
E01015212,34942.52996,39323.14107,45356.68765,41611.2331,42186.44025,40259.04885
E01015213,37177.91389,41010.90196,43850.46265,38704.26382,38298.92957,36372.56734
