E01015185,Torbay 017C,11485,10009,9098,9995,,Southern
E01015186,Torbay 017D,7062,6801,6696,4142,,Southern
E01015187,Torbay 017E,16264,17542,19890,19626,,Southern
E01015188,Torbay 017F,16116,14501,14764,14355,,Southern
E01015189,Torbay 017G,12411,10630,10370,9400,,Southern
E01015190,Torbay 013A,10713,7315,7027,5177,,Southern
E01015191,Torbay 013B,20071,17677,17526,16388,,Southern
E01015192,Torbay 013C,9730,8763,9422,5066,,Southern
E01015193,Torbay 013D,13368,11126,10774,9421,,Southern
E01015194,Torbay 013E,8817,8145,6497,5491,,Southern
E01015195,Torbay 013F,13041,10567,10019,8012,,Southern
E01015196,Torbay 013G,4123,2214,1693,1316,,Southern
E01015197,Torbay 016A,27316,26223,26281,28003,,Southern
E01015198,Torbay 016B,22874,20165,20131,21344,,Southern
E01015199,Torbay 016C,25176,23185,23669,27454,,Southern
E01015200,Torbay 016D,19826,17372,17068,17241,,Southern
E01015201,Torbay 016E,18271,19126,21588,22428,,Southern
E01015202,Torbay 012A,13783,12710,14396,15815,,Southern
E01015203,Torbay 012B,18101,18669,19294,21422,,Southern
E01015204,Torbay 012C,10798,10411,11215,9675,,Southern
E01015205,Torbay 012D,15517,11533,14153,14123,,Southern
E01015206,Torbay 012E,11514,11910,10089,7390,,Southern
E01015207,Torbay 009A,17460,16489,16376,16985,,Southern
E01015208,Torbay 019F,28032,29241,29610,29268,,Southern
E01015209,Torbay 019A,12523,11432,11364,8223,,Southern
E01015210,Torbay 007B,10064,7697,7750,4956,,Southern
E01015211,Torbay 009C,26389,25066,25765,23267,,Southern
E01015212,Torbay 007C,11160,8535,9058,9597,,Southern
E01015213,Torbay 007D,13599,14326,15271,13952,,Southern
E01015214,Torbay 006A,6872,6639,4631,2691,,Southern
E01015215,Torbay 006B,13343,12736,13210,13938,,Southern
E01015216,Torbay 006C,8021,7662,6924,5614,,Southern
E01015217,Torbay 008A,2487,996,451,800,,Southern
E01015218,Torbay 006D,8390,8146,8301,5683,,Southern
E01015219,Torbay 015A,11527,9416,10170,8595,,Southern
E01015220,Torbay 015B,19253,17009,17973,17563,,Southern
E01015221,Torbay 015C,15846,12765,12161,15167,,Southern
E01015222,Torbay 015D,17184,16163,18985,17878,,Southern
E01015223,Torbay 015E,24836,21014,21355,23711,,Southern
E01015224,Torbay 011A,16453,16423,17758,15903,,Southern
E01015225,Torbay 011B,12462,12647,13708,15255,,Southern
E01015226,Torbay 011C,22106,19056,19942,20359,,Southern
E01015227,Torbay 011D,23620,21720,23964,24804,,Southern
E01015228,Torbay 011E,10740,7335,7972,7732,,Southern
E01015229,Torbay 014A,10148,8498,9406,6251,,Southern
E01015230,Torbay 011F,20681,20096,21440,23445,,Southern
E01015231,Torbay 014B,2492,1101,696,219,,Southern
E01015232,Torbay 014C,4171,3642,2787,1338,,Southern
E01015233,Torbay 014D,4419,2379,2435,1958,,Southern
E01015234,Torbay 014E,10404,7692,7092,5517,,Southern
E01015235,Torbay 014F,8657,8003,8479,7166,,Southern
E01015236,Torbay 002A,15824,11929,13509,12674,,Southern
E01015237,Torbay 002B,14395,14904,13452,13458,,Southern
E01015238,Torbay 002C,11758,11136,10299,9428,,Southern
E01015239,Torbay 002D,8235,7007,8414,5887,,Southern
E01015240,Torbay 005A,10535,8853,9238,6742,,Southern
