Area,2011,2012,2013,2014,2015
E01015161,0.069620253,0.075757576,0.109955423,0.109955423,0.101190476
E01015162,0.076433121,0.096477795,0.126126126,0.115615616,0.108433735
E01015163,0.083191851,0.086460033,0.10543131,0.0992,0.08988764
E01015164,0.082036775,0.072559367,0.095607235,0.103359173,0.093385214
E01015165,0.068333333,0.057315234,0.103244838,0.103703704,0.096582467
E01015166,0.053645117,0.070671378,0.093533487,0.087356322,0.080924855
E01015167,0.11829653,0.103840683,0.180167598,0.175487465,0.169467787
E01015168,0.134816754,0.130071599,0.207259953,0.187134503,0.181176471
E01015169,0.200998752,0.197963801,0.19,0.193118757,0.1875
E01015170,0.107142857,0.120466321,0.154626109,0.15501906,0.145038168
E01015171,0.135508156,0.121248499,0.170588235,0.185141509,0.175914994
E01015172,0.177954847,0.14893617,0.212543554,0.218604651,0.209545984
E01015173,0.151750973,0.117948718,0.150063052,0.169191919,0.162673392
E01015174,0.109230769,0.095577746,0.153089888,0.131652661,0.123595506
E01015175,0.194029851,0.16374269,0.239255014,0.246418338,0.237068966
E01015176,0.126436782,0.143092105,0.186495177,0.168810289,0.158319871
E01015177,0.197513812,0.16644474,0.230769231,0.22946545,0.222222222
E01015178,0.242387333,0.20383693,0.266745006,0.263529412,0.256772674
E01015179,0.256894049,0.213549337,0.265129683,0.266666667,0.258345428
E01015180,0.132784959,0.163128492,0.201754386,0.186813187,0.180418042
E01015181,0.224858757,0.187314172,0.245853659,0.235121951,0.227984344
E01015182,0.145734597,0.134727062,0.177879133,0.174458381,0.16838488
E01015183,0.098256735,0.083056478,0.113452188,0.097402597,0.087804878
E01015184,0.087719298,0.05625,0.081039755,0.064417178,0.053763441
E01015185,0.097902098,0.082269504,0.106796117,0.108183079,0.100139082
E01015186,0.208391608,0.19858156,0.243767313,0.203059805,0.19054242
E01015187,0.084563758,0.075445816,0.102150538,0.096774194,0.085020243
E01015188,0.076069731,0.053857351,0.092724679,0.083094556,0.076040172
E01015189,0.151090343,0.128424658,0.184254606,0.180904523,0.171428571
E01015190,0.056930693,0.061813187,0.078378378,0.060810811,0.052774019
E01015191,0.04845815,0.042521994,0.061870504,0.048920863,0.041847042
E01015192,0.063439065,0.078817734,0.117552335,0.112721417,0.103225806
E01015193,0.102966841,0.092657343,0.107508532,0.09556314,0.087478559
E01015194,0.066445183,0.065495208,0.090766823,0.07523511,0.064364207
E01015195,0.093896714,0.084977238,0.109792285,0.099850969,0.092399404
E01015196,0.079062958,0.117455139,0.127591707,0.1232,0.112
E01015197,0.065151515,0.050228311,0.067264574,0.055389222,0.047976012
E01015198,0.087136929,0.064136126,0.092307692,0.07840617,0.070694087
E01015199,0.095826893,0.066358025,0.084464555,0.075528701,0.068181818
E01015200,0.063180828,0.058951965,0.093816631,0.083333333,0.070815451
E01015201,0.109060403,0.085,0.113821138,0.120915033,0.11147541
E01015202,0.127768313,0.098228663,0.121451104,0.11023622,0.103011094
E01015203,0.086206897,0.058614565,0.085365854,0.07504363,0.067944251
E01015204,0.153726708,0.127725857,0.145038168,0.122137405,0.113323124
E01015205,0.088607595,0.074355083,0.111275964,0.099406528,0.088059701
