Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015067,0.005338343,0.005393664,0.005404867,0.005327414,0.003578434,0.005548925,0.005626914,0.005537119,0.005907952,0.006024201,0.009228626,0.009395711,0.007847666,0.009228626,0.006196328
E01015068,0.004832742,0.004832742,0.004814859,0.004766356,0.006028347,0.005957657,0.004757642,0.006328717,0.007531982,0.007741732,0.007620467,0.008757464,0.007819502,0.007819502,0.006647182
E01015069,0.00531653,0.005327414,0.005321967,0.007590742,0.005246855,0.005092832,0.005163569,0.005371399,0.006839927,0.006640499,0.007843139,0.007874877,0.008871951,0.007843139,0.006667312
E01015070,0.004753297,0.004273267,0.004787387,0.003670531,0.004383833,0.004103307,0.00395348,0.00459646,0.00466254,0.004621019,0.004540157,0.00569979,0.006188817,0.006648296,0.006188817
E01015071,0.005948465,0.004031306,0.003965031,0.003928129,0.003774442,0.005848206,0.003770227,0.005881248,0.003830101,0.005676005,0.005663652,0.005835093,0.007391018,0.007391018,0.005835093
E01015072,0.008112896,0.009017033,0.007955359,0.008907782,0.008907782,0.008705615,0.008827565,0.008603736,0.007657952,0.008561987,0.007354082,0.008414987,0.007445528,0.009300959,0.007445528
E01015073,0.007051704,0.007245085,0.008356769,0.009253471,0.009091368,0.007971653,0.008020939,0.009214811,0.009411409,0.009331772,0.009965682,0.011164671,0.011152951,0.010269745,0.008224329
E01015074,0.007773774,0.005934899,0.006017236,0.005867986,0.007358083,0.007261015,0.008294437,0.008558917,0.009658688,0.010570002,0.010205323,0.010467985,0.011503131,0.010592943,0.010592943
E01015075,0.00571339,0.005626914,0.005572691,0.005501998,0.006947854,0.007021717,0.008401869,0.008692728,0.009690514,0.011915963,0.010217998,0.012270706,0.009785478,0.011063659,0.009785478
E01015076,0.005438754,0.003482475,0.005365861,0.00535482,0.005620837,0.006911502,0.00559666,0.007066794,0.005537119,0.007014261,0.006889873,0.007044184,0.008276798,0.008276798,0.007036679
