Area,Label,IMD Score
E01019886,East Devon 005A,18.992
E01019887,East Devon 005B,19.196
E01019888,East Devon 005C,15.717
E01019889,East Devon 005D,9.03
E01019890,East Devon 009A,9.204
E01019891,East Devon 006A,16.542
E01019892,East Devon 006B,12.3
E01019893,East Devon 006C,14.031
E01019894,East Devon 017A,4.803
E01019895,East Devon 017B,5.889
E01019896,East Devon 017C,6.848
E01019897,East Devon 017D,14.32
E01019898,East Devon 014A,10.554
E01019899,East Devon 007A,13.283
E01019900,East Devon 007B,7.681
E01019901,East Devon 009B,17.826
E01019902,East Devon 001A,19.64
E01019903,East Devon 006D,14.039
E01019904,East Devon 015A,18.216
E01019905,East Devon 015B,3.916
E01019906,East Devon 015C,6.835
E01019907,East Devon 015D,7.497
E01019908,East Devon 016A,10.027
E01019909,East Devon 016B,5.362
E01019910,East Devon 016C,9.974
E01019911,East Devon 016D,8.372
E01019912,East Devon 020A,14.194
E01019913,East Devon 020B,8.537
E01019914,East Devon 020C,33.675
E01019915,East Devon 020D,9.03
E01019916,East Devon 019A,26.841
E01019917,East Devon 019B,15.173
E01019918,East Devon 019C,25.954
E01019919,East Devon 019D,22.532
E01019920,East Devon 018A,14.805
E01019921,East Devon 018B,9.058
E01019922,East Devon 018C,27.85
E01019923,East Devon 018D,17.408
E01019924,East Devon 018E,19.003
E01019925,East Devon 004A,5.882
E01019927,East Devon 002A,25.39
E01019928,East Devon 003A,16.737
E01019929,East Devon 003B,9.474
E01019930,East Devon 003C,10.232
E01019931,East Devon 003D,4.572
E01019932,East Devon 002B,24.692
E01019933,East Devon 002C,16.892
E01019934,East Devon 002D,9.873
E01019935,East Devon 007C,12.761
E01019936,East Devon 007D,15.689
E01019937,East Devon 013A,8.045
E01019938,East Devon 001B,17.171
E01019939,East Devon 008A,8.259
E01019940,East Devon 008B,6.876
E01019942,East Devon 008C,12.812
E01019943,East Devon 008D,4.196
E01019944,East Devon 008E,8.697
E01019945,East Devon 013B,15.162
E01019946,East Devon 010A,7.438
E01019947,East Devon 010B,19.817
E01019948,East Devon 010C,12.053
E01019949,East Devon 010D,7.02
E01019950,East Devon 010E,18.778
E01019951,East Devon 009C,8.386
E01019952,East Devon 011A,7.9
E01019953,East Devon 011B,11.653
E01019954,East Devon 011C,17.782
E01019955,East Devon 011D,13.653
E01019956,East Devon 012A,9.069
E01019957,East Devon 012B,3.872
E01019958,East Devon 012C,6.556
E01019959,East Devon 004D,14.927
E01019960,East Devon 004E,11.123
E01019961,East Devon 007E,9.983
E01019962,East Devon 004F,10.383
E01019963,East Devon 013C,4.253
E01019964,East Devon 014B,7.185
E01019965,East Devon 014C,8.369
E01019966,East Devon 005E,9.622
E01019967,East Devon 001C,16.492
E01019968,Exeter 014A,8.65
E01019969,Exeter 014B,11.872
E01019970,Exeter 014C,9.524
E01019971,Exeter 014D,16.171
E01019972,Exeter 014E,23.117
E01019973,Exeter 012A,13.193
E01019974,Exeter 012B,18.631
E01019975,Exeter 010A,32.556
E01019976,Exeter 012C,10.525
E01019977,Exeter 012D,13.776
E01019980,Exeter 005A,24.387
E01019981,Exeter 012E,22.219
E01019982,Exeter 005B,20.225
E01019983,Exeter 005C,7.522
E01019984,Exeter 005D,6.365
E01019985,Exeter 005E,29.939
E01019986,Exeter 007A,6.906
E01019987,Exeter 006A,15.308
E01019988,Exeter 013A,12.54
E01019989,Exeter 006B,10.763
E01019990,Exeter 002A,38.15
E01019991,Exeter 002B,29.212
E01019992,Exeter 003A,20.781
E01019993,Exeter 002C,7.473
E01019994,Exeter 008A,19.709
E01019995,Exeter 008B,48.094
E01019996,Exeter 009A,18.11
E01019997,Exeter 004A,15.71
E01019998,Exeter 001C,6.616
E01019999,Exeter 001D,3.75
E01020000,Exeter 002D,27.007
E01020001,Exeter 001E,6.07
E01020002,Exeter 003B,22.189
E01020003,Exeter 003C,8.429
E01020004,Exeter 003D,4.535
E01020005,Exeter 003E,32.481
E01020006,Exeter 006C,19.693
E01020007,Exeter 002E,17.092
E01020008,Exeter 006D,13.073
E01020009,Exeter 006E,9.724
E01020010,Exeter 013B,33.202
E01020011,Exeter 015A,11.146
E01020012,Exeter 015B,25.424
E01020013,Exeter 013C,22.426
E01020014,Exeter 013D,41.604
E01020015,Exeter 013E,49.091
E01020016,Exeter 008C,38.653
E01020017,Exeter 008D,22.435
E01020018,Exeter 008E,34.687
E01020019,Exeter 004B,10.485
E01020020,Exeter 004C,21.036
E01020021,Exeter 004D,14.16
E01020022,Exeter 004E,29.438
E01020023,Exeter 009B,9.28
E01020024,Exeter 009C,4.468
E01020025,Exeter 009D,14.998
E01020026,Exeter 011A,6.294
E01020027,Exeter 011B,12.607
E01020029,Exeter 010B,15.217
E01020030,Exeter 010C,25.518
E01020031,Exeter 010D,14.244
E01020032,Exeter 010E,25.651
E01020033,Exeter 015C,15.577
E01020035,Exeter 011D,8.931
E01020036,Exeter 007B,22.355
E01020037,Exeter 007C,33.919
E01020038,Exeter 011E,6.474
E01020039,Exeter 007D,34.911
E01020040,Exeter 007E,19.535
E01020041,Mid Devon 011A,22.467
E01020042,Mid Devon 011B,5.101
E01020043,Mid Devon 008A,13.745
E01020044,Mid Devon 008B,12.34
E01020045,Mid Devon 006A,11.528
E01020046,Mid Devon 001A,18.141
E01020047,Mid Devon 002A,12.79
E01020048,Mid Devon 005A,30.188
E01020049,Mid Devon 001B,20.327
E01020050,Mid Devon 001C,18.11
E01020051,Mid Devon 002B,10.003
E01020052,Mid Devon 004A,26.049
E01020053,Mid Devon 004B,22.884
E01020054,Mid Devon 007A,9.056
E01020055,Mid Devon 007B,22.924
E01020056,Mid Devon 008C,15.126
E01020057,Mid Devon 007C,21.493
E01020058,Mid Devon 007D,7.984
E01020059,Mid Devon 006B,14.872
E01020060,Mid Devon 011C,18.231
E01020061,Mid Devon 011D,10.611
E01020062,Mid Devon 006C,3.467
E01020063,Mid Devon 003A,14.281
E01020064,Mid Devon 006D,13.477
E01020065,Mid Devon 004C,23.733
E01020066,Mid Devon 002C,9.844
E01020067,Mid Devon 004D,32.156
E01020068,Mid Devon 010A,18.654
E01020069,Mid Devon 010B,14.918
E01020070,Mid Devon 010C,22.054
E01020071,Mid Devon 008D,13.12
E01020072,Mid Devon 009A,20.065
E01020073,Mid Devon 009B,27.634
E01020074,Mid Devon 003B,13.502
E01020075,Mid Devon 003C,11.453
E01020076,Mid Devon 009C,19.116
E01020077,Mid Devon 001D,19.712
E01020078,Mid Devon 005B,27.886
E01020079,Mid Devon 005C,31.281
E01020080,Mid Devon 002D,10.17
E01020081,Mid Devon 005D,24.232
E01020082,Mid Devon 009D,18.89
E01020083,Mid Devon 010D,16.047
E01020084,North Devon 012A,19.21
E01020085,North Devon 012B,11.318
E01020086,North Devon 012C,8.247
E01020087,North Devon 014A,22.682
E01020088,North Devon 006A,20.031
E01020089,North Devon 005A,8.514
E01020090,North Devon 004A,5.886
E01020091,North Devon 005B,9.432
E01020092,North Devon 005C,7.769
E01020093,North Devon 005D,17.758
E01020094,North Devon 008A,52.676
E01020095,North Devon 008B,31.395
E01020096,North Devon 009A,32.568
E01020097,North Devon 013A,21.818
E01020098,North Devon 014B,20.143
E01020099,North Devon 002A,17.924
E01020100,North Devon 002B,23.724
E01020101,North Devon 002C,20.778
