Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E01015138,2,2,3,2,6,15,,,
E01015139,2,1,2,3,13,20,,,
E01015140,2,2,4,5,16,28,,,
E01015141,2,2,3,5,7,19,,,
E01015142,1,1,2,2,5,11,,,
E01015143,1,1,2,3,4,11,,,
E01015144,1,1,2,1,4,9,,,
E01015145,0,0,0,0,1,2,,,
E01015146,1,1,1,1,2,5,,,
E01015147,1,1,3,3,10,17,,,
E01015148,1,1,1,3,5,12,,,
E01015149,1,1,2,3,4,11,,,
E01015150,1,1,3,4,6,15,,,
E01015151,1,0,1,2,3,6,,,
E01015152,1,1,1,2,4,9,,,
E01015153,1,1,2,2,8,14,,,
E01015155,1,0,1,2,2,6,,,
E01015156,1,0,1,2,2,6,,,
E01015157,1,1,2,3,10,17,,,
E01015158,2,2,3,5,12,25,,,
E01015159,1,1,4,7,7,21,,,
E01015160,2,2,3,3,8,17,,,
E01015161,1,2,2,3,3,11,,,
E01015162,1,1,2,4,7,15,,,
E01015163,1,2,3,5,10,21,,,
E01015164,1,1,1,2,2,8,,,
E01015165,1,1,1,2,1,5,,,
E01015166,1,1,3,3,2,10,,,
E01015167,1,1,1,2,3,7,,,
E01015168,1,1,1,1,2,7,,,
E01015169,1,1,1,3,14,20,,,
E01015170,1,1,2,3,12,18,,,
E01015171,1,1,2,3,11,18,,,
E01015172,1,1,1,2,3,8,,,
E01015173,1,1,1,2,10,16,,,
E01015174,1,1,2,2,7,13,,,
E01015175,1,1,1,1,6,10,,,
E01015176,1,1,2,3,8,15,,,
E01015177,1,1,1,1,3,7,,,
E01015178,1,1,1,2,4,8,,,
E01015179,1,0,1,1,4,7,,,
E01015180,1,1,2,2,8,13,,,
E01015181,1,1,1,1,3,7,,,
E01015182,1,1,1,1,7,12,,,
E01015183,2,1,2,3,12,21,,,
E01015184,2,3,4,5,15,29,,,
E01015185,2,2,2,5,13,24,,,
E01015186,1,1,2,2,4,10,,,
E01015187,2,2,4,5,12,26,,,
E01015188,2,2,3,4,15,26,,,
E01015189,1,1,1,3,7,13,,,
E01015190,2,2,2,2,4,12,,,
E01015191,1,1,2,2,3,9,,,
E01015192,1,1,1,2,4,9,,,
E01015193,1,1,2,2,6,13,,,
E01015194,2,1,1,2,5,11,,,
E01015195,2,1,2,3,9,17,,,
E01015196,1,1,2,2,2,8,,,
E01015197,2,2,3,4,14,26,,,
E01015198,3,3,4,6,15,29,,,
E01015199,2,2,4,4,22,35,,,
E01015200,1,1,1,3,6,12,,,
E01015201,2,1,3,4,12,22,,,
E01015202,1,1,2,3,8,15,,,
E01015203,1,1,2,4,10,19,,,
E01015204,1,1,1,2,6,11,,,
E01015205,1,1,2,2,7,14,,,
E01015206,1,1,2,5,18,26,,,
E01015207,1,1,2,2,5,11,,,
E01015208,3,3,5,7,19,36,,,
E01015209,2,1,2,3,12,20,,,
E01015210,1,1,1,2,7,12,,,
E01015211,1,1,2,4,9,17,,,
E01015212,1,1,1,1,3,7,,,
E01015213,1,1,2,2,6,11,,,
E01015214,1,1,1,1,7,11,,,
E01015215,1,1,2,2,4,10,,,
E01015216,1,1,1,1,4,9,,,
E01015217,1,1,1,2,8,13,,,
E01015218,1,1,2,3,6,13,,,
E01015219,2,2,3,7,16,29,,,
E01015220,2,2,2,4,5,15,,,
E01015221,2,2,3,4,9,19,,,
E01015222,2,2,3,4,10,21,,,
E01015223,1,1,1,2,5,10,,,
E01015224,1,2,2,3,7,15,,,
E01015225,2,1,2,3,16,24,,,
E01015226,2,2,3,3,10,19,,,
E01015227,1,1,3,4,15,25,,,
E01015228,2,2,4,6,20,33,,,
E01015229,2,1,3,5,38,48,,,
E01015230,2,2,5,5,12,26,,,
E01015231,1,1,2,3,13,20,,,
E01015232,2,1,3,5,17,27,,,
E01015233,1,1,3,2,14,21,,,
E01015234,1,1,1,2,4,9,,,
E01015235,2,3,5,9,32,51,,,
E01015236,2,2,2,2,10,18,,,
E01015237,1,1,1,1,5,10,,,
E01015238,1,1,2,4,14,22,,,
E01015239,2,2,3,7,38,53,,,
E01015240,2,2,4,7,38,53,,,
E01015241,1,1,2,3,13,21,,,
E01015242,1,1,1,1,3,8,,,
E01015243,2,1,3,5,9,19,,,
E01015244,2,1,3,3,8,17,,,
E01015245,2,2,3,3,10,20,,,
E01015246,2,2,3,4,27,37,,,
E01015247,2,2,3,4,9,20,,,
E01015248,1,1,2,2,10,17,,,
E01015249,1,1,2,2,11,17,,,
E01015250,1,1,1,1,8,12,,,
E01015251,1,1,1,2,6,11,,,
E01015252,2,2,1,2,5,12,,,
E01015253,1,1,1,2,1,5,,,
E01015254,2,1,3,5,7,17,,,
E01015255,1,1,1,3,9,14,,,
E01015256,1,1,2,3,7,14,,,
E01015257,1,1,1,1,3,8,,,
E01015258,2,1,2,3,8,17,,,
E01015259,1,1,1,1,3,7,,,
E01015260,1,1,2,2,5,11,,,
E01015261,2,1,2,2,16,23,,,
E01015262,1,1,2,2,5,11,,,
E01015263,1,1,1,1,3,7,,,
E01015264,2,2,3,6,8,20,,,
E01015265,2,2,2,4,12,22,,,
E01015266,1,1,1,3,6,13,,,
E01015267,2,1,3,5,19,30,,,
E01015268,2,2,3,4,21,32,,,
E01015269,2,2,3,5,20,32,,,
E01015270,2,2,3,5,20,32,,,
E01015271,2,2,4,5,19,33,,,
E01019886,3,3,4,5,13,29,,,
E01019887,1,2,2,3,12,20,,,
E01019888,2,2,4,6,28,41,,,
E01019889,2,2,3,4,16,27,,,
E01019890,3,2,3,4,14,26,,,
E01019891,1,1,2,3,8,15,,,
E01019892,1,2,2,3,9,17,,,
E01019893,2,2,2,3,8,17,,,
E01019894,2,3,4,8,31,48,,,
E01019895,2,3,3,6,18,31,,,
E01019896,3,3,6,5,28,44,,,
E01019897,1,1,2,4,15,23,,,
E01019898,3,3,3,5,18,33,,,
E01019899,1,2,3,4,12,22,,,
E01019900,2,3,4,5,26,40,,,
E01019901,2,2,2,2,6,14,,,
E01019902,2,2,4,6,20,34,,,
E01019903,2,2,3,6,14,27,,,
E01019904,1,2,3,4,8,18,,,
E01019905,2,2,2,2,15,23,,,
E01019906,2,1,2,3,10,17,,,
E01019907,2,2,4,5,9,21,,,
E01019908,1,1,1,2,2,7,,,
E01019909,2,2,3,6,17,31,,,
E01019910,2,2,2,5,9,19,,,
E01019911,2,3,4,7,28,45,,,
E01019912,2,2,3,6,28,41,,,
E01019913,2,3,5,9,65,84,,,
E01019914,2,2,3,6,14,26,,,
E01019915,2,3,3,8,31,47,,,
E01019916,1,1,2,3,10,16,,,
E01019917,1,1,2,2,12,18,,,
E01019918,2,1,3,4,8,18,,,
E01019919,1,1,1,3,7,13,,,
E01019920,2,1,2,3,6,12,,,
E01019921,2,1,2,3,9,17,,,
E01019922,1,2,2,3,11,19,,,
E01019923,1,1,2,3,6,13,,,
E01019924,1,1,1,2,3,8,,,
E01019925,1,1,2,1,4,9,,,
E01019927,1,1,2,3,16,23,,,
E01019928,1,1,1,3,8,14,,,
E01019929,1,1,2,3,6,13,,,
E01019930,1,1,3,5,12,23,,,
E01019931,1,1,3,4,13,22,,,
E01019932,2,1,3,3,15,24,,,
E01019933,1,2,3,3,11,20,,,
E01019934,2,2,5,6,24,39,,,
E01019935,2,2,2,5,10,21,,,
E01019936,2,2,2,3,10,18,,,
E01019937,3,2,4,5,13,27,,,
E01019938,3,3,3,4,11,24,,,
E01019939,2,2,3,5,9,20,,,
E01019940,2,2,4,5,14,26,,,
E01019942,1,2,3,4,17,27,,,
E01019943,2,2,4,4,10,20,,,
E01019944,1,1,2,4,11,20,,,
E01019945,2,2,4,4,13,25,,,
E01019946,3,2,4,5,26,40,,,
E01019947,2,2,5,8,31,48,,,
E01019948,2,2,4,6,18,32,,,
E01019949,2,2,4,6,23,37,,,
E01019950,2,2,3,4,10,22,,,
E01019951,3,3,5,9,27,47,,,
E01019952,2,3,3,8,25,42,,,
E01019953,3,2,4,6,17,32,,,
E01019954,2,2,3,4,10,20,,,
E01019955,2,2,4,6,16,29,,,
E01019956,2,2,3,11,41,59,,,
E01019957,3,3,7,14,46,73,,,
E01019958,2,2,5,8,26,43,,,
E01019959,1,1,2,2,4,11,,,
E01019960,1,1,2,1,5,10,,,
E01019961,4,3,4,6,22,38,,,
E01019962,2,2,3,4,12,23,,,
E01019963,1,2,3,3,12,21,,,
E01019964,1,1,2,3,6,12,,,
E01019965,2,2,3,3,12,22,,,
E01019966,2,2,2,2,6,13,,,
E01019967,2,2,2,2,9,16,,,
E01019968,1,2,4,4,15,26,,,
E01019969,1,1,2,3,4,11,,,
E01019970,1,1,2,2,18,23,,,
E01019971,1,1,1,2,12,17,,,
E01019972,1,0,1,1,3,6,,,
E01019973,1,2,3,4,9,18,,,
E01019974,1,1,2,4,10,18,,,
E01019975,1,1,1,2,3,8,,,
E01019976,1,1,2,4,31,40,,,
E01019977,1,1,3,3,9,17,,,
E01019980,1,1,0,1,3,6,,,
E01019981,1,1,1,2,5,10,,,
E01019982,1,0,1,0,3,5,,,
E01019983,2,2,2,2,4,12,,,
E01019984,1,1,1,2,2,6,,,
E01019985,1,1,1,1,4,7,,,
E01019986,1,1,2,3,10,17,,,
E01019987,1,1,2,3,11,18,,,
E01019988,1,1,2,4,16,25,,,
E01019989,1,1,1,1,12,16,,,
E01019990,1,1,1,2,2,7,,,
E01019991,1,1,1,2,4,8,,,
E01019992,1,1,2,3,14,20,,,
E01019993,1,1,1,2,6,10,,,
E01019994,1,1,1,2,4,8,,,
E01019995,1,1,2,3,19,26,,,
E01019996,1,1,1,2,21,25,,,
E01019997,1,1,0,0,4,5,,,
E01019998,1,1,1,2,8,13,,,
E01019999,1,1,1,2,10,14,,,
E01020000,1,1,1,3,11,17,,,
E01020001,2,2,1,3,4,12,,,
E01020002,1,1,2,3,14,22,,,
E01020003,2,2,3,5,14,25,,,
E01020004,1,1,2,3,11,19,,,
E01020005,1,1,2,4,8,15,,,
E01020006,1,1,1,2,4,10,,,
E01020007,0,0,1,0,2,3,,,
E01020008,0,0,0,1,3,5,,,
E01020009,1,1,0,2,7,11,,,
E01020010,1,1,2,2,7,13,,,
E01020011,1,1,2,3,8,16,,,
E01020012,1,1,2,2,9,15,,,
E01020013,1,1,2,2,7,12,,,
E01020014,1,1,2,2,4,9,,,
E01020015,1,1,2,1,6,11,,,
E01020016,1,1,2,1,9,14,,,
E01020017,1,1,1,2,7,11,,,
E01020018,1,1,2,3,12,19,,,
E01020019,0,1,1,5,16,23,,,
E01020020,0,0,1,1,8,10,,,
E01020021,1,1,1,2,10,14,,,
E01020022,0,0,1,1,5,7,,,
E01020023,2,1,2,4,14,23,,,
E01020024,1,1,2,4,18,27,,,
E01020025,1,1,1,1,7,10,,,
E01020026,2,2,3,3,8,18,,,
E01020027,1,1,1,3,5,11,,,
E01020029,1,1,2,2,6,11,,,
E01020030,1,1,2,2,19,25,,,
E01020031,1,1,2,3,8,14,,,
E01020032,1,1,1,2,7,12,,,
E01020033,2,2,4,5,22,35,,,
E01020035,2,1,2,2,5,12,,,
E01020036,1,1,1,3,12,19,,,
E01020037,1,1,1,3,7,12,,,
E01020038,1,1,2,2,6,12,,,
E01020039,1,1,2,4,16,24,,,
E01020040,1,1,2,2,9,15,,,
E01020041,2,1,2,2,12,18,,,
E01020042,2,2,3,4,13,22,,,
E01020043,2,2,2,3,12,21,,,
E01020044,2,1,2,3,13,21,,,
E01020045,2,1,3,3,12,20,,,
E01020046,2,1,2,3,4,11,,,
E01020047,2,3,3,6,29,44,,,
E01020048,2,1,2,3,11,19,,,
E01020049,2,1,2,3,10,18,,,
E01020050,2,3,4,5,18,33,,,
E01020051,3,3,4,4,18,31,,,
E01020052,1,1,2,4,15,24,,,
E01020053,1,1,2,3,4,12,,,
E01020054,2,1,3,3,8,17,,,
E01020055,1,2,2,5,25,35,,,
E01020056,2,2,3,3,10,20,,,
E01020057,1,1,2,2,7,14,,,
E01020058,2,1,2,4,8,17,,,
E01020059,2,2,2,3,7,16,,,
E01020060,1,2,3,6,23,36,,,
E01020061,2,1,2,3,18,27,,,
E01020062,1,1,2,4,12,21,,,
E01020063,2,2,3,5,19,31,,,
E01020064,1,2,2,4,9,17,,,
E01020065,1,1,2,2,7,13,,,
E01020066,2,2,4,3,5,16,,,
E01020067,1,1,1,3,5,12,,,
E01020068,1,2,3,3,11,20,,,
E01020069,2,1,2,2,6,13,,,
E01020070,2,2,3,3,12,22,,,
E01020071,2,2,3,3,13,23,,,
E01020072,2,2,1,3,7,14,,,
E01020073,2,2,3,4,13,24,,,
E01020074,2,2,3,3,9,19,,,
E01020075,2,2,2,3,11,20,,,
E01020076,2,1,2,2,6,13,,,
E01020077,1,1,2,3,5,13,,,
E01020078,1,1,2,4,14,21,,,
E01020079,1,1,2,3,6,13,,,
E01020080,1,1,3,3,8,16,,,
E01020081,1,1,3,1,5,12,,,
E01020082,1,1,2,2,5,11,,,
E01020083,2,1,2,4,6,16,,,
E01020084,1,1,3,5,9,19,,,
E01020085,1,1,1,2,4,9,,,
E01020086,2,2,3,3,6,15,,,
E01020087,2,3,4,5,9,23,,,
E01020088,2,2,2,3,13,23,,,
E01020089,2,2,4,5,19,31,,,
E01020090,2,2,3,3,19,28,,,
E01020091,2,2,3,3,7,15,,,
E01020092,2,2,3,5,17,29,,,
E01020093,1,1,3,5,13,22,,,
E01020094,1,1,3,4,26,35,,,
E01020095,1,1,2,2,8,14,,,
E01020096,1,2,3,4,16,26,,,
E01020097,3,2,3,5,10,23,,,
E01020098,3,2,4,4,14,27,,,
E01020099,2,1,2,3,9,17,,,
E01020100,1,1,2,2,9,15,,,
E01020101,2,2,2,3,12,20,,,
E01020102,1,1,1,2,9,13,,,
E01020103,1,1,1,2,4,8,,,
E01020104,1,1,1,1,1,4,,,
E01020105,1,2,2,3,12,20,,,
E01020106,1,2,3,3,11,22,,,
E01020107,2,2,3,8,26,41,,,
E01020108,3,2,3,3,7,18,,,
E01020109,1,1,2,4,5,14,,,
E01020110,1,2,2,4,12,21,,,
E01020111,1,1,1,3,8,14,,,
E01020112,1,2,1,2,11,17,,,
E01020113,1,1,1,4,12,20,,,
E01020114,1,1,2,2,7,14,,,
E01020115,2,1,2,1,8,14,,,
E01020116,1,1,2,3,11,19,,,
E01020117,2,2,2,2,9,18,,,
E01020118,1,1,1,2,4,9,,,
E01020119,2,2,3,4,11,21,,,
E01020120,2,2,2,4,11,21,,,
E01020121,2,2,3,3,8,18,,,
E01020122,2,2,2,3,8,18,,,
E01020123,1,2,2,3,11,19,,,
E01020124,1,1,2,5,16,26,,,
E01020125,2,2,3,4,10,21,,,
E01020126,2,2,2,5,15,26,,,
E01020127,2,2,3,2,9,18,,,
E01020128,1,2,2,4,13,21,,,
E01020129,1,1,2,2,5,11,,,
E01020130,1,1,1,2,5,9,,,
E01020131,2,2,2,3,8,17,,,
E01020132,2,2,3,6,14,26,,,
E01020133,2,1,2,2,6,13,,,
E01020134,1,1,1,2,11,16,,,
E01020135,2,1,3,3,17,26,,,
E01020136,1,2,3,4,15,26,,,
E01020137,1,1,3,4,18,27,,,
E01020138,3,3,4,5,16,31,,,
E01020139,1,1,2,3,6,13,,,
E01020140,1,2,2,3,5,13,,,
E01020141,1,1,1,1,4,9,,,
E01020142,2,2,3,4,11,23,,,
E01020143,3,2,2,4,5,16,,,
E01020144,1,1,1,0,2,4,,,
E01020145,2,1,2,5,4,14,,,
E01020146,1,1,1,2,7,12,,,
E01020147,3,2,4,4,7,20,,,
E01020148,1,1,1,1,4,9,,,
E01020149,1,1,1,3,4,11,,,
E01020150,2,2,2,5,24,36,,,
E01020151,3,2,3,5,19,32,,,
E01020152,2,2,3,6,23,35,,,
E01020153,2,2,2,3,7,16,,,
E01020154,1,1,1,2,2,6,,,
E01020155,1,1,2,2,7,12,,,
E01020156,2,2,3,6,10,24,,,
E01020157,3,2,3,4,10,23,,,
E01020158,2,1,2,3,10,18,,,
E01020159,2,1,2,2,8,15,,,
E01020160,2,1,3,2,6,14,,,
E01020161,2,2,4,9,31,49,,,
E01020162,1,1,1,1,1,6,,,
E01020163,1,1,2,2,7,14,,,
E01020164,1,1,1,1,6,10,,,
E01020165,1,1,1,1,6,9,,,
E01020166,2,1,2,3,5,13,,,
E01020167,1,1,1,2,6,11,,,
E01020168,2,3,4,6,25,40,,,
E01020169,2,2,2,4,21,30,,,
E01020170,3,3,3,5,13,27,,,
E01020171,3,2,5,4,13,28,,,
E01020172,3,2,3,4,13,24,,,
E01020173,2,2,2,4,17,28,,,
E01020174,2,2,3,4,10,21,,,
E01020175,3,3,5,7,13,31,,,
E01020176,1,1,1,4,13,21,,,
E01020177,1,1,2,4,17,25,,,
E01020178,3,3,4,5,18,33,,,
E01020179,3,2,5,8,15,33,,,
E01020180,2,2,3,5,11,22,,,
E01020181,2,2,3,6,16,28,,,
E01020182,1,1,1,2,6,11,,,
E01020183,1,2,3,5,12,22,,,
E01020184,2,2,2,3,11,20,,,
E01020185,2,2,3,3,11,20,,,
E01020186,2,3,4,3,11,23,,,
E01020187,2,1,2,5,11,21,,,
E01020188,3,2,3,3,10,20,,,
E01020189,2,2,3,5,15,28,,,
E01020190,3,3,4,4,14,28,,,
E01020191,1,1,1,2,9,14,,,
E01020192,2,2,3,3,14,24,,,
E01020193,1,1,2,2,13,19,,,
E01020194,1,1,2,2,4,11,,,
E01020195,2,1,2,3,10,18,,,
E01020196,2,2,2,3,20,28,,,
E01020197,2,1,3,5,4,14,,,
E01020198,1,1,2,1,6,11,,,
E01020199,2,1,2,3,11,18,,,
E01020200,2,1,2,3,9,17,,,
E01020201,3,2,2,5,29,41,,,
E01020202,2,2,4,7,15,31,,,
E01020203,2,2,5,7,18,35,,,
E01020204,1,1,1,2,1,5,,,
E01020205,2,2,3,4,19,29,,,
E01020206,1,2,2,3,12,21,,,
E01020207,1,1,2,2,21,27,,,
E01020208,1,1,2,2,10,16,,,
E01020209,1,2,2,2,4,11,,,
E01020210,2,1,2,3,7,15,,,
E01020211,1,1,1,2,4,9,,,
E01020212,1,1,2,2,5,10,,,
E01020213,1,2,2,3,7,15,,,
E01020214,2,1,3,5,11,22,,,
E01020215,2,1,3,4,7,16,,,
E01020216,1,1,2,2,6,12,,,
E01020217,1,2,2,4,21,30,,,
E01020218,1,1,1,3,10,16,,,
E01020219,2,1,2,2,8,16,,,
E01020220,1,1,2,3,6,13,,,
E01020221,2,2,2,2,7,15,,,
E01020222,1,1,1,3,6,12,,,
E01020223,2,2,2,2,6,14,,,
E01020224,0,1,1,1,1,5,,,
E01020225,1,1,1,2,8,12,,,
E01020226,2,1,3,4,22,31,,,
E01020227,1,1,2,4,24,33,,,
E01020228,2,2,5,6,29,44,,,
E01020229,3,3,4,4,15,28,,,
E01020230,2,2,2,3,12,22,,,
E01020231,2,1,3,4,13,22,,,
E01020232,1,1,2,2,5,12,,,
E01020233,3,3,4,6,24,41,,,
E01020234,2,1,1,3,11,18,,,
E01020235,2,2,3,6,22,36,,,
E01020236,1,2,2,4,8,17,,,
E01020237,2,2,2,3,7,15,,,
E01020238,1,1,2,4,10,19,,,
E01020239,1,2,2,3,16,24,,,
E01020240,1,2,2,5,17,28,,,
E01020241,2,1,2,2,6,13,,,
E01020242,1,1,2,3,5,12,,,
E01020243,1,1,1,1,7,13,,,
E01020244,1,1,2,4,9,18,,,
E01020245,2,1,2,3,11,19,,,
E01020246,1,1,1,1,3,7,,,
E01020247,1,1,3,5,11,21,,,
E01020248,2,2,3,3,8,18,,,
E01020249,2,1,3,3,9,18,,,
E01020250,2,2,3,5,13,24,,,
E01020251,1,1,2,3,7,15,,,
E01020252,1,1,2,3,20,27,,,
E01020253,1,1,1,2,2,6,,,
E01020254,1,1,2,2,11,16,,,
E01020255,1,2,3,2,5,13,,,
E01020256,1,1,2,2,11,17,,,
E01020257,1,1,1,3,7,14,,,
E01020258,2,1,3,4,18,28,,,
E01020259,2,1,2,3,6,13,,,
E01020260,2,2,3,5,19,29,,,
E01020261,2,1,3,2,7,15,,,
E01020262,2,2,2,2,16,24,,,
E01020263,2,2,3,4,14,27,,,
E01020264,1,2,3,5,38,49,,,
E01020265,2,2,3,4,12,23,,,
E01020266,2,1,2,2,11,19,,,
E01020267,2,2,2,4,17,26,,,
E01020268,2,2,3,6,23,36,,,
E01020269,2,2,4,9,33,50,,,
E01020270,2,2,2,3,6,14,,,
E01020271,1,1,2,2,15,21,,,
E01020272,1,1,1,1,6,11,,,
E01020273,2,1,2,3,6,13,,,
E01020274,2,1,1,1,4,9,,,
E01020275,2,1,3,3,6,14,,,
E01020276,2,2,3,4,7,18,,,
E01020277,2,2,2,3,9,17,,,
E01020278,2,1,2,2,3,10,,,
E01020279,2,2,3,3,2,11,,,
E01020280,2,2,1,3,10,17,,,
E01020281,2,2,3,4,11,21,,,
E01020282,2,1,3,3,18,27,,,
E01020283,2,2,3,4,8,20,,,
E01020284,1,1,2,1,8,14,,,
E01020285,1,1,2,2,9,14,,,
E01020286,2,2,2,3,6,15,,,
E01020287,2,1,2,3,12,22,,,
E01020288,2,1,3,3,7,16,,,
E01020289,2,2,3,4,8,19,,,
E01020290,2,2,3,4,17,28,,,
E01020291,2,1,2,1,5,12,,,
E01020292,2,2,2,4,8,17,,,
E01020293,2,2,3,3,10,20,,,
E01020294,2,2,3,7,23,36,,,
E01020295,2,2,2,3,25,34,,,
E01020296,2,2,2,3,6,14,,,
E01020297,2,2,3,3,10,19,,,
E01020298,3,3,4,7,23,42,,,
E01020299,2,2,5,6,14,30,,,
E01020300,2,2,3,5,25,38,,,
E01020301,2,2,2,4,9,19,,,
E01020302,2,2,2,3,12,21,,,
E01020303,2,2,2,4,10,21,,,
E01020304,2,1,2,5,12,22,,,
E01020305,1,1,2,2,9,14,,,
E01020306,1,1,2,1,6,11,,,
E01020307,1,1,2,4,12,20,,,
E01020308,2,2,2,3,9,18,,,
E01020309,2,2,2,2,7,14,,,
E01020310,3,3,4,9,24,44,,,
E01020311,3,3,3,4,11,23,,,
E01020312,3,2,3,4,8,19,,,
E01020313,1,1,2,3,10,17,,,
E01020314,2,2,2,3,13,22,,,
E01020315,2,1,2,4,24,34,,,
E01020316,2,3,2,4,11,23,,,
E01020317,2,2,2,2,13,20,,,
E01020318,2,2,3,3,12,23,,,
E01020319,2,1,2,2,7,15,,,
E01020320,2,2,3,2,9,19,,,
E01020321,2,2,3,5,15,27,,,
E01020322,3,3,3,5,16,28,,,
E01020323,1,1,1,2,7,13,,,
E01020324,2,2,3,4,14,25,,,
E01020325,2,2,2,3,7,14,,,
E01020326,2,2,2,4,12,22,,,
E01020327,2,2,3,7,11,24,,,
E01020328,1,1,2,2,6,13,,,
E01020329,2,2,3,3,13,23,,,
E01020330,2,1,3,6,22,34,,,
E01020331,2,1,2,5,15,25,,,
E01020332,2,2,3,4,17,27,,,
E01020333,2,2,3,4,9,20,,,
E01020334,2,2,3,4,12,22,,,
E01020335,2,2,3,6,27,40,,,
E01020336,2,2,4,5,14,26,,,
E01020337,1,1,2,3,12,20,,,
