Area,16 to 24
E01015238,0.03887395
E01015239,0.034455137
E01015240,0.034063686
E01015241,0.038767913
E01015242,0.042877358
E01015243,0.040772496
E01015244,0.040894009
E01015245,0.037272572
E01015246,0.037724684
E01015247,0.039186047
E01015248,0.040614907
E01015249,0.04135514
E01015250,0.024341751
E01015251,0.024579457
E01015252,0.044557676
E01015253,0.025528653
E01015254,0.041480127
E01015255,0.042333333
E01015256,0.04057931
E01015257,0.043096715
E01015258,0.040872748
E01015259,0.043394316
E01015260,0.042339315
E01015261,0.040825568
E01015262,0.042003367
E01015263,0.042152066
E01015264,0.039481132
E01015265,0.037147059
E01015266,0.041288925
E01015267,0.038245014
E01015268,0.0358737
E01015269,0.03730654
E01015270,0.037526387
E01015271,0.021002817
E01019886,0.041521916
E01019887,0.040333841
E01019888,0.038367292
E01019889,0.022329685
E01019890,0.022678841
E01019891,0.044128455
E01019892,0.024417204
E01019893,0.043685427
E01019894,0.028137931
E01019895,0.030725146
E01019896,0.029463824
E01019897,0.041727273
E01019898,0.023024108
E01019899,0.02259164
E01019900,0.030931845
E01019901,0.040545299
E01019902,0.039193157
E01019903,0.042363021
E01019904,0.041593651
E01019905,0.035858469
E01019906,0.034932229
E01019907,0.032368263
E01019908,0.025897368
E01019909,0.032919806
E01019910,0.024255319
E01019911,0.028673254
E01019912,0.037961538
E01019913,0.0179777
E01019914,0.039755676
E01019915,0.021196702
E01019916,0.040740964
E01019917,0.044299281
E01019918,0.0401425
E01019919,0.041686695
E01019920,0.042891336
E01019921,0.024136691
E01019922,0.039965309
E01019923,0.042068182
E01019924,0.04533179
E01019925,0.036774436
E01019927,0.037918669
E01019928,0.043602917
E01019929,0.024456418
E01019930,0.022433846
E01019931,0.033742321
E01019932,0.039066216
E01019933,0.039765343
E01019934,0.021463615
E01019935,0.02188296
E01019936,0.038571142
E01019937,0.033588735
E01019938,0.041614519
E01019939,0.033888545
E01019940,0.03243038
E01019942,0.023349227
E01019943,0.034514245
E01019944,0.023962373
E01019945,0.042195812
E01019946,0.029103152
E01019947,0.037840462
E01019948,0.0205
E01019949,0.030011364
E01019950,0.038450088
E01019951,0.02097053
E01019952,0.031778571
E01019953,0.020473907
E01019954,0.042087413
E01019955,0.02180854
E01019956,0.020770455
E01019957,0.02633151
E01019958,0.031321176
E01019959,0.042079681
E01019960,0.02445073
E01019961,0.022982714
E01019962,0.024262956
E01019963,0.035688366
E01019964,0.035128692
E01019965,0.034337856
E01019966,0.022256356
E01019967,0.041175313
E01019968,0.022241525
E01019969,0.023381371
E01019970,0.023425424
E01019971,0.042862069
E01019972,0.043020067
E01019973,0.023618401
E01019974,0.04088746
E01019975,0.041946593
E01019976,0.02240979
E01019977,0.023855346
E01019980,0.041711144
E01019981,0.042503413
E01019982,0.045417565
E01019983,0.034043887
E01019984,0.036925046
E01019985,0.043766387
E01019986,0.034322679
E01019987,0.040804786
E01019988,0.023088722
E01019989,0.023429078
E01019990,0.042118506
E01019991,0.042534884
E01019992,0.042416185
E01019993,0.036978474
E01019994,0.042213423
E01019995,0.039807783
E01019996,0.039797794
E01019997,0.043329531
E01019998,0.035394148
E01019999,0.035840391
E01020000,0.039837128
E01020001,0.034338954
E01020002,0.040070876
E01020003,0.022546433
E01020004,0.035351598
E01020005,0.041836648
E01020006,0.04480692
E01020007,0.043337646
E01020008,0.02458194
E01020009,0.024615257
E01020010,0.042464879
