Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E02003140,1458,4493,1493,265,7709
E02003141,1278,5568,956,153,7955
E02003142,1785,5937,1348,194,9264
E02003143,1376,4596,1359,198,7529
E02003144,634,7383,633,158,8808
E02003145,1092,4707,1017,203,7019
E02003146,1318,6875,716,119,9028
E02003147,2113,5950,920,92,9075
E02003148,949,8174,1005,131,10259
E02003149,1594,7046,816,130,9586
E02003150,1807,8704,1507,268,12286
E02003151,1114,3802,2074,444,7434
E02003152,1914,5826,2099,297,10136
E02003153,1407,4380,1530,257,7574
E02003154,1391,4029,1535,192,7147
E02003155,976,3301,1315,282,5874
E02003156,2229,6367,1583,218,10397
E02003157,1230,4040,1015,95,6380
E02003158,882,3075,1406,323,5686
E02003159,1169,3607,860,131,5767
E02003161,1124,4977,1040,199,7340
E02003163,604,4036,2503,530,7673
E02003164,1383,4865,2224,432,8904
E02003165,1380,4092,1467,234,7173
E02003166,2614,6749,1986,204,11553
E02003167,1309,5538,2147,511,9505
E02003168,1009,3955,1860,230,7054
E02003169,833,3310,2272,401,6816
E02003170,1222,4901,2947,398,9468
E02003171,1220,4048,1920,321,7509
E02004129,868,3040,1602,206,5716
E02004130,878,3304,1553,339,6074
E02004131,895,3147,1177,223,5442
E02004132,1555,4901,1892,257,8605
E02004133,1452,4987,2268,396,9103
E02004134,2811,7009,1545,237,11602
E02004135,1168,4210,2513,426,8317
E02004136,1546,4511,2045,312,8414
E02004137,698,2688,1706,250,5342
E02004138,784,3274,2687,618,7363
E02004139,1068,3477,1990,415,6950
E02004140,449,2169,1968,619,5205
E02004141,1019,3441,1461,220,6141
E02004142,934,3991,1358,199,6482
E02004143,999,3590,1587,208,6384
E02004144,1182,3692,1752,296,6922
E02004145,764,2683,2157,467,6071
E02004146,1389,4444,1361,188,7382
E02004147,1203,4826,1094,207,7330
E02004148,967,3494,2260,699,7420
E02004149,854,8728,1319,268,11169
E02004150,1296,4800,726,112,6934
E02004151,1662,5369,1506,353,8890
E02004152,575,8107,621,217,9520
E02004153,1561,5136,939,65,7701
E02004154,1286,6310,780,180,8556
E02004155,1453,4663,1275,264,7655
E02004156,945,9122,1011,199,11277
E02004157,1048,4344,932,282,6606
E02004158,1529,5625,932,202,8288
E02004159,2350,7586,1681,167,11784
E02004160,1261,4303,1426,292,7282
E02004161,1648,5374,1045,210,8277
E02004162,1199,4780,1192,263,7434
E02004163,1323,4129,1735,356,7543
E02004164,1049,3884,1668,217,6818
E02004165,1386,4683,1923,338,8330
E02004166,1236,3797,1392,209,6634
E02004167,1696,4497,1074,163,7430
E02004168,1172,3738,1154,184,6248
E02004169,1333,4254,1425,219,7231
E02004170,1674,5192,1392,254,8512
E02004171,1428,4578,1642,247,7895
E02004172,1050,3670,1444,180,6344
E02004173,1274,4285,1579,207,7345
E02004174,1461,4567,1472,336,7836
E02004175,934,3289,1043,142,5408
E02004176,726,3061,1517,214,5518
E02004177,1060,3513,1219,206,5998
E02004178,942,3017,1265,189,5413
E02004179,1703,5414,1872,367,9356
E02004180,1042,3463,1296,181,5982
E02004181,1026,3414,1171,193,5804
E02004182,1181,3784,1051,192,6208
E02004183,943,3316,1482,257,5998
E02004184,1921,5561,1249,206,8937
E02004185,940,3140,1714,319,6113
E02004186,1532,4987,1761,230,8510
E02004187,1580,5512,2074,363,9529
E02004188,953,3715,1749,249,6666
E02004189,986,3984,1052,102,6124
E02004190,1276,4612,1880,276,8044
E02004191,1344,4995,1845,312,8496
E02004192,1049,3958,2103,233,7343
E02004193,2242,7150,2015,320,11727
E02004194,1245,4025,1479,234,6983
E02004195,704,3164,1406,241,5515
E02004196,1234,4133,1849,239,7455
E02004197,919,3288,2000,250,6457
E02004198,1038,3602,1497,324,6461
E02004199,748,2692,1909,237,5586
E02004200,634,2666,1611,238,5149
E02004201,739,2926,1465,220,5350
E02004202,1505,5071,1622,290,8488
E02004203,825,3355,1475,258,5913
E02004204,1673,5520,2133,317,9643
E02004205,1342,4624,1821,224,8011
E02004206,874,3480,1928,397,6679
E02004207,1042,3500,1460,236,6238
E02004208,1340,4597,2167,324,8428
E02004209,1476,5164,1669,306,8615
E02004210,1018,3977,1379,393,6767
E02004211,848,3361,2024,351,6584
E02004212,1107,3788,1118,121,6134
E02004213,1396,4826,1088,250,7560
E02004214,1186,3894,923,178,6181
E02004215,977,3473,1058,289,5797
E02004216,877,3212,1316,174,5579
E02004217,1397,4658,1672,233,7960
E02004218,883,3442,1441,205,5971
E02004219,858,3030,1415,236,5539
E02004220,855,3360,1724,233,6172
E02004221,684,3073,2075,377,6209
E02004222,1053,3626,1117,171,5967
E02004223,2683,7650,2141,255,12729
E02004224,971,3637,1683,257,6548
E02004225,1111,3460,1196,196,5963
E02004226,1015,4091,1923,207,7236
E02004227,1667,5654,2275,312,9908
E02004228,1052,4007,1838,192,7089
E02004229,1587,5337,2001,319,9244
E02004230,1360,4298,1529,272,7459
E02004231,990,4155,1672,167,6984
E02004232,1014,3841,1610,199,6664
E02004233,2135,6910,2944,515,12504
E02004234,850,3358,1642,237,6087
E02004235,947,3493,1694,253,6387
E02006840,2105,6326,2228,342,11001
TOWN01,1397,4658,1672,233,7960
TOWN02,2372,8355,4133,655,15515
TOWN03,8403,26875,9296,1516,46090
TOWN04,6428,22136,9168,1355,39087
TOWN05,2270,7163,2631,500,12564
TOWN06,3785,12522,4495,723,21525
TOWN07,4656,14310,4546,711,24223
TOWN08,1367,5777,3052,410,10606
TOWN09,2451,8877,4067,678,16073
TOWN10,24296,101396,21483,4153,151328
TOWN11,7755,27750,11692,2301,49498
TOWN12,1775,6367,2521,347,11010
TOWN13,2719,9661,4113,504,16997
TOWN14,2842,10163,4644,796,18445
TOWN15,2955,10153,3850,536,17494
TOWN16,5863,20420,7584,961,34828
TOWN17,2722,9537,4816,799,17874
TOWN18,140,978,435,82,1635
TOWN19,630,2525,1068,166,4389
TOWN20,12267,42970,14957,2511,72705
TOWN21,4540,15558,6231,871,27200
TOWN22,3272,9746,3720,553,17291
TOWN23,1510,5800,4223,905,12438
TOWN24,2088,7784,5366,1263,16501
TOWN25,2163,7855,3262,518,13798
TOWN26,4694,17018,7459,1147,30318
TOWN27,2806,10376,4928,975,19085
TOWN28,6984,22437,8002,1239,38662
TOWN29,3467,12535,5194,836,22032
DIV1,2557,9131,2597,540,14825
DIV2,2194,8050,2514,351,13109
DIV3,1996,7004,3309,554,12863
DIV4,2459,8271,2529,464,13723
DIV5,2612,7804,2424,384,13224
DIV6,1847,7017,2692,287,11843
DIV7,2701,8530,2726,310,14267
DIV8,2006,6383,2215,373,10977
DIV9,1862,6653,3035,551,12101
DIV10,2270,7163,2631,500,12564
DIV11,3179,8269,2273,335,14056
DIV12,2060,7213,2874,360,12507
DIV13,1677,5894,2338,308,10217
DIV14,1792,6697,2944,376,11809
DIV15,2442,7771,2561,431,13205
DIV16,2241,7792,3129,464,13626
DIV17,2511,7753,2178,365,12807
DIV18,1753,7122,3509,474,12858
DIV19,2216,8104,3749,621,14690
DIV20,1257,11201,1665,331,14454
DIV21,1862,6506,2246,410,11024
DIV22,1731,6177,4417,1166,13491
DIV23,5683,20205,6791,1058,33737
DIV24,2797,9461,1681,231,14170
DIV25,2421,8496,3501,688,15106
DIV26,1782,5839,2666,453,10740
DIV27,2298,8060,3280,449,14087
DIV28,2508,9066,2132,482,14188
DIV29,2719,9661,4113,504,16997
DIV30,1994,6802,2262,348,11406
DIV31,1810,6745,3340,537,12432
DIV32,2242,7150,2015,320,11727
DIV33,1786,6294,3406,561,12047
DIV34,2268,8201,3190,576,14235
DIV35,2588,8388,2138,415,13529
DIV36,2145,7464,2542,464,12615
DIV37,1539,6433,3799,610,12381
DIV38,2374,8139,3139,471,14123
DIV39,2221,7030,3139,474,12864
DIV40,2588,8059,1983,424,13054
DIV41,1688,6263,3058,438,11447
DIV42,1696,6515,4628,933,13772
DIV43,1754,6633,4756,1178,14321
DIV44,2070,6945,3170,463,12648
DIV45,1897,6716,2669,475,11757
DIV46,1411,10342,1441,401,13595
DIV47,1739,14799,1325,346,18209
DIV48,2135,6910,2944,515,12504
DIV49,2358,8574,3546,717,15195
DIV50,2966,8600,2462,372,14400
DIV51,2223,7560,3066,513,13362
DIV52,2126,7551,3119,403,13199
DIV53,2033,7478,2796,463,12770
DIV54,2473,7471,2448,448,12840
DIV55,1948,6549,3162,396,12055
DIV56,2376,7669,2769,409,13223
DIV57,2660,8846,1848,227,13581
DIV58,2076,8283,3729,527,14615
CHSCTAXE,5970,21939,13722,2823,44454
CHSCTBARNSTAPLE,6803,21826,7058,1125,36812
CHSCTBIDEFORD,7562,25306,10610,1646,45124
CHSCTBRAUNTON,5365,18294,6916,1118,31693
CHSCTCREDITON,3629,12223,4599,714,21165
CHSCTCULLOMPTON,5846,18492,6185,975,31498
