Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01015190,15296.10375,16067.32143,15134.72248,15806.28537,15487.12207,15373.79445
E01015191,13037.09926,11283.5678,11922.10699,12722.044,12352.47537,12130.32546
E01015192,16189.58138,15127.16152,15033.4959,14784.61041,14410.5195,13935.9268
E01015193,16758.27094,16439.78709,14907.35503,14518.37765,14299.48876,14155.30882
E01015194,16631.79036,18445.78749,17823.03433,17144.14748,16745.9246,16358.12823
E01015195,14242.3258,16286.46962,16772.90165,18934.7678,18434.4996,18256.56787
E01015196,16373.10238,17631.82757,19658.83475,18997.7695,18714.42627,18262.04668
E01015197,12332.42359,12703.56616,14001.68757,14360.74253,14341.69491,14337.16485
E01015198,15568.95473,14397.00147,14446.66568,14681.59446,14558.73732,14404.16139
E01015199,20743.80812,21061.37982,18107.54336,12285.56494,11752.2316,11480.33399
E01015200,14410.04124,12846.37059,11560.87471,11182.15377,10830.58945,10585.71455
E01015201,20096.39278,22189.64665,17852.56568,16376.88569,16190.6423,15921.23401
E01015202,12340.84676,12741.78763,13951.16958,14341.65638,14072.77834,13500.53937
E01015203,14143.86559,14108.19539,14018.42028,13422.2699,13296.47537,13166.92816
E01015204,12112.53584,13475.42816,14355.07113,14705.25468,14245.50385,14330.17133
E01015205,12653.24555,12734.55384,13679.95243,13918.17954,13545.45227,13552.88293
E01015206,14089.69277,13928.80085,13620.83146,14383.65,14044.705,13850.91271
E01015207,12540.81516,11265.64178,10866.58735,12380.27079,11995.58555,11841.52161
E01015208,11927.28259,12640.67981,13046.15849,13020.99722,12652.68553,12537.23875
E01015209,13572.66779,12698.55671,15546.00027,17214.88232,16887.69278,16673.85963
E01015210,19566.92313,18568.5817,17963.01486,17254.63242,16587.82721,16506.50531
E01015211,13931.81846,14032.1821,14099.9391,15138.4108,14812.53487,14298.2278
E01015212,16536.81438,17778.2294,16847.21757,17965.32916,16702.7029,15640.16061
E01015213,14128.27838,14710.2008,14915.2418,16151.116,15603.31873,15540.12633
E01015214,17871.48905,16949.61534,15631.69245,16119.47257,15890.96276,15369.67515
E01015215,17021.40548,16594.74722,16661.58896,16147.34278,15718.94772,13796.47581
E01015216,14047.41166,13213.1909,15697.89132,16452.17281,15782.52301,13200.17371
E01015217,17662.55479,16273.25137,15460.56399,14934.3001,14521.83406,13936.66147
E01015218,14467.87709,15386.90559,16465.77095,16221.879,15881.09756,15753.53245
E01015219,12376.51623,12805.89844,17753.6504,17118.94068,15528.84929,15780.03245
E01015220,12529.9532,14474.24194,15750.76209,16221.29781,16020.27216,15885.03878
E01015221,16800.94474,16148.4535,14023.41819,14697.2676,14350.60094,14214.40356
E01015222,14144.30297,13901.09783,13450.03103,14268.68655,13950.29253,13623.36604
E01015223,12359.21332,11832.22684,14380.15267,17703.34867,14436.682,17965.52023
E01015224,11540.91528,12989.91427,14070.47238,14500.40972,14329.55502,13607.81483
E01015225,10577.70149,10906.06766,10887.55654,12257.45338,12017.20028,11870.41213
E01015226,19443.31519,21326.4158,17923.48006,13819.40066,11683.99805,11522.10643
E01015227,16649.3821,15451.09792,14690.59513,15008.24525,14887.13414,14621.27027
E01015228,12969.51459,11811.31997,11450.34375,11993.88872,11633.08907,11357.86384
E01015229,14503.20149,16552.37004,15519.239,14586.27052,14016.21704,13566.8198
E01015230,11832.41801,12761.04968,14738.79142,16085.84575,15665.92238,15613.09418
E01015231,15632.26079,14869.73638,14682.64634,14721.60515,14392.97267,14314.61704
E01015232,13124.27138,14329.82182,15275.00146,14627.14463,14490.91724,13771.90014
E01015233,12480.34332,12079.12461,11702.13081,12176.95243,11958.11405,11420.40016
E01015234,12510.67562,12021.73101,12654.20737,12453.90601,12332.66319,12153.31068
E01015235,10303.9843,11701.88238,13360.98439,15157.06399,14902.24917,14670.40927
E01015236,11500.38889,11608.14718,11950.8275,13737.57657,13668.22315,13455.81613
E01015237,15484.38277,15677.57329,16645.26878,16183.91607,15949.55935,15276.94247
E01015238,17548.78371,16645.19512,16242.15828,14288.36141,13605.69474,14240.23092
E01015239,11289.20343,11273.78878,12345.71658,14780.47392,14540.00608,14550.05398
E01015240,12696.34453,14788.27799,16198.41705,15931.21312,15509.65567,15231.9583
E01015241,14903.68122,15846.96281,18795.17529,19668.93199,18736.56484,18535.39777
E01015242,15899.27755,14983.50113,14089.05301,14510.49122,13700.16864,13615.04276
E01015243,15021.87128,14999.4458,13507.57013,13755.04314,13410.87021,13640.75426
E01015244,17041.26235,14871.1622,13989.09928,13389.36587,13116.52636,12846.90076
E01015245,13158.27356,12639.50549,12354.32811,12054.04336,11722.37669,11612.67309
E01015246,12735.21606,13041.34849,13624.4555,12999.38326,12448.12785,12528.51759
E01015247,12003.23478,11518.34455,12055.59037,12327.45558,11638.0076,11579.85056
E01015248,14850.71899,14031.28113,13540.86316,12422.24725,12077.31971,11725.1071
E01015249,14463.00237,12359.64555,13466.0026,14759.22685,14525.09432,14266.10207
E01015250,11028.46345,10981.85666,12697.5656,13146.27487,12743.03531,12673.67711
E01015251,22206.57471,18826.30772,14476.83725,14473.2436,14063.62822,13228.29756
E01015252,14200.38074,14818.64256,15870.90769,16881.69621,15337.13574,14457.97021
E01015253,14405.53646,14166.35609,15185.65502,14373.68516,14006.48119,13682.93395
E01015254,21713.00541,19849.35613,16250.79225,16913.07774,16662.41107,16151.5565
E01015255,14921.58086,14678.89989,16767.21231,17718.2667,17381.49356,16997.67941
E01015256,17128.02658,16796.66849,17807.42681,16327.22776,16034.63517,15815.78596
E01015257,15312.87181,16649.26849,17844.21829,18630.34104,17982.34325,18056.34803
E01015258,13924.91239,14622.48507,15691.02203,15967.08156,15301.95976,15151.76057
E01015259,16360.26125,16686.72565,16374.75939,19564.69276,19007.80151,18722.48868
E01015260,18837.87759,20921.85594,20473.89492,17901.43197,16871.34159,16049.29766
E01015261,12954.1958,13020.25233,12448.28833,13635.54399,13306.41321,13166.69459
E01015262,14630.48817,15977.57178,17745.58606,19022.43976,18607.28936,18261.85285
E01015263,15307.70961,14856.13585,16487.9096,16020.4863,15588.98838,15428.2236
E01015264,14508.73394,14290.41617,14807.04519,15146.29482,14854.51993,14381.45021
E01015265,13581.74861,13548.90437,16401.59881,17365.48029,16993.88226,16813.62555
E01015266,22025.93481,21718.82876,22259.48742,20219.25763,17563.55777,17548.43497
E01015267,13814.98666,13141.39643,12833.03206,12159.45289,11587.98561,11759.41418
E01015268,11871.72322,11529.05113,13621.58284,16088.36273,15706.92194,15489.07111
E01015269,13260.16515,12007.25758,10979.98174,11279.5339,11062.58475,10772.25661
E01015270,21372.30528,20974.45166,17541.28233,12402.8549,12184.05148,11993.98936
E01015271,11187.5283,11585.29554,12409.91273,12408.30867,12290.14289,12019.99757
E01019886,13052.81767,12500.46236,14112.27988,14182.52043,13853.5615,13836.40199
E01019887,18274.08738,19219.94901,20043.01442,20678.77131,20147.62976,19934.38189
E01019888,15541.36462,15757.47118,14345.50008,14233.25701,13999.92368,14090.07565
E01019889,14121.90825,15418.59451,16013.1879,14729.25151,14484.44276,14306.60762
E01019890,15554.76166,15317.04356,13661.26501,13669.63313,13478.88347,12951.01283
E01019891,21728.10757,18999.61317,17214.40876,16722.52182,16083.40617,16033.57352
E01019892,18124.9362,22470.99297,27197.59885,22200.8976,21667.36988,20991.74912
E01019893,23146.26502,21882.75214,19694.1829,18816.05225,17631.92526,17860.72409
E01019894,14652.43446,15855.24582,15140.1239,14189.21492,14096.4613,13537.56406
E01019895,17755.44898,17096.49705,14681.00353,14437.92315,14140.11105,13881.75736
E01019896,22697.91333,21870.64609,19221.82554,14364.44842,13971.46596,13870.11192
E01019897,14923.52433,16851.08056,20367.23949,19717.58738,19243.51331,16951.13555
E01019898,17914.4046,21272.16553,23432.18467,23001.9041,22590.862,22278.73948
E01019899,16609.69586,16687.74401,15967.43621,16441.31931,16097.4701,15970.23748
E01019900,14139.92413,13755.3416,13620.63919,14102.64489,13803.22969,13519.50886
E01019901,16875.13074,16626.45701,17758.55827,15352.06565,15210.26671,14874.54758
E01019902,18243.94345,17980.68966,18402.63253,15929.4424,15743.17351,15548.87714
E01019903,19600.59607,22590.61281,22215.69441,22233.87584,22119.09323,21631.31466
E01019904,18400.96512,16948.25173,13670.27395,13127.01319,12904.79097,12598.68522
E01019905,17506.09141,17562.37745,16692.71619,14403.69114,12898.92924,13533.31244
E01019906,19450.43465,17287.54565,14313.20087,14132.49838,13933.72387,13895.97493
E01019907,18758.5285,16833.00074,17274.8991,15757.63626,14962.86502,15140.27707
E01019908,36776.85925,37818.62784,33142.80538,31473.5302,31062.17537,30766.61315
E01019909,11875.50791,12728.41712,13001.56709,13181.60814,12962.13724,12566.15458
E01019910,18454.94714,19701.98602,20496.27143,19761.09054,19500.30623,19385.96154
E01019911,24414.23627,28207.59148,25158.30784,19995.61798,19711.17354,14734.03143
E01019912,16407.60137,15019.14351,15304.99609,14484.09409,14136.88913,13621.48349
E01019913,15851.48356,14835.20577,20430.79294,20845.57626,15568.38328,18497.81271
E01019914,19846.49569,18902.45317,18918.76074,19180.62611,18755.90805,18619.12563
E01019915,19964.29433,20729.87614,19232.74442,18778.39693,18093.74085,15382.72109
E01019916,15232.99492,17031.87963,17267.18747,14575.26038,14233.61712,14153.2361
E01019917,14000.4053,15910.51429,15752.52637,15541.93888,15225.37573,14963.24897
E01019918,17725.53763,19147.24488,19109.90393,16097.81461,15845.71982,15539.0519
E01019919,17315.26583,16168.43631,15104.17529,16712.48514,16475.4481,16447.52085
E01019920,15541.27187,16139.44797,19360.09374,21277.90198,20791.32791,20867.79911
E01019921,24292.82965,22664.84273,21119.7816,20710.7854,19966.36794,19816.22682
E01019922,32365.31292,29955.07748,27867.94472,24697.72796,24203.24395,24365.38827
E01019923,16176.35942,16972.98411,16199.68067,14697.27134,14441.7402,14465.31269
E01019924,15562.67685,15475.15036,15155.81681,14925.14764,14535.43336,14230.23933
E01019925,14291.99384,16189.3725,15708.91726,14417.12805,14211.69604,13787.03081
E01019927,14876.46977,14006.17382,13462.50984,13290.66594,12941.70379,12478.51649
E01019928,14422.56835,15951.92271,16529.42771,17891.66871,17255.4114,17332.1508
E01019929,13541.5872,13985.8566,15703.34477,15702.63897,15014.72474,15526.70731
E01019930,12677.26866,14526.23018,16676.49781,17321.03424,17259.73554,17069.66467
E01019931,14392.18339,13841.77164,14343.00955,15336.12269,15146.49306,14661.81439
E01019932,15874.83903,15314.48546,15018.0549,13217.57749,13070.83125,12887.05499
E01019933,16361.35652,16018.04135,14676.78556,13740.95203,13594.60925,13189.49147
E01019934,15546.49836,16723.81303,15778.09308,15619.06337,15493.05864,14970.90556
E01019935,14510.08818,15076.6964,17967.93963,16308.66136,16207.07406,16049.87943
E01019936,18776.74342,18627.49167,14399.5943,12383.54727,12493.56369,12465.88054
E01019937,15565.81011,13713.67098,12716.74758,12114.55936,12022.87682,11830.89055
E01019938,14014.01129,14305.7936,14572.30406,14340.87361,14136.61829,13250.76223
