Area,16 to 24
E01015238,0.037412869
E01015239,0.035884699
E01015240,0.03437594
E01015241,0.037244646
E01015242,0.04175976
E01015243,0.034401794
E01015244,0.034525186
E01015245,0.035270318
E01015246,0.032199503
E01015247,0.037774172
E01015248,0.039369852
E01015249,0.040080101
E01015250,0.023080429
E01015251,0.022567134
E01015252,0.037676011
E01015253,0.023524924
E01015254,0.034136667
E01015255,0.041405367
E01015256,0.041920395
E01015257,0.04188806
E01015258,0.039458924
E01015259,0.042431429
E01015260,0.042605447
E01015261,0.041244587
E01015262,0.041161202
E01015263,0.04151406
E01015264,0.033595013
E01015265,0.035365583
E01015266,0.04069184
E01015267,0.040173427
E01015268,0.035530226
E01015269,0.03680515
E01015270,0.038316872
E01015271,0.019009217
E01019886,0.034840841
E01019887,0.034279605
E01019888,0.032828802
E01019889,0.020778648
E01019890,0.021219029
E01019891,0.036014778
E01019892,0.023307601
E01019893,0.036907104
E01019894,0.02145948
E01019895,0.023292091
E01019896,0.022379262
E01019897,0.035431743
E01019898,0.021330035
E01019899,0.021101916
E01019900,0.023450529
E01019901,0.0342305
E01019902,0.032877897
E01019903,0.035107577
E01019904,0.03500251
E01019905,0.026702959
E01019906,0.026853386
E01019907,0.024394223
E01019908,0.023825874
E01019909,0.024499361
E01019910,0.021945087
E01019911,0.022587036
E01019912,0.032849868
E01019913,0.016603236
E01019914,0.037635799
E01019915,0.019641473
E01019916,0.040207692
E01019917,0.037437202
E01019918,0.038955838
E01019919,0.039667656
E01019920,0.036300781
E01019921,0.0220673
E01019922,0.038322881
E01019923,0.035185658
E01019924,0.037933223
E01019925,0.027277132
E01019927,0.036773659
E01019928,0.036384014
E01019929,0.022627986
E01019930,0.020967635
E01019931,0.025357527
E01019932,0.037578911
E01019933,0.033455649
E01019934,0.020133208
E01019935,0.020394495
E01019936,0.032398129
E01019937,0.025320334
E01019938,0.034669583
E01019939,0.025117742
E01019940,0.024292899
E01019942,0.021746871
E01019943,0.026314176
E01019944,0.022433991
E01019945,0.033438225
E01019946,0.022101315
E01019947,0.032277327
E01019948,0.019125109
E01019949,0.022763359
E01019950,0.031559259
E01019951,0.0195
E01019952,0.024512358
E01019953,0.018612807
E01019954,0.035401141
E01019955,0.020202182
E01019956,0.019977439
E01019957,0.020084431
E01019958,0.023541325
E01019959,0.035433824
E01019960,0.022796903
E01019961,0.021540214
E01019962,0.022456598
E01019963,0.027341097
E01019964,0.018141857
E01019965,0.0264438
E01019966,0.020695082
E01019967,0.034279452
E01019968,0.02126983
E01019969,0.022282403
E01019970,0.021425267
E01019971,0.035751196
E01019972,0.041648054
E01019973,0.022025562
E01019974,0.03516113
E01019975,0.040372331
E01019976,0.020713424
E01019977,0.022077849
E01019980,0.040788406
E01019981,0.041029264
E01019982,0.037772827
E01019983,0.025718548
E01019984,0.027074138
E01019985,0.041634276
E01019986,0.026702486
E01019987,0.033026554
E01019988,0.021494081
E01019989,0.02250677
E01019990,0.043105214
E01019991,0.040382943
E01019992,0.035571004
E01019993,0.027302303
E01019994,0.034297801
E01019995,0.038145304
E01019996,0.032189788
E01019997,0.032939767
E01019998,0.026637221
E01019999,0.025813084
E01020000,0.039439531
E01020001,0.026259488
E01020002,0.039002082
E01020003,0.020649725
E01020004,0.026849027
E01020005,0.038810453
E01020006,0.035599131
E01020007,0.031675814
E01020008,0.019892937
E01020009,0.02196395
E01020010,0.04093266
