Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015083,0.045842217,0.048988285,0.038865546,0.026666667,0.074766355,0.074338086,0.067637877,0.051359517,0.056074766,0.056122449,0.035714286,0.040816327
E01015084,0.021715527,0.029598309,0.024784483,0.022099448,0.036343612,0.035067873,0.034065934,0.037777778,0.037444934,0.04027618,0.02301496,0.02301496
E01015085,0.011316872,0.028481013,0.023302938,0.017782427,0.033934252,0.03900325,0.039194915,0.031512605,0.02757158,0.027593819,0.022075055,0.016556291
E01015086,0.020807834,0.022194821,0.03237858,0.020910209,0.049751244,0.0373599,0.035220126,0.04516129,0.029850746,0.031367629,0.012547051,0.037641154
E01015087,0.033524904,0.043137255,0.038575668,0.043521266,0.062811565,0.064935065,0.071428571,0.065088757,0.053838485,0.052681992,0.019157088,0.028735632
E01015088,0.031728665,0.052462527,0.045548654,0.032769556,0.06514658,0.057235421,0.061458333,0.069175992,0.055374593,0.050761421,0.035532995,0.025380711
E01015089,0.007633588,0.018008475,0.017708333,0.013333333,0.03346856,0.036772217,0.035,0.023928215,0.020283976,0.020242915,0.010121457,0.010121457
E01015090,0.009407338,0.011363636,0.015947467,0.010710808,0.021472393,0.026483051,0.023655914,0.020742358,0.010224949,0.012106538,0.012106538,0.006053269
E01015091,0.007826087,0.017467249,0.015274034,0.017527675,0.02889096,0.023651845,0.02975048,0.019193858,0.01584343,0.015479876,0.010319917,0.015479876
E01015092,0.008814103,0.010492333,0.007036747,0.009471192,0.024096386,0.01511335,0.02263202,0.017086331,0.01124498,0.012155592,0.012155592,0.012155592
E01015093,0.014124294,0.01994302,0.017857143,0.019076305,0.02919708,0.023329799,0.02062975,0.023783784,0.016684046,0.016666667,0.016666667,0.011111111
E01015094,0.013933548,0.014115092,0.017259978,0.01384083,0.03286385,0.03156708,0.028280543,0.030927835,0.017605634,0.01754386,0.01754386,0.01754386
E01015095,0.016701461,0.022727273,0.019715225,0.021468927,0.044776119,0.025974026,0.029620853,0.030940594,0.029850746,0.03113325,0.0124533,0.00622665
E01015096,0.017894737,0.010515247,0.012631579,0.013348165,0.02750275,0.033444816,0.035714286,0.038592509,0.02750275,0.02900232,0.011600928,0.011600928
E01015097,0.005,0.007186858,0.006048387,0.005213764,0.02295082,0.010404624,0.017103763,0.015217391,0.012021858,0.010471204,0.010471204,0.010471204
E01015098,0.007692308,0.014941302,0.011178862,0.012,0.025615764,0.014677104,0.014705882,0.015952144,0.022660099,0.024224806,0.014534884,0.009689922
E01015099,0.009746589,0.008204193,0.013914657,0.011204482,0.029328288,0.033947624,0.032195122,0.020060181,0.013245033,0.014218009,0.009478673,0.004739336
E01015100,0.024625268,0.020169851,0.021169355,0.016699411,0.032258065,0.028929605,0.027255639,0.034830431,0.025415445,0.022644928,0.018115942,0.018115942
E01015101,#,0.005760369,0.006880734,0.008027523,0.017006803,0.011235955,0.00913242,0.011481056,0.005668934,0.005688282,0.011376564,0.005688282
E01015102,0.017039404,0.014,0.011970534,0.010762332,0.024734982,0.025906736,0.027050611,0.037100949,0.021201413,0.021645022,0.021645022,0.017316017
E01015103,0.014866204,0.009960159,0.013847676,0.016520894,0.018867925,0.023373984,0.021868787,0.016569201,0.013902681,0.014478764,0.019305019,0.00965251
E01015104,0.005976096,0.009950249,0.013752456,0.007142857,0.025559105,0.01973001,0.016649324,0.012383901,0.01171459,0.010660981,0.00533049,0.00533049
E01015105,0.008928571,0.012770138,0.011787819,0.016966068,0.034414946,0.016798419,0.023023023,0.019512195,0.017699115,0.01953125,0.014648438,0.009765625
E01015106,0.012096774,0.017426273,0.017565872,0.019851117,0.039312039,0.0375,0.037174721,0.035220126,0.024570025,0.024813896,0.006203474,0.018610422
E01015107,0.005514706,0.010138249,0.009174312,0.009389671,0.018832392,0.014204545,0.016144349,0.01994302,0.013182674,0.01476378,0.01476378,0.00984252
E01015108,0.013300083,0.010204082,0.009143807,0.003322259,0.014634146,0.015459723,0.010050251,0.014309764,0.010569106,0.012897678,0.004299226,0.004299226
E01015109,#,0.007561437,0.004655493,0.010396975,0.026266417,0.023518344,0.015009381,0.027881041,0.011257036,0.009643202,0.004821601,0.009643202
E01015110,0.005907173,0.005993151,0.005141388,#,0.019332162,0.013464991,0.006511628,0.011363636,0.007908612,0.009803922,0.004901961,0.004901961
