LSOA,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over
E01015023,48,64,56,57,69,45,84,56,58,65,52,58,50,39,21,26,19,20
E01015024,36,41,26,56,45,32,54,25,61,58,74,71,46,44,41,17,9,5
E01015025,37,39,26,53,28,36,22,18,36,60,47,67,60,63,65,57,46,29
E01015026,79,44,24,37,57,108,85,45,57,49,48,59,36,37,26,16,10,6
E01015027,48,59,46,63,47,57,43,37,46,67,67,68,43,62,34,34,15,18
E01015028,70,74,34,47,50,68,63,30,32,46,51,49,31,43,19,17,9,10
E01015029,69,85,72,58,55,73,49,51,54,42,34,62,26,41,20,29,22,10
E01015030,70,61,38,37,80,63,63,51,47,65,59,50,43,41,29,15,16,15
E01015031,40,25,27,22,132,104,62,37,41,39,48,33,35,33,15,18,13,17
E01015032,23,29,24,102,472,137,66,52,39,53,47,18,25,32,19,13,2,14
E01015033,41,65,37,59,61,23,21,42,43,82,79,47,48,47,43,27,25,21
E01015034,19,32,43,53,31,32,16,18,38,53,51,53,35,42,38,32,21,25
E01015035,58,41,38,55,48,69,49,49,45,66,50,49,29,48,32,24,20,2
E01015036,38,64,62,40,29,24,32,36,59,53,53,41,36,56,43,29,22,11
E01015037,44,36,38,34,34,49,38,24,49,39,57,43,26,41,38,19,17,14
E01015038,57,48,52,77,46,68,43,47,59,73,72,59,52,51,24,32,21,7
E01015039,63,28,25,64,221,251,188,127,102,57,44,38,34,18,29,13,1,4
E01015040,73,68,62,52,3,31,33,33,42,64,54,42,43,23,20,25,13,7
E01015041,53,67,34,44,7,31,85,54,39,55,45,66,27,37,27,6,22,4
E01015042,51,48,38,54,46,76,58,59,54,49,56,44,36,24,12,13,12,4
E01015043,72,57,51,49,70,97,60,42,41,64,52,35,37,27,16,12,2,2
E01015044,42,26,32,29,71,85,104,47,45,62,49,52,30,54,31,17,6,4
E01015045,76,59,40,31,81,90,85,71,44,53,53,56,39,25,11,15,6,7
E01015046,72,75,39,64,62,73,84,60,47,57,73,76,38,57,31,27,13,8
E01015047,88,76,46,61,76,68,60,34,46,53,55,48,52,33,48,12,4,6
E01015048,113,56,63,82,71,95,87,75,69,60,70,35,43,40,18,16,5,7
E01015049,24,20,15,42,447,51,59,33,29,17,41,23,24,21,13,15,6,7
E01015050,24,10,7,120,502,100,50,22,18,21,22,22,17,22,17,10,8,8
E01015051,17,8,9,86,572,54,24,19,16,23,24,14,21,22,22,10,14,2
E01015052,21,26,26,60,491,88,66,53,38,35,28,24,36,13,18,10,1,10
E01015053,19,10,5,62,285,36,33,37,36,25,31,32,15,35,11,8,8,3
E01015054,13,17,14,163,483,33,15,14,28,16,16,20,12,27,2,10,2,6
E01015055,42,41,47,62,36,43,35,42,56,47,52,50,54,35,30,19,13,7
E01015056,71,43,39,30,45,58,66,51,35,49,63,62,66,44,42,25,26,18
E01015057,76,53,54,41,40,38,60,51,47,59,60,45,25,30,29,20,10,13
E01015058,70,60,49,85,50,58,61,37,45,46,46,32,30,36,14,21,13,6
E01015059,69,52,46,66,54,73,66,47,43,77,63,58,28,32,21,14,8,2
E01015060,51,43,57,49,54,50,82,52,46,43,50,33,32,38,41,18,15,10
E01015061,55,43,31,57,124,78,46,45,62,32,28,30,28,25,14,14,6,5
E01015062,31,34,17,110,459,101,43,72,34,33,34,24,20,17,27,12,5,7
E01015063,62,40,35,29,42,80,63,40,36,41,46,45,29,34,24,31,15,13
E01015064,31,38,34,41,44,30,38,25,58,75,47,54,59,82,41,55,42,23
E01015065,72,51,29,33,34,31,29,26,32,37,45,41,29,54,41,29,24,18
E01015066,40,52,35,41,38,33,50,45,46,52,56,46,42,56,41,20,14,7
E01015067,26,24,32,53,54,23,25,23,37,39,66,58,54,63,55,55,25,36
E01015068,53,58,49,54,49,48,55,54,60,51,50,36,50,36,45,24,25,17
E01015069,56,51,40,80,46,60,61,46,52,50,34,49,47,28,29,24,11,11
E01015070,99,88,86,82,67,103,106,100,103,97,81,85,53,70,40,23,22,20
E01015071,44,31,59,47,31,42,26,40,42,63,67,45,51,42,36,27,23,18
E01015072,62,52,56,49,62,58,62,44,38,58,53,57,39,25,23,15,20,6
E01015073,46,43,35,52,37,54,66,46,38,59,66,69,34,41,23,29,18,5
E01015074,56,61,43,59,56,61,50,44,43,45,57,48,36,47,35,24,11,20
E01015075,52,44,36,25,3,19,31,27,35,48,56,36,25,41,34,14,14,6
E01015076,27,32,42,25,48,55,48,46,48,57,61,61,33,37,33,23,19,10
E01015077,62,58,70,43,51,75,60,61,58,58,76,53,50,39,31,33,19,27
E01015078,68,51,69,59,46,51,72,37,54,40,43,52,41,36,22,26,16,11
E01015079,52,43,40,63,27,53,45,35,48,55,62,65,37,46,53,18,19,13
E01015080,21,31,44,40,57,22,29,26,25,31,19,20,13,13,14,1,1,2
E01015081,57,59,65,67,49,50,46,27,58,43,54,44,36,41,26,22,13,14
E01015082,86,49,47,60,52,61,86,42,33,58,69,50,42,37,48,28,10,5
E01015083,58,42,37,42,52,73,45,45,51,58,57,71,47,46,27,30,12,25
E01015084,31,44,42,48,46,39,42,41,31,40,43,54,44,53,36,31,17,20
E01015085,43,46,52,36,30,63,46,34,53,54,50,55,42,54,35,39,16,13
E01015086,38,39,21,41,35,51,49,31,42,44,28,36,41,40,31,32,14,11
E01015087,53,84,81,84,77,52,71,41,42,75,50,32,33,30,25,12,11,6
E01015088,120,82,55,47,62,57,53,59,35,46,42,31,20,27,26,16,5,8
E01015089,57,50,35,39,53,70,59,37,46,52,61,54,24,73,43,23,28,17
E01015090,29,30,46,38,35,30,42,43,27,32,39,69,54,72,36,19,17,12
E01015091,39,20,39,36,47,35,44,29,39,36,50,70,74,89,49,28,16,12
E01015092,43,36,38,88,125,58,54,43,42,40,28,36,33,41,27,18,3,7
E01015093,39,52,43,42,23,35,44,58,54,40,35,45,78,50,38,20,15,6
E01015094,63,42,28,46,35,41,43,36,31,39,28,47,48,52,33,14,21,20
E01015095,41,37,34,29,43,54,29,51,40,38,38,34,35,71,55,46,16,7
E01015096,28,46,41,57,41,39,33,29,47,39,37,41,48,48,49,24,14,4
E01015097,36,18,20,34,42,33,43,25,45,71,68,64,82,92,118,70,50,28
E01015098,51,62,48,57,58,55,73,90,49,47,55,32,34,40,19,19,21,17
E01015099,49,43,37,27,69,56,82,57,53,58,44,34,32,26,21,14,12,4
E01015100,45,34,34,36,109,70,57,44,59,64,60,49,16,28,22,12,8,4
E01015101,43,49,58,45,24,25,23,49,45,66,63,55,49,56,33,33,28,36
E01015102,62,52,41,42,39,76,94,62,79,67,63,51,51,52,22,23,20,17
E01015103,57,47,41,44,44,52,71,56,58,75,61,57,28,35,16,12,10,6
E01015104,53,53,50,44,47,28,42,36,44,73,59,67,47,46,28,20,21,14
E01015105,61,51,33,46,36,35,71,56,63,60,57,53,36,28,24,20,11,14
E01015106,47,42,28,33,45,47,34,29,60,39,46,41,34,51,28,22,22,7
E01015107,66,47,44,60,46,56,59,43,63,60,44,59,24,36,21,8,12,4
E01015108,94,102,58,51,48,74,89,52,57,55,44,52,43,40,34,17,23,4
E01015109,43,42,28,34,63,54,74,44,53,57,54,53,55,39,27,16,14,3
E01015110,40,67,56,58,46,40,55,50,60,62,64,67,51,50,43,36,19,14
E01015111,60,59,37,33,52,77,82,57,53,93,56,36,27,25,17,7,1,4
E01015112,60,58,43,29,33,53,48,51,50,54,56,55,34,36,21,40,29,12
E01015113,36,45,41,44,44,24,49,43,52,57,59,51,33,57,36,31,32,11
E01015114,34,51,34,48,38,42,40,42,50,68,48,46,57,36,43,26,22,7
E01015115,20,28,34,46,45,45,42,27,29,46,44,45,28,45,30,30,26,36
E01015116,47,43,31,56,43,39,36,33,40,61,58,49,37,58,45,28,20,12
E01015117,41,43,37,44,40,53,48,39,46,43,50,63,53,51,37,21,6,10
E01015118,48,52,56,55,28,24,49,60,62,78,46,45,33,44,38,40,19,22
E01015119,50,50,69,71,51,34,63,54,77,44,66,50,48,43,30,7,10,9
E01015120,40,46,43,48,37,25,34,41,53,56,64,62,41,60,52,26,24,16
E01015121,30,41,32,51,25,24,20,34,48,43,56,50,26,58,55,55,28,12
E01015122,43,49,51,56,59,51,45,30,56,68,49,45,34,50,46,40,26,16
E01015123,37,34,44,33,38,36,41,54,35,59,61,60,44,58,71,59,35,43
E01015124,41,36,44,45,38,35,39,41,50,65,44,47,36,59,54,38,38,32
E01015125,32,58,37,46,51,38,40,35,57,64,51,36,45,57,46,41,18,13
E01015126,32,38,21,33,17,21,23,33,26,38,55,36,39,59,48,45,46,48
E01015127,35,50,41,39,48,46,24,34,40,47,65,40,41,67,43,42,29,16
E01015128,46,39,21,30,53,55,32,34,36,36,70,65,47,59,53,39,32,21
E01015129,55,41,42,36,31,47,57,43,51,52,45,46,34,27,23,14,9,4
E01015130,81,51,81,78,44,41,43,57,56,62,55,52,38,39,30,16,19,5
E01015131,24,43,28,38,29,10,12,28,35,43,55,59,44,84,54,51,52,36
E01015132,31,36,46,64,32,29,39,28,41,63,52,29,50,48,48,37,31,19
E01015133,38,26,30,37,47,25,34,36,36,51,46,62,52,50,48,42,35,33
E01015134,45,42,39,45,37,42,46,46,44,49,36,48,31,35,30,26,23,26
E01015135,39,34,52,60,66,34,49,48,56,61,49,46,46,61,29,34,17,11
E01015136,25,39,36,53,41,44,31,24,41,64,62,52,36,36,27,36,24,17
E01015137,37,45,52,48,43,30,54,41,40,58,64,48,52,43,45,26,16,17
E01015138,36,49,57,47,22,19,30,39,65,54,64,93,48,59,61,48,34,13
E01015139,49,37,41,50,39,39,35,21,50,42,62,47,36,54,37,25,27,22
E01015140,60,52,37,41,21,39,46,34,28,38,36,36,39,44,58,40,37,25
E01015141,51,55,51,52,29,28,40,36,58,48,81,56,50,75,61,45,35,20
E01015142,59,53,43,33,48,54,50,27,43,45,63,74,47,45,33,15,5,14
E01015143,42,30,25,24,41,38,42,28,40,42,55,52,41,50,41,25,20,12
E01015144,62,71,52,62,48,62,73,45,64,39,56,54,36,31,19,12,11,18
E01015145,149,133,73,59,3,78,81,44,57,51,32,25,29,12,6,9,0,3
E01015146,91,92,77,66,62,51,83,61,51,66,59,53,36,27,16,33,2,4
E01015147,35,29,17,27,28,40,30,37,34,39,46,33,45,49,32,35,23,14
E01015148,50,58,38,67,56,77,53,42,53,56,41,47,32,31,32,17,10,3
E01015149,46,56,47,73,49,45,51,36,47,46,48,42,32,42,29,14,10,11
E01015150,46,29,32,43,25,48,41,32,51,48,63,73,56,49,36,20,16,20
E01015151,54,37,32,57,307,98,71,64,46,32,66,43,33,22,22,14,9,8
E01015152,64,46,44,78,137,97,86,66,46,53,52,53,48,41,45,29,12,8
E01015153,47,59,32,67,114,62,74,66,66,39,62,55,60,42,29,11,11,21
E01015155,74,49,50,65,95,128,83,56,60,54,88,65,41,44,30,24,13,5
E01015156,18,20,15,76,214,104,74,49,53,46,44,42,49,52,32,24,14,5
E01015157,59,49,35,25,142,155,193,98,73,75,92,94,77,81,38,33,11,25
E01015158,37,28,47,29,207,175,109,54,73,60,64,72,57,62,34,50,41,35
E01015159,34,26,39,43,36,37,52,36,38,55,72,54,45,48,39,34,27,29
E01015160,20,35,33,31,26,32,43,19,40,47,50,54,58,73,39,35,38,28
E01015161,44,54,36,47,43,55,47,29,34,57,47,37,28,40,54,37,21,7
E01015162,52,55,34,43,50,58,68,25,44,59,47,39,39,29,31,18,19,17
E01015163,39,36,42,55,38,25,55,41,30,57,45,41,37,46,46,34,21,19
E01015164,115,87,62,64,41,52,99,77,67,58,52,56,42,44,24,24,15,6
E01015165,67,82,57,54,56,51,59,61,50,63,57,35,33,25,24,21,12,11
E01015166,81,76,75,90,93,112,99,74,53,63,57,52,46,42,23,36,24,5
E01015167,61,47,39,56,62,59,66,61,67,71,58,67,45,26,22,13,14,12
E01015168,68,48,45,53,59,114,74,74,63,57,85,55,41,38,21,16,7,3
E01015169,36,31,28,93,267,62,45,43,45,43,60,60,44,56,29,24,14,16
E01015170,62,42,36,52,58,75,40,38,34,55,65,64,38,45,30,23,13,19
E01015171,36,26,23,43,56,90,56,76,45,69,67,68,65,51,46,20,17,25
E01015172,53,40,39,41,84,118,87,77,66,55,58,52,39,44,19,15,16,10
E01015173,44,40,47,74,46,82,85,57,57,61,57,57,33,59,32,15,24,20
E01015174,36,40,35,51,46,67,88,50,62,58,52,67,38,35,54,25,24,12
E01015175,41,52,27,39,167,81,70,63,61,51,31,44,35,26,21,15,14,5
E01015176,46,45,43,43,61,66,65,46,43,46,43,48,36,44,28,33,13,15
E01015177,49,39,31,60,131,103,76,66,77,35,29,44,35,26,29,18,16,12
E01015178,58,39,23,71,414,99,75,47,47,44,47,53,22,24,12,7,11,6
E01015179,37,29,39,45,333,64,62,52,33,28,21,26,29,23,16,6,3,6
E01015180,100,40,41,43,93,113,88,81,57,53,55,49,37,32,33,28,13,8
E01015181,78,60,41,85,149,143,86,97,76,54,77,61,45,35,30,9,8,5
E01015182,86,78,53,46,102,103,115,72,47,66,64,58,34,40,29,17,12,13
E01015183,28,40,31,25,20,26,39,24,39,40,60,54,43,66,57,32,17,17
E01015184,15,28,21,19,24,13,17,18,29,39,40,28,59,62,77,61,39,29
E01015185,29,10,23,31,21,33,25,21,34,27,50,53,49,75,59,33,26,20
E01015186,43,33,24,25,41,45,35,20,33,40,52,60,40,73,34,19,34,8
E01015187,31,24,26,30,17,23,12,17,24,39,43,45,52,105,65,53,34,24
E01015188,37,19,29,55,29,28,23,22,37,36,52,41,55,65,72,46,26,22
E01015189,13,28,16,35,25,21,15,16,30,41,25,49,61,47,42,25,5,9
E01015190,51,54,59,65,33,36,30,33,35,56,55,72,51,78,67,52,29,6
E01015191,64,57,47,66,40,68,46,41,58,51,79,38,38,33,35,25,13,11
E01015192,60,72,67,46,63,44,46,33,31,47,65,38,38,42,31,17,13,13
E01015193,44,29,30,33,25,40,34,17,35,33,37,29,45,40,46,31,19,17
E01015194,43,46,45,45,40,36,36,37,36,39,52,43,47,52,36,25,23,5
E01015195,44,52,34,65,47,47,50,42,34,72,59,56,50,55,32,29,19,21
E01015196,105,93,95,87,63,30,54,38,54,49,52,38,25,30,14,18,14,11
E01015197,18,25,32,37,18,28,19,14,30,51,40,49,52,95,75,39,31,24
E01015198,38,24,26,43,25,23,32,23,25,42,54,63,67,77,83,49,32,31
E01015199,8,16,26,24,25,14,16,9,16,34,54,52,57,79,63,60,37,45
E01015200,50,37,34,21,22,21,18,27,29,46,38,21,31,47,33,30,15,15
E01015201,21,33,25,29,34,30,21,33,29,53,37,53,60,64,49,33,31,29
E01015202,64,56,55,51,43,28,45,52,37,59,56,40,42,50,31,24,24,19
E01015203,19,32,25,36,33,24,19,21,42,53,49,29,36,62,49,48,18,24
E01015204,55,33,48,52,30,37,32,34,64,46,60,38,41,57,28,28,16,6
E01015205,31,32,36,31,29,33,43,40,54,40,48,53,38,67,50,30,23,15
E01015206,46,49,31,31,36,33,39,45,49,49,62,46,45,54,21,24,21,24
E01015207,45,49,40,58,35,50,33,61,51,64,51,50,54,46,35,19,20,15
E01015208,30,24,38,50,36,27,17,15,36,42,62,99,64,115,106,60,44,35
E01015209,23,40,32,20,37,36,37,21,41,57,47,40,41,51,23,23,27,17
E01015210,63,53,52,61,42,46,46,35,47,60,43,36,32,38,37,17,12,17
E01015211,36,49,54,40,25,36,34,29,56,43,47,32,47,71,37,27,25,13
E01015212,38,46,57,36,40,44,31,29,56,46,57,38,46,33,25,12,12,9
E01015213,32,70,48,53,49,46,45,36,38,51,51,44,46,33,32,19,18,13
E01015214,55,48,54,43,47,45,59,30,36,47,50,45,42,23,11,8,12,4
E01015215,59,43,41,63,43,40,44,26,50,43,61,65,31,38,34,24,16,16
E01015216,47,40,36,49,58,37,44,37,41,37,44,46,34,43,21,23,15,1
E01015217,59,47,33,54,72,60,51,42,59,58,61,61,53,42,25,19,19,9
E01015218,49,49,36,41,52,37,30,34,60,65,51,50,34,44,37,19,20,13
E01015219,24,26,25,25,26,36,18,22,37,42,42,49,34,38,57,47,28,31
E01015220,27,20,32,46,31,31,11,34,35,53,47,56,53,73,51,40,31,10
E01015221,20,33,45,50,29,42,22,20,41,54,72,58,39,54,31,35,20,14
E01015222,33,28,31,34,33,35,34,21,42,40,60,42,53,43,61,44,28,16
E01015223,34,19,46,51,36,32,20,28,44,42,44,50,46,46,40,28,9,12
E01015224,58,43,46,54,38,25,38,27,41,51,48,57,46,54,36,38,20,17
E01015225,28,43,34,38,56,32,33,25,51,60,61,36,47,59,39,23,20,29
E01015226,30,26,36,28,30,15,17,26,39,63,42,40,53,71,52,45,31,17
E01015227,33,35,56,44,40,32,35,31,53,38,55,58,65,50,47,35,14,19
E01015228,34,41,30,34,26,49,51,26,37,38,38,54,55,46,36,37,39,34
E01015229,28,34,36,30,45,30,14,25,39,44,57,38,44,44,50,33,42,22
E01015230,20,37,30,39,31,17,19,18,46,53,41,38,42,64,65,57,34,17
E01015231,55,50,43,54,47,53,71,65,42,52,87,55,54,51,27,29,12,18
E01015232,31,19,18,35,59,57,56,39,53,94,81,78,81,65,55,40,36,13
E01015233,57,32,19,31,33,53,30,27,48,52,58,50,39,43,33,36,21,17
E01015234,57,42,40,53,47,35,38,36,43,41,55,57,37,34,23,16,12,7
E01015235,16,20,23,21,48,41,25,23,29,62,60,71,64,68,85,56,62,40
E01015236,57,42,36,40,30,25,45,44,66,51,63,57,69,71,47,30,28,11
E01015237,52,42,49,57,45,41,36,43,43,60,56,36,30,39,34,12,14,7
E01015238,35,65,56,54,35,43,29,30,41,54,46,34,33,35,37,30,24,11
E01015239,32,32,28,26,34,29,37,18,42,58,59,56,36,57,43,41,37,47
E01015240,24,34,17,15,16,22,37,42,38,55,29,41,53,77,61,46,19,45
E01015241,37,37,41,48,49,34,37,26,38,55,70,45,26,42,35,26,29,22
E01015242,41,63,47,45,55,49,41,21,38,42,42,29,31,20,31,17,11,8
E01015243,20,27,33,26,17,28,28,30,43,29,48,53,47,46,57,41,20,18
E01015244,34,30,38,35,20,33,27,19,41,36,57,50,42,63,68,32,35,14
E01015245,29,46,23,28,50,23,24,27,16,44,41,45,47,51,52,55,19,26
E01015246,21,36,29,40,24,32,19,20,36,49,44,54,52,64,49,42,21,39
E01015247,51,53,48,60,46,40,42,40,47,77,60,72,56,72,40,49,25,19
E01015248,28,44,34,46,41,54,35,20,35,62,49,47,45,43,50,22,22,7
E01015249,49,44,56,51,41,42,47,39,38,55,52,49,43,31,22,22,7,12
E01015250,55,56,46,49,23,54,54,41,44,39,52,39,32,44,35,16,9,7
E01015251,29,35,28,44,28,38,19,14,43,58,48,37,27,59,30,24,9,8
E01015252,141,134,105,77,63,95,113,100,103,89,98,78,67,59,32,30,22,14
E01015253,85,52,41,61,55,40,70,66,55,67,54,46,41,25,30,13,15,4
E01015254,34,35,21,54,28,23,37,23,43,42,36,45,53,58,58,28,28,28
E01015255,75,38,21,94,66,78,43,49,63,65,94,68,53,48,23,23,14,21
E01015256,39,28,15,30,62,100,63,61,37,64,82,67,61,59,46,36,13,21
E01015257,40,40,38,50,58,50,34,40,37,52,43,36,38,45,17,18,8,8
E01015258,65,53,52,66,64,87,72,74,57,53,74,84,54,80,60,32,21,9
E01015259,59,47,38,48,40,29,37,48,52,53,40,38,36,29,13,14,8,5
E01015260,40,32,41,32,45,53,42,43,44,57,87,59,61,58,37,24,19,16
E01015261,66,60,32,46,71,91,58,59,65,57,78,84,70,91,32,38,11,29
E01015262,49,50,40,50,40,33,24,30,27,45,63,35,41,44,36,26,13,10
E01015263,86,64,48,49,45,52,43,33,44,51,51,35,30,31,33,20,13,13
E01015264,25,31,32,29,13,39,15,27,43,34,39,50,49,57,44,39,42,13
E01015265,39,24,36,41,36,18,24,15,51,63,34,57,46,76,53,51,38,20
E01015266,36,61,64,65,48,35,46,31,38,47,51,34,42,39,22,17,15,10
E01015267,34,21,17,15,33,28,40,32,45,71,79,83,78,81,48,31,28,37
E01015268,34,28,21,25,20,21,30,33,38,60,77,44,69,84,76,57,29,42
E01015269,28,23,16,33,16,49,21,35,46,57,49,70,70,81,70,39,30,39
E01015270,23,24,16,14,26,33,38,29,35,54,48,72,75,94,80,44,41,39
E01015271,31,14,18,26,25,20,11,8,24,29,40,53,42,93,74,61,58,35
E01019886,62,85,86,85,65,69,62,85,72,101,68,76,113,95,101,64,38,25
E01019887,62,35,54,36,37,49,49,32,33,53,43,26,47,38,42,24,26,31
E01019888,23,17,25,29,40,35,33,39,38,51,55,43,41,65,52,46,30,26
E01019889,34,39,42,45,31,62,35,39,37,49,47,47,51,65,63,44,41,29
E01019890,49,39,35,39,27,39,44,34,51,54,56,71,82,98,62,68,36,20
E01019891,20,67,27,56,35,42,30,36,46,48,60,78,38,43,27,36,27,16
E01019892,248,168,103,68,65,122,158,120,118,108,90,68,67,56,38,28,28,21
E01019893,67,73,88,62,41,46,40,61,77,85,85,76,73,74,55,38,16,24
E01019894,16,15,24,35,13,9,4,17,28,26,32,38,66,78,66,61,62,56
E01019895,19,36,33,24,6,8,20,27,28,37,37,46,76,66,62,70,42,46
E01019896,19,26,16,23,32,19,13,14,25,37,59,47,56,91,77,81,49,44
E01019897,58,50,42,50,29,37,27,42,55,72,45,51,35,45,35,30,18,10
E01019898,51,65,63,49,34,44,36,47,65,97,75,89,80,132,92,69,45,40
E01019899,38,24,39,43,20,25,28,19,30,47,48,41,55,44,43,41,22,32
E01019900,34,41,53,47,13,30,23,22,37,55,55,68,60,100,81,68,56,48
E01019901,20,38,45,29,14,22,28,20,42,54,44,48,58,70,51,44,19,19
E01019902,52,55,36,47,33,52,42,30,61,79,78,65,59,76,94,68,45,45
E01019903,29,58,48,79,40,33,34,33,69,100,86,67,78,72,56,44,36,28
E01019904,39,35,42,44,29,34,26,30,51,63,48,57,34,49,40,33,22,13
E01019905,35,65,43,67,44,34,27,50,66,73,80,86,84,86,65,33,20,26
E01019906,63,32,24,34,24,32,58,54,40,42,61,47,50,57,42,32,16,10
E01019907,29,28,48,27,34,25,22,49,38,49,57,47,42,52,69,55,31,22
E01019908,80,85,47,67,52,64,71,56,61,74,57,46,38,40,25,6,15,12
E01019909,29,42,45,54,33,22,24,30,56,55,48,65,62,94,73,52,43,42
E01019910,39,56,59,52,35,36,24,50,57,58,53,59,61,71,42,37,23,30
E01019911,35,34,14,19,18,33,28,23,26,44,37,45,56,62,75,58,50,43
E01019912,46,22,24,31,32,50,39,25,38,51,64,68,54,83,59,53,36,25
E01019913,6,17,27,17,22,23,11,10,32,46,32,46,47,67,92,74,76,101
E01019914,82,79,70,60,86,47,47,71,56,68,68,69,57,81,59,36,25,28
E01019915,22,59,36,34,37,26,31,27,41,55,57,55,39,71,81,64,41,44
E01019916,70,58,55,37,66,103,70,63,66,63,68,46,40,37,32,13,13,16
E01019917,49,60,37,51,41,27,46,49,53,50,51,53,48,46,23,8,11,12
E01019918,30,33,26,43,82,82,56,49,68,75,77,70,66,72,45,27,25,26
E01019919,61,38,32,67,44,70,56,66,52,48,42,47,42,46,35,9,26,14
E01019920,48,47,35,38,34,48,38,59,50,53,54,56,34,63,32,24,15,9
E01019921,45,46,42,56,27,19,36,39,53,45,61,39,46,47,38,27,26,20
E01019922,39,40,43,48,27,34,35,34,42,44,47,33,39,53,30,32,14,14
E01019923,25,34,32,37,23,24,33,39,49,40,52,32,40,34,39,24,18,14
E01019924,62,54,49,38,50,39,44,47,41,51,58,61,36,51,26,12,17,2
E01019925,44,43,55,34,49,33,29,31,40,57,48,37,35,46,26,25,6,10
E01019927,47,41,16,27,41,36,25,27,51,53,26,32,38,42,28,22,21,21
E01019928,40,39,52,45,31,32,31,41,35,53,44,56,33,62,28,24,6,18
E01019929,48,58,49,26,35,33,46,38,42,56,43,48,42,39,28,31,21,20
E01019930,39,39,44,23,26,44,37,29,52,49,36,43,30,49,45,39,22,36
E01019931,29,35,27,32,37,30,22,25,39,55,35,45,47,52,31,30,35,20
E01019932,28,28,40,30,62,66,41,51,53,62,50,53,39,62,41,40,28,20
E01019933,49,24,15,27,31,46,38,36,44,28,35,35,46,37,38,27,19,33
E01019934,38,45,31,45,32,72,28,29,47,42,65,64,50,78,54,70,46,39
E01019935,17,10,21,37,20,18,12,7,25,38,35,48,67,62,50,47,22,28
E01019936,17,23,30,19,22,15,12,26,28,37,27,39,52,66,42,36,21,22
E01019937,53,31,60,51,34,35,25,31,66,74,90,69,63,105,92,44,45,40
E01019938,55,68,52,62,37,24,51,34,44,99,93,89,87,135,100,56,49,18
E01019939,28,46,36,41,24,15,18,19,38,43,67,44,48,77,64,47,35,22
E01019940,11,28,61,49,26,5,16,17,35,67,54,60,53,87,56,58,35,33
E01019942,47,44,58,62,26,31,28,51,53,62,67,59,59,51,33,40,26,29
E01019943,29,69,65,55,33,24,26,26,51,70,41,68,47,63,42,36,14,22
E01019944,59,59,42,50,24,42,34,52,61,57,56,67,43,46,39,24,28,12
E01019945,41,62,57,167,56,47,43,53,68,75,83,86,92,79,60,64,31,36
E01019946,24,15,28,30,8,6,10,14,35,25,45,46,54,97,71,68,43,50
E01019947,26,25,28,29,40,69,39,32,44,51,43,65,45,81,63,48,50,46
E01019948,28,27,33,22,17,11,8,14,30,37,41,40,51,65,65,62,38,28
E01019949,28,25,29,29,20,33,24,24,41,34,40,43,33,85,55,43,55,53
E01019950,20,12,22,38,13,16,10,16,30,35,40,36,38,64,70,47,36,31
E01019951,29,21,58,39,36,18,24,37,29,64,79,64,87,126,111,81,43,71
E01019952,44,31,31,38,17,26,28,17,47,55,47,43,59,72,71,66,42,37
E01019953,29,29,23,50,24,19,15,11,22,54,47,40,47,84,62,54,54,55
E01019954,55,85,51,52,36,53,55,48,50,73,65,54,41,48,53,40,37,25
E01019955,41,35,45,46,32,25,32,27,32,55,57,54,46,72,55,44,49,35
E01019956,29,28,39,36,26,27,39,21,22,32,54,55,71,69,58,43,33,48
E01019957,5,7,46,32,24,34,19,18,6,24,47,41,66,87,94,86,90,97
E01019958,24,33,52,55,21,13,32,26,44,54,44,55,52,109,85,59,57,51
E01019959,46,48,37,30,8,17,20,28,34,48,39,40,47,47,36,35,15,12
E01019960,32,68,45,34,21,23,21,42,46,54,51,56,51,73,43,30,6,11
E01019961,41,64,72,72,37,29,32,37,65,106,110,116,103,130,105,72,44,40
E01019962,52,58,76,80,40,51,33,58,65,77,102,93,93,90,81,39,36,26
E01019963,53,63,62,39,24,19,38,35,59,61,70,47,63,45,45,32,28,15
E01019964,14,36,30,246,602,318,115,46,28,49,58,41,52,35,33,29,17,22
E01019965,91,82,58,33,19,35,37,50,51,60,47,57,69,57,52,43,18,20
E01019966,23,16,25,29,15,13,14,21,24,39,34,40,41,54,51,32,19,20
E01019967,35,30,38,25,23,24,14,26,33,39,46,37,56,95,61,38,12,11
E01019968,33,46,38,36,24,73,53,44,50,35,59,38,49,48,44,43,24,27
E01019969,47,28,46,29,38,43,62,35,46,71,60,44,44,28,29,23,24,21
E01019970,38,44,21,45,56,44,29,41,65,42,36,33,37,38,22,28,12,13
E01019971,58,35,20,25,92,151,87,73,68,46,51,52,23,26,20,27,16,16
E01019972,47,62,43,26,58,72,55,53,71,42,77,40,31,27,10,16,6,9
E01019973,24,44,43,40,46,46,50,36,38,71,55,56,39,44,34,28,30,23
E01019974,31,27,21,23,29,50,35,39,58,37,66,66,36,45,41,25,15,24
E01019975,61,76,67,58,47,67,38,43,46,45,65,28,36,20,24,11,4,10
E01019976,34,35,25,37,52,43,38,49,43,44,36,44,43,52,46,43,15,34
E01019977,43,38,46,49,63,43,46,47,49,55,60,51,35,33,37,20,22,11
