LSOA,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over
E01020171,17,26,45,33,49,34,21,26,45,44,74,86,66,99,99,62,38,38
E01020172,48,42,43,27,26,39,36,36,33,46,57,73,64,106,71,43,25,36
E01020173,38,18,25,18,23,24,23,18,22,38,50,68,71,79,70,48,24,27
E01020174,17,36,33,42,29,28,15,28,41,37,49,60,70,106,63,42,34,24
E01020175,44,44,56,35,24,30,21,29,44,38,72,72,92,124,88,79,47,27
E01020176,23,29,19,22,13,28,20,24,24,48,47,32,44,47,36,14,31,12
E01020177,30,38,50,35,26,36,18,25,38,53,56,51,49,57,35,18,16,35
E01020178,31,48,45,52,31,18,31,32,43,85,60,69,70,113,92,56,59,36
E01020179,37,58,46,27,37,41,28,28,44,66,53,68,74,96,94,64,57,38
E01020180,58,51,58,64,34,38,52,49,54,81,69,54,49,59,52,30,22,28
E01020181,41,33,56,76,47,39,29,22,43,57,55,59,69,64,56,43,20,28
E01020182,31,64,43,62,32,48,35,38,46,59,38,48,59,42,25,19,6,18
E01020183,29,30,18,46,26,43,36,19,34,51,42,31,47,50,45,23,24,27
E01020184,30,37,46,57,26,37,25,36,61,39,56,49,72,62,44,36,29,25
E01020185,28,26,20,34,7,11,10,22,39,45,41,47,41,76,59,48,27,17
E01020186,13,24,30,35,11,8,13,16,29,35,43,45,70,73,77,58,43,24
E01020187,46,75,50,42,30,35,54,46,56,58,74,51,61,53,46,37,23,17
E01020188,47,51,47,41,35,22,28,37,49,51,73,77,86,97,64,40,34,25
E01020189,53,55,47,81,41,28,49,46,44,79,77,81,68,63,65,41,34,43
E01020190,68,68,70,66,27,16,31,47,60,74,76,73,77,103,69,53,31,27
E01020191,63,25,24,28,123,206,191,118,126,113,99,60,78,62,56,22,14,16
E01020192,20,36,34,43,28,15,19,16,41,37,59,60,53,59,57,48,34,28
E01020193,38,45,68,44,37,30,26,48,45,61,70,53,56,60,38,34,25,19
E01020194,42,72,44,53,23,38,28,43,50,54,73,51,44,47,29,26,17,16
E01020195,32,59,68,56,61,30,30,50,36,80,78,61,66,61,44,30,26,21
E01020196,38,52,36,54,42,46,42,36,43,54,71,56,55,59,50,26,19,16
E01020197,21,35,21,25,23,28,30,32,30,34,33,63,51,55,49,41,27,13
E01020198,61,34,43,41,20,27,41,37,48,56,51,46,52,43,33,21,8,9
E01020199,36,59,58,43,34,49,34,31,56,66,64,49,43,59,45,18,21,14
E01020200,11,17,21,23,14,14,20,23,21,32,39,40,46,73,35,31,22,21
E01020201,25,29,27,23,10,20,16,23,24,40,42,51,67,92,80,54,21,36
E01020202,41,44,48,32,14,36,14,32,41,50,70,47,64,78,89,62,59,41
E01020203,33,43,47,53,24,16,23,28,45,54,59,51,58,62,75,64,51,44
E01020204,79,58,49,44,44,55,57,64,52,80,61,43,30,26,22,8,1,8
E01020205,21,36,30,50,13,25,7,20,30,45,93,50,87,70,41,32,28,19
E01020206,37,52,56,38,20,35,40,32,48,62,73,43,46,40,29,30,30,16
E01020207,72,62,71,53,24,41,51,52,52,57,51,46,60,35,28,24,8,24
E01020208,38,46,41,43,34,32,39,30,41,55,44,38,28,37,12,22,17,11
E01020209,52,54,37,40,35,62,48,28,35,41,54,42,33,48,32,17,18,7
E01020210,16,27,31,34,27,32,16,27,37,38,50,47,47,72,37,27,22,16
E01020211,86,52,34,46,65,52,67,37,46,66,43,36,42,37,33,18,9,13
E01020212,50,48,26,43,39,43,27,42,30,45,48,32,37,35,24,18,8,8
E01020213,56,50,32,32,25,46,38,39,28,45,52,46,60,53,45,41,16,15
E01020214,32,38,33,46,47,47,37,38,41,49,68,55,54,58,50,39,35,19
E01020215,24,21,32,34,30,21,13,26,25,47,55,70,49,60,44,52,29,17
E01020216,48,78,46,70,56,48,49,46,46,61,63,55,36,38,33,20,5,19
E01020217,67,39,57,37,57,56,72,41,53,48,57,48,34,47,38,28,15,19
E01020218,52,62,36,38,60,91,58,53,55,55,78,48,39,41,22,16,15,20
