Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E01019936,1,1,5,7,5,19,,,
E01019937,3,2,9,11,6,32,,,
E01019938,3,3,12,16,7,41,,,
E01019939,2,1,7,7,5,22,,,
E01019940,2,1,7,8,6,23,,,
E01019942,2,1,6,6,3,18,,,
E01019943,2,1,8,8,5,24,,,
E01019944,2,2,6,5,2,17,,,
E01019945,6,3,11,14,6,40,,,
E01019946,1,1,4,7,7,20,,,
E01019947,3,2,9,10,9,33,,,
E01019948,1,0,3,4,4,13,,,
E01019949,2,2,5,6,7,21,,,
E01019950,2,1,5,8,6,22,,,
E01019951,2,1,5,8,6,21,,,
E01019952,2,1,8,9,7,27,,,
E01019953,1,1,3,5,4,15,,,
E01019954,4,4,12,10,5,36,,,
E01019955,1,1,5,5,4,16,,,
E01019956,1,1,4,6,5,18,,,
E01019957,2,1,3,7,11,24,,,
E01019958,2,1,7,9,8,27,,,
E01019959,1,2,7,7,4,21,,,
E01019960,1,1,4,5,2,13,,,
E01019961,2,1,7,11,5,27,,,
E01019962,3,2,8,9,3,25,,,
E01019963,2,1,10,8,4,26,,,
E01019964,2,1,5,6,3,17,,,
E01019965,2,2,9,8,5,25,,,
E01019966,1,1,3,4,2,11,,,
E01019967,2,1,6,10,5,23,,,
E01019968,2,2,5,4,3,16,,,
E01019969,1,2,4,4,2,13,,,
E01019970,1,1,5,4,2,14,,,
E01019971,4,6,10,7,3,30,,,
E01019972,4,4,9,7,2,26,,,
E01019973,2,1,5,5,3,16,,,
E01019974,2,3,8,8,5,25,,,
E01019975,3,3,9,5,2,23,,,
E01019976,2,1,5,4,4,16,,,
E01019977,1,2,6,4,2,15,,,
E01019980,4,7,10,6,2,28,,,
E01019981,3,3,9,7,3,25,,,
E01019982,4,6,11,8,1,29,,,
E01019983,3,2,7,6,4,22,,,
E01019984,2,3,8,5,2,20,,,
E01019985,4,4,10,7,2,26,,,
E01019986,2,3,7,6,3,23,,,
E01019987,10,5,8,5,4,32,,,
E01019988,2,2,5,4,3,15,,,
E01019989,2,3,5,2,1,13,,,
E01019990,4,4,9,7,2,26,,,
E01019991,4,4,10,6,2,26,,,
E01019992,4,4,9,9,4,29,,,
E01019993,3,2,6,7,2,19,,,
E01019994,13,5,6,5,2,31,,,
E01019995,12,4,8,5,4,34,,,
E01019996,5,4,6,4,3,22,,,
E01019997,20,4,6,3,1,34,,,
E01019998,1,3,7,7,3,21,,,
E01019999,8,1,5,5,2,22,,,
E01020000,3,3,8,5,3,23,,,
E01020001,2,2,6,7,3,20,,,
E01020002,4,5,11,7,4,31,,,
E01020003,2,2,5,5,3,17,,,
E01020004,2,2,8,7,4,23,,,
E01020005,4,3,11,7,4,29,,,
E01020006,9,6,15,7,3,40,,,
E01020007,22,4,4,3,1,34,,,
E01020008,12,3,4,2,1,22,,,
E01020009,2,2,5,4,1,15,,,
E01020010,4,5,13,8,3,33,,,
E01020011,1,1,4,4,3,13,,,
E01020012,4,3,11,7,3,29,,,
E01020013,4,4,8,6,3,25,,,
E01020014,4,4,9,9,2,28,,,
E01020015,5,5,12,8,3,32,,,
E01020016,11,7,9,8,3,37,,,
E01020017,20,9,9,5,2,44,,,
E01020018,11,8,9,6,4,38,,,
E01020019,23,1,1,2,2,29,,,
E01020020,20,4,4,3,2,33,,,
E01020021,16,3,7,5,3,33,,,
E01020022,27,4,5,3,1,41,,,
E01020023,2,3,9,7,3,24,,,
E01020024,2,3,8,6,4,24,,,
E01020025,4,7,10,6,2,29,,,
E01020026,3,3,8,8,4,26,,,
E01020027,2,2,5,5,2,16,,,
E01020029,4,4,12,8,3,31,,,
E01020030,5,7,12,8,4,36,,,
E01020031,3,6,13,7,3,33,,,
E01020032,3,4,8,8,3,25,,,
E01020033,4,4,13,9,7,37,,,
E01020035,3,4,8,5,2,23,,,
E01020036,3,3,8,7,4,26,,,
E01020037,4,3,8,6,3,23,,,
E01020038,3,3,9,8,3,26,,,
E01020039,6,5,11,10,5,36,,,
E01020040,2,2,8,8,3,24,,,
E01020041,5,6,13,11,4,39,,,
E01020042,3,3,7,7,4,24,,,
E01020043,2,2,8,6,3,21,,,
E01020044,2,1,5,6,3,17,,,
E01020045,1,1,6,6,3,17,,,
E01020046,3,2,9,10,4,29,,,
E01020047,2,2,6,7,5,22,,,
E01020048,5,5,12,9,4,35,,,
E01020049,3,1,7,9,5,24,,,
E01020050,3,3,10,16,8,41,,,
E01020051,1,1,5,5,5,17,,,
E01020052,4,4,10,9,5,31,,,
E01020053,3,3,8,7,4,25,,,
E01020054,3,3,8,7,3,23,,,
E01020055,4,3,10,10,6,33,,,
E01020056,4,3,12,14,5,39,,,
E01020057,5,5,13,10,4,37,,,
E01020058,4,3,10,9,4,30,,,
E01020059,4,2,14,13,5,38,,,
E01020060,4,3,9,8,7,30,,,
E01020061,3,2,7,6,3,21,,,
E01020062,2,3,7,8,4,23,,,
E01020063,4,4,15,14,7,44,,,
E01020064,3,2,7,5,2,19,,,
E01020065,6,4,10,9,3,33,,,
E01020066,4,4,12,8,3,31,,,
E01020067,5,4,14,7,3,33,,,
E01020068,3,2,8,10,5,28,,,
E01020069,3,2,9,10,4,28,,,
E01020070,3,2,10,13,6,33,,,
E01020071,2,2,7,6,3,20,,,
E01020072,3,2,11,12,4,32,,,
E01020073,2,1,8,10,6,27,,,
E01020074,2,1,8,8,3,23,,,
E01020075,2,2,7,6,3,20,,,
E01020076,3,2,11,12,4,33,,,
E01020077,3,2,10,10,4,29,,,
E01020078,2,3,7,6,4,23,,,
E01020079,2,2,7,7,3,22,,,
E01020080,1,1,3,5,2,12,,,
E01020081,3,3,6,7,4,22,,,
E01020082,2,2,7,8,3,22,,,
E01020083,4,4,15,13,5,41,,,
E01020084,3,2,9,8,5,27,,,
E01020085,2,2,7,4,2,17,,,
E01020086,2,2,6,7,4,21,,,
E01020087,3,2,10,14,7,36,,,
E01020088,3,3,11,13,6,36,,,
E01020089,2,2,9,7,4,24,,,
E01020090,2,2,8,9,5,26,,,
E01020091,1,1,4,4,3,13,,,
E01020092,2,1,5,6,6,20,,,
E01020093,2,2,9,7,5,25,,,
E01020094,4,4,7,7,6,27,,,
E01020095,4,3,9,6,3,26,,,
E01020096,4,4,8,6,5,27,,,
E01020097,4,3,13,15,7,41,,,
E01020098,3,2,11,14,8,39,,,
E01020099,2,1,7,10,5,25,,,
E01020100,1,1,5,7,4,18,,,
E01020101,2,3,8,8,5,26,,,
E01020102,2,2,6,5,2,17,,,
E01020103,4,4,9,8,2,27,,,
E01020104,4,4,9,5,1,23,,,
E01020105,2,2,5,4,3,15,,,
E01020106,1,1,3,4,3,12,,,
E01020107,2,1,3,6,5,17,,,
E01020108,3,3,15,13,6,41,,,
E01020109,2,1,5,5,2,14,,,
E01020110,2,4,7,4,3,20,,,
E01020111,4,2,7,8,3,24,,,
E01020112,4,3,9,7,4,27,,,
E01020113,3,3,8,6,4,24,,,
E01020114,3,2,6,7,3,21,,,
E01020115,2,2,7,7,4,22,,,
E01020116,3,3,8,10,4,27,,,
E01020117,2,2,8,11,5,28,,,
E01020118,3,2,8,7,3,24,,,
E01020119,2,1,7,10,6,26,,,
E01020120,2,1,6,7,3,19,,,
E01020121,4,3,12,12,5,36,,,
E01020122,3,3,10,11,5,33,,,
E01020123,3,2,9,8,5,25,,,
E01020124,1,1,3,5,3,13,,,
E01020125,2,1,6,6,5,20,,,
E01020126,2,2,7,11,6,28,,,
E01020127,4,2,12,13,5,35,,,
E01020128,2,1,8,7,4,22,,,
E01020129,3,2,7,6,3,20,,,
E01020130,4,4,9,8,2,27,,,
